0,benchmark_monthly_ew_10bp,monthly_classic_6_12minus1_top3_none_core000_10bp,monthly_classic_6_12minus1_top3_none_core050_10bp,monthly_classic_6_12minus1_top3_none_core075_10bp,monthly_classic_6_12minus1_top3_none_core100_10bp,monthly_classic_6_12minus1_top3_ma200_core000_10bp,monthly_classic_6_12minus1_top3_ma200_core050_10bp,monthly_classic_6_12minus1_top3_ma200_core075_10bp,monthly_classic_6_12minus1_top3_ma200_core100_10bp,monthly_classic_6_12minus1_top3_ma200_r12_core000_10bp,monthly_classic_6_12minus1_top3_ma200_r12_core050_10bp,monthly_classic_6_12minus1_top3_ma200_r12_core075_10bp,monthly_classic_6_12minus1_top3_ma200_r12_core100_10bp,monthly_long_6_12_top3_none_core000_10bp,monthly_long_6_12_top3_none_core050_10bp,monthly_long_6_12_top3_none_core075_10bp,monthly_long_6_12_top3_none_core100_10bp,monthly_long_6_12_top3_ma200_core000_10bp,monthly_long_6_12_top3_ma200_core050_10bp,monthly_long_6_12_top3_ma200_core075_10bp,monthly_long_6_12_top3_ma200_core100_10bp,monthly_long_6_12_top3_ma200_r12_core000_10bp,monthly_long_6_12_top3_ma200_r12_core050_10bp,monthly_long_6_12_top3_ma200_r12_core075_10bp,monthly_long_6_12_top3_ma200_r12_core100_10bp,benchmark_bimonthly_ew_10bp
2009-05-01,0.999,0.999,0.999,0.999,0.999,1.0,0.9995,0.99925,0.999,1.0,0.9995,0.99925,0.999,0.999,0.999,0.999,0.999,0.9996666666666667,0.9993333333333333,0.9991666666666666,0.999,1.0,0.9995,0.99925,0.999,
2009-05-07,1.0419405768988268,1.0298723083503245,1.0359064426245754,1.0389235097617011,1.0419405768988268,1.0,1.0209810343395282,1.031463492091706,1.0419405768988268,1.0,1.0209810343395282,1.031463492091706,1.0419405768988268,1.0443317675754151,1.0431361722371209,1.042538374567974,1.0419405768988268,1.0148908236895444,1.0284203260153564,1.0351816078873843,1.0419405768988268,1.0,1.0209810343395282,1.031463492091706,1.0419405768988268,
2009-05-08,1.0545686264466267,1.043238475631132,1.0489035510388793,1.0517360887427532,1.0545686264466267,1.0,1.0272982192859879,1.0409368993819756,1.0545686264466267,1.0,1.0272982192859879,1.0409368993819756,1.0545686264466267,1.0487827148900621,1.0516756706683446,1.0531221485574858,1.0545686264466267,1.0094815078242807,1.0320327014915929,1.0433025725581446,1.0545686264466267,1.0,1.0272982192859879,1.0409368993819756,1.0545686264466267,
2009-05-11,1.065848529992094,1.0491520736656856,1.0575003018288898,1.061674415910492,1.065848529992094,1.0,1.0329409938574066,1.04939894414009,1.065848529992094,1.0,1.0329409938574066,1.04939894414009,1.065848529992094,1.042756108429005,1.0543023192105496,1.060075424601322,1.065848529992094,0.9975391883134612,1.0317053664249753,1.0487798250265843,1.065848529992094,1.0,1.0329409938574066,1.04939894414009,1.065848529992094,
2009-05-12,1.0483696059506677,1.0414236838683861,1.044896644909527,1.0466331254300976,1.0483696059506677,1.0,1.024197157731578,1.0362864705301837,1.0483696059506677,1.0,1.024197157731578,1.0362864705301837,1.0483696059506677,1.0317334281284574,1.0400515170395628,1.0442105614951154,1.0483696059506677,0.9921326607553395,1.0202606259435136,1.0343174890947182,1.0483696059506677,1.0,1.024197157731578,1.0362864705301837,1.0483696059506677,
2009-05-13,1.0541234647156534,1.0457452193622359,1.0499343420389446,1.0520289033772994,1.0541234647156534,1.0,1.0270755270186667,1.0406029445323701,1.0541234647156534,1.0,1.0270755270186667,1.0406029445323701,1.0541234647156534,1.0276547402996816,1.0408891025076679,1.0475062836116606,1.0541234647156534,0.9884297888640782,1.0212876966678721,1.0377083481612643,1.0541234647156534,1.0,1.0270755270186667,1.0406029445323701,1.0541234647156534,
2009-05-14,1.0257715969331975,1.0257452872684176,1.0257584421008077,1.025765019517003,1.0257715969331975,1.0,1.0128924980654312,1.0193337223990224,1.0257715969331975,1.0,1.0128924980654312,1.0193337223990224,1.0257715969331975,0.9985397040706736,1.012155650501936,1.0189636237175668,1.0257715969331975,0.9753080154300454,1.000548333709759,1.0131620972035127,1.0257715969331975,1.0,1.0128924980654312,1.0193337223990224,1.0257715969331975,
2009-05-15,1.0460110383409276,1.03994127707882,1.042976157709874,1.0444935980254009,1.0460110383409276,1.0,1.0230172836945735,1.0345171021487778,1.0460110383409276,1.0,1.0230172836945735,1.0345171021487778,1.0460110383409276,1.0212308491911128,1.0336209437660207,1.039815991053474,1.0460110383409276,0.982702605984028,1.0143674934647602,1.0301919337284144,1.0460110383409276,1.0,1.0230172836945735,1.0345171021487778,1.0460110383409276,
2009-05-18,1.0203363039566902,1.0174698247271718,1.0189030643419312,1.0196196841493108,1.0203363039566902,1.0,1.0101734913937501,1.015256232529071,1.0203363039566902,1.0,1.0101734913937501,1.015256232529071,1.0203363039566902,0.997972540553514,1.0091544222551025,1.0147453631058965,1.0203363039566902,0.9771566630685619,0.9987537960411352,1.00954687813104,1.0203363039566902,1.0,1.0101734913937501,1.015256232529071,1.0203363039566902,
2009-05-19,1.0447811827745725,1.0425522783831318,1.0436667305788525,1.0442239566767126,1.0447811827745725,1.0,1.022402048139733,1.033594479645264,1.0447811827745725,1.0,1.022402048139733,1.033594479645264,1.0447811827745725,1.025606868084593,1.035194025429583,1.0399876041020781,1.0447811827745725,0.9843254007436072,1.0145634873242848,1.0296748839407273,1.0447811827745725,1.0,1.022402048139733,1.033594479645264,1.0447811827745725,
