variant,rebalance,model,absolute_filter,core_share,tilt_share,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure_mean_weight,annualized_turnover,full_cagr_alpha_vs_same_freq_ew,holdout_cagr_alpha_vs_same_freq_ew,full_mdd_improvement_vs_same_freq_ew,holdout_mdd_improvement_vs_same_freq_ew,positive_era_count,worst_era_cagr,median_era_sharpe,robustness_score
monthly_classic_6_12minus1_top3_ma200_r12_core075_10bp,monthly,classic_6_12minus1,ma200_r12,0.75,0.25,10.0,5.583889248015512,0.11507051480169483,0.18444379075872525,0.6995086705384379,0.9176167143211108,-0.33088109047263836,0.34776999385889773,1.4529522091358804,0.10913763561335799,0.1875351443088188,0.6597848901101132,0.8746687937501599,-0.25809480646715544,0.4228587049358027,1.684067477341877,0.12129431202893803,0.18126907940633238,0.7412034945126237,0.9618726562842632,-0.3308810904726367,0.36657976391361313,0.12233719025897849,0.7130015549734038,-0.2568599165758517,0.09440154867963857,0.5949909964748553,-0.2580948064671561,0.01871429516560741,0.1979425640990592,-0.3308810904726367,0.21838900471614942,1.1491760482952742,-0.232733764861366,0.03934136156422066,1.631005494975388,0.000717830193553981,0.00314171926149176,0.02416644161581505,0.02416644161581538,4,0.01871429516560741,0.6539962757241295,10.688854458602451
monthly_classic_6_12minus1_top3_ma200_r12_core050_10bp,monthly,classic_6_12minus1,ma200_r12,0.5,0.5,10.0,5.567229194183002,0.11490725185821304,0.18582697091693287,0.6949639091976952,0.8967443847216735,-0.3130126085118141,0.36710103278116374,1.40403671951871,0.10656156164074271,0.1835693678766936,0.6570446638571565,0.8575882469468765,-0.25885874933961805,0.41165910718720133,1.7317507843631472,0.12358616234698117,0.18807691248689126,0.7324321477763701,0.9350998606603537,-0.313012608511812,0.39482806438551965,0.1238990762576806,0.7222329973810842,-0.25885874933961805,0.08709968094902276,0.5752017954135381,-0.24020654548149012,0.02251441932144882,0.2226883913388182,-0.313012608511812,0.21911822616437648,1.083182470116977,-0.24884079685876148,0.0787117004463893,2.9039115251835494,0.000554567250072191,0.0054335695795348915,0.042034923576639294,0.04203492357664007,4,0.02251441932144882,0.6487173963973112,10.719360490776577
monthly_classic_6_12minus1_top3_none_core100_10bp,monthly,classic_6_12minus1,none,1.0,0.0,10.0,5.510934888131941,0.11435268460814085,0.18808671031849994,0.6859699201309892,0.9114867333981235,-0.3550475320884534,0.32207711439507214,1.485186156250744,0.11081046979002718,0.19629776553171008,0.6467643689942233,0.8648756907022641,-0.2799534508551884,0.3958174812688633,1.6198982606416141,0.11815259276744627,0.17941707246855848,0.7307263966475113,0.9668389193679046,-0.3550475320884521,0.33277964804445176,0.1196716416020911,0.6843367684992018,-0.25609868412163195,0.10106518030136713,0.6021774637120273,-0.2799534508551871,0.014097528365708323,0.16999041671374432,-0.3550475320884521,0.2167851995031449,1.2005545069661685,-0.21856492342265588,0.0,0.3940620233842833,0.0,0.0,0.0,0.0,4,0.014097528365708323,0.6432571161056145,10.56120660372093
monthly_classic_6_12minus1_top3_ma200_core100_10bp,monthly,classic_6_12minus1,ma200,1.0,0.0,10.0,5.510934888131941,0.11435268460814085,0.18808671031849994,0.6859699201309892,0.9114867333981235,-0.3550475320884534,0.32207711439507214,1.485186156250744,0.11081046979002718,0.19629776553171008,0.6467643689942233,0.8648756907022641,-0.2799534508551884,0.3958174812688633,1.6198982606416141,0.11815259276744627,0.17941707246855848,0.7307263966475113,0.9668389193679046,-0.3550475320884521,0.33277964804445176,0.1196716416020911,0.6843367684992018,-0.25609868412163195,0.10106518030136713,0.6021774637120273,-0.2799534508551871,0.014097528365708323,0.16999041671374432,-0.3550475320884521,0.2167851995031449,1.2005545069661685,-0.21856492342265588,0.0,0.3940620233842833,0.0,0.0,0.0,0.0,4,0.014097528365708323,0.6432571161056145,10.56120660372093
monthly_classic_6_12minus1_top3_ma200_r12_core100_10bp,monthly,classic_6_12minus1,ma200_r12,1.0,0.0,10.0,5.510934888131941,0.11435268460814085,0.18808671031849994,0.6859699201309892,0.9114867333981235,-0.3550475320884534,0.32207711439507214,1.485186156250744,0.11081046979002718,0.19629776553171008,0.6467643689942233,0.8648756907022641,-0.2799534508551884,0.3958174812688633,1.6198982606416141,0.11815259276744627,0.17941707246855848,0.7307263966475113,0.9668389193679046,-0.3550475320884521,0.33277964804445176,0.1196716416020911,0.6843367684992018,-0.25609868412163195,0.10106518030136713,0.6021774637120273,-0.2799534508551871,0.014097528365708323,0.16999041671374432,-0.3550475320884521,0.2167851995031449,1.2005545069661685,-0.21856492342265588,0.0,0.3940620233842833,0.0,0.0,0.0,0.0,4,0.014097528365708323,0.6432571161056145,10.56120660372093
monthly_long_6_12_top3_none_core100_10bp,monthly,long_6_12,none,1.0,0.0,10.0,5.510934888131941,0.11435268460814085,0.18808671031849994,0.6859699201309892,0.9114867333981235,-0.3550475320884534,0.32207711439507214,1.485186156250744,0.11081046979002718,0.19629776553171008,0.6467643689942233,0.8648756907022641,-0.2799534508551884,0.3958174812688633,1.6198982606416141,0.11815259276744627,0.17941707246855848,0.7307263966475113,0.9668389193679046,-0.3550475320884521,0.33277964804445176,0.1196716416020911,0.6843367684992018,-0.25609868412163195,0.10106518030136713,0.6021774637120273,-0.2799534508551871,0.014097528365708323,0.16999041671374432,-0.3550475320884521,0.2167851995031449,1.2005545069661685,-0.21856492342265588,0.0,0.3940620233842833,0.0,0.0,0.0,0.0,4,0.014097528365708323,0.6432571161056145,10.56120660372093
monthly_long_6_12_top3_ma200_core100_10bp,monthly,long_6_12,ma200,1.0,0.0,10.0,5.510934888131941,0.11435268460814085,0.18808671031849994,0.6859699201309892,0.9114867333981235,-0.3550475320884534,0.32207711439507214,1.485186156250744,0.11081046979002718,0.19629776553171008,0.6467643689942233,0.8648756907022641,-0.2799534508551884,0.3958174812688633,1.6198982606416141,0.11815259276744627,0.17941707246855848,0.7307263966475113,0.9668389193679046,-0.3550475320884521,0.33277964804445176,0.1196716416020911,0.6843367684992018,-0.25609868412163195,0.10106518030136713,0.6021774637120273,-0.2799534508551871,0.014097528365708323,0.16999041671374432,-0.3550475320884521,0.2167851995031449,1.2005545069661685,-0.21856492342265588,0.0,0.3940620233842833,0.0,0.0,0.0,0.0,4,0.014097528365708323,0.6432571161056145,10.56120660372093
monthly_long_6_12_top3_ma200_r12_core100_10bp,monthly,long_6_12,ma200_r12,1.0,0.0,10.0,5.510934888131941,0.11435268460814085,0.18808671031849994,0.6859699201309892,0.9114867333981235,-0.3550475320884534,0.32207711439507214,1.485186156250744,0.11081046979002718,0.19629776553171008,0.6467643689942233,0.8648756907022641,-0.2799534508551884,0.3958174812688633,1.6198982606416141,0.11815259276744627,0.17941707246855848,0.7307263966475113,0.9668389193679046,-0.3550475320884521,0.33277964804445176,0.1196716416020911,0.6843367684992018,-0.25609868412163195,0.10106518030136713,0.6021774637120273,-0.2799534508551871,0.014097528365708323,0.16999041671374432,-0.3550475320884521,0.2167851995031449,1.2005545069661685,-0.21856492342265588,0.0,0.3940620233842833,0.0,0.0,0.0,0.0,4,0.014097528365708323,0.6432571161056145,10.56120660372093
monthly_long_6_12_top3_ma200_r12_core075_10bp,monthly,long_6_12,ma200_r12,0.75,0.25,10.0,5.367975908339643,0.1129237993299057,0.18607447285728324,0.6843676481292511,0.8943269539637259,-0.34304021461743495,0.3291853098210089,1.3551506096827652,0.10394028785934784,0.18852653272596195,0.631789383266149,0.8359024696769727,-0.2777401212166226,0.37423576904929734,1.703850820477848,0.12224951317758559,0.1835644879367569,0.739007934620703,0.9536284002372776,-0.34304021461743317,0.3563707926020313,0.1124856339729523,0.6646317864157877,-0.2777401212166226,0.09452365795357665,0.5920760334512991,-0.261002185606126,0.012744999848468774,0.1617180245866805,-0.34304021461743317,0.2265234725459211,1.1686396415391624,-0.23273376486136577,0.03697485449952379,2.0126723842040635,-0.001428885278235148,0.004096920410139315,0.012007317471018464,0.012007317471018908,4,0.012744999848468774,0.6283539099335433,10.533840101373242
monthly_classic_6_12minus1_top3_ma200_r12_core025_10bp,monthly,classic_6_12minus1,ma200_r12,0.25,0.75,10.0,5.467008963296683,0.11391681404663045,0.19208667444752084,0.6738268670738531,0.8506885660864401,-0.29974533617640275,0.38004532614175324,1.3402903962866004,0.10313394308050117,0.18464334693642812,0.6370663764927742,0.8114019280522287,-0.2644909826969659,0.3899336832918208,1.7633361114321904,0.12508488451611055,0.19931595077208636,0.7091656603476533,0.8908664711910522,-0.29974533617640176,0.4173038557053559,0.12439804392822995,0.711085452926377,-0.2644909826969659,0.07921854518798188,0.5411862441002171,-0.24576193840337224,0.025537795462453827,0.24133261928308386,-0.29974533617640176,0.21904615400012073,1.0127514463684513,-0.26553721302983535,0.11812832469612242,4.165609983603311,-0.0004358705615103986,0.0069322917486642766,0.055302195912050656,0.05530219591205032,4,0.025537795462453827,0.6261358485132971,10.656242212182605
monthly_classic_6_12minus1_top3_ma200_core075_10bp,monthly,classic_6_12minus1,ma200,0.75,0.25,10.0,5.420684591856438,0.11345411149841,0.18632795211041084,0.6863193235851162,0.9018195417526474,-0.3260198580473417,0.34799754891597806,1.3565767818178536,0.1040174379264931,0.19063573993209224,0.6272933967417711,0.8324650385407113,-0.2655937441085746,0.3916411445443188,1.724581113331487,0.12324382949408696,0.1818743920802964,0.7491707089028933,0.974671462401625,-0.32601985804734346,0.37802552958657487,0.11386115951839426,0.6630352029542508,-0.25685329265289236,0.09310502214558869,0.5836579120755518,-0.2655937441085763,0.022384377678032363,0.21976240185886298,-0.32601985804734346,0.21855917611460907,1.1490094739785939,-0.23273376486136577,0.026989630290131326,1.6990039652614561,-0.0008985731097308491,0.005091236726640691,0.02902767404111173,0.02902767404110862,4,0.022384377678032363,0.6233465575149013,10.599256701079321
monthly_long_6_12_top3_ma200_core075_10bp,monthly,long_6_12,ma200,0.75,0.25,10.0,5.447088862981568,0.1137182297147159,0.18866205085798995,0.681449549211832,0.8937044077973311,-0.34242987252629564,0.3320920247867199,1.363092139232739,0.10436936759149873,0.1928559559564464,0.623974230480718,0.8289323500862518,-0.26872187335578623,0.3883917832520998,1.7282426935222555,0.12341875964621773,0.18433019927940633,0.7425158521101815,0.9612399187696721,-0.3424298725262962,0.3604205402282479,0.11388132113104787,0.6571659258421261,-0.26872187335578623,0.09384071949640505,0.5834188845173734,-0.26847173639993505,0.014785918625859207,0.17400889984990997,-0.3424298725262962,0.22677691958745694,1.168821160334864,-0.23273376486136577,0.020171099291310772,2.11901348197146,-0.0006344548934249516,0.005266166878771461,0.012617659562157768,0.01261765956215588,4,0.014785918625859207,0.6202924051797498,10.510199189538652
monthly_classic_6_12minus1_top3_none_core075_10bp,monthly,classic_6_12minus1,none,0.75,0.25,10.0,5.503475098385476,0.11427885788883607,0.19275020439164361,0.6737100051520867,0.8866741365312775,-0.35850175493689973,0.3187679176325104,1.3698704082971118,0.1047345887523623,0.19808592213520124,0.6143598030286117,0.8213389770395255,-0.289667636819408,0.3615681403085379,1.7442323747392545,0.12418023479236617,0.18720834864459512,0.737663380032604,0.9557371513752897,-0.35850175493689995,0.34638668592911964,0.11480891426683337,0.6495555539353028,-0.289667636819408,0.09356052076533405,0.5713476484007483,-0.26997622799127907,0.02171446770584029,0.21335963371873756,-0.35850175493689995,0.2211442542424802,1.1511511838950907,-0.232733764861366,0.0,1.779569496138653,-7.382671930478146e-05,0.006027642024919899,-0.00345422284844632,-0.0034542228484478743,4,0.02171446770584029,0.6104516011680255,10.42282356459351
bimonthly_classic_6_12minus1_top3_ma200_r12_core075_10bp,bimonthly,classic_6_12minus1,ma200_r12,0.75,0.25,10.0,5.016964532676365,0.10985021014013863,0.1857598216900459,0.6695240635382307,0.8734124229656259,-0.36384275694184687,0.3019167155159173,1.2538597921591577,0.09937223623079272,0.18796931077146378,0.6098109182703348,0.8043969813453712,-0.26650808715859564,0.37286762022969133,1.6696268124612108,0.12059313426288965,0.1835195472011932,0.7308476590823532,0.9428321501624821,-0.363842756941847,0.33144299827896273,0.10679561508626012,0.6361550438835337,-0.26650808715859564,0.09138453795547496,0.5784049957153928,-0.26112358673472835,0.007914673266187444,0.13322733876921428,-0.363842756941847,0.22820094006252645,1.1905639269822588,-0.23281634542910212,0.038741757517163695,1.201652177818049,0.0011449847857660789,0.0030715612307008477,-0.007205805931928433,-0.007205805931928988,4,0.007914673266187444,0.6072800197994632,10.388819779981201
bimonthly_classic_6_12minus1_top3_ma200_r12_core050_10bp,bimonthly,classic_6_12minus1,ma200_r12,0.5,0.5,10.0,5.063158771784902,0.11034329085553907,0.1882770802640451,0.6655853827487188,0.8523590245759387,-0.3720634749362204,0.296571145217773,1.2313576719350512,0.09808696679176876,0.18488492623249894,0.6103907183897609,0.7909336175439414,-0.2784166062531228,0.35230286049314485,1.717250958035284,0.12289300962624994,0.19160909755531144,0.7191135776922783,0.9112268287912599,-0.37206347493621983,0.3303011929545533,0.11293772259097934,0.6638865209169661,-0.2784166062531228,0.0817204325420342,0.5442889686408316,-0.24607408317299195,0.001767608609031246,0.0961750025389503,-0.37206347493621983,0.23942526319657476,1.165752671097092,-0.24879829488171779,0.07748436892446871,2.167676796200197,0.001638065501166519,0.005371436594061141,-0.01542652392630195,-0.015426523926301838,4,0.001767608609031246,0.6040877447788988,10.33258607227687
