0,equal_weight_10bp,slot_gate_top3_core050,slot_gate_top3_core075,eligible_backfill_top3_core050,eligible_backfill_top3_core075,slot_gate_top5_core050,slot_gate_top5_core075,eligible_backfill_top5_core050,eligible_backfill_top5_core075
2018-10-05,2.5225547921705194,2.5241485428892916,2.5326313675405854,2.4773252681219704,2.509011858266439,2.282135288130889,2.4066996310849356,2.2748938779885868,2.4026930566097984
2018-10-09,2.4850507023940023,2.485691896842654,2.494510256889688,2.4395819977241406,2.4712462679404097,2.248417786726439,2.371029939296639,2.2412833650952533,2.3670827462560644
2018-10-10,2.4952298860284645,2.499130028820555,2.506366083977359,2.452770850653971,2.4829915266992515,2.2594896287604347,2.3817243528880434,2.252320075229043,2.377759356227952
2018-10-11,2.4105032818479457,2.403935714220476,2.4160628089984435,2.3593424026315,2.3935304268067643,2.180736437524041,2.2997802835564327,2.1738167745932304,2.2959517040097746
2018-10-12,2.402516535139691,2.3912753518645253,2.4056959172775727,2.346916891598748,2.383260217492296,2.1722173825771627,2.291477953617279,2.165324751335146,2.2876631954477418
2018-10-15,2.369908504638247,2.3697085931668154,2.378521636624851,2.3257501990030063,2.356339366210355,2.1462597120149893,2.262236426178077,2.1394494466782095,2.2584703480997064
2018-10-16,2.390307608153304,2.3955024640619444,2.4017092546430527,2.3510655903301885,2.3793107347712352,2.165214925280511,2.281962584424461,2.158344513433441,2.27816366704986
2018-10-17,2.4236386095363707,2.423729936972876,2.4325957865987173,2.378769440047937,2.409909216623232,2.1931053224518067,2.312568441410095,2.186146411992932,2.3087185726646604
2018-10-18,2.4110803072196356,2.4002465316617796,2.4144960984355626,2.3557216548759374,2.391978327503597,2.178482928714922,2.2988665595376085,2.171570416359991,2.295039501121084
2018-10-19,2.396218777595325,2.387459763868569,2.4006235091970387,2.3431720832427763,2.3782351150683363,2.1660688875690344,2.2852315297107495,2.1591957660267025,2.2814271703306006
2018-10-22,2.39905982938735,2.37992391352786,2.3982555347702768,2.335776023879148,2.375889224547922,2.1628880834930517,2.2849080902085,2.156025054913664,2.28110426927712
2018-10-23,2.335185161501978,2.3197826190429716,2.336023859751307,2.276750358014636,2.314237926777728,2.1087450981765095,2.2258894053079774,2.1020538699128366,2.222183836253743
2018-10-24,2.337787571377277,2.315517724858457,2.3351816567421024,2.27256457815674,2.3134035782166844,2.1102349680795536,2.227916216568443,2.1035390123314572,2.2242072733622553
2018-10-25,2.2726484727640153,2.2485965078880046,2.26890666781625,2.2068847582264093,2.247746674787064,2.0495075644062495,2.1648210145678317,2.043004301895562,2.1612171096566493
2018-10-26,2.2703324100672155,2.2467750532401936,2.266830872040665,2.205097091792723,2.2456902380379056,2.043590483299665,2.160595138183228,2.0371059961925924,2.156998268337094
2018-10-29,2.272284194929586,2.2505715481247752,2.269717702893568,2.208823161216951,2.2485501460906816,2.0420604635854076,2.1607185766008614,2.0355808313615373,2.1571215012595313
2018-10-30,2.295561457509088,2.270432862823982,2.2913623656532507,2.2283160460160945,2.269992949109014,2.0624631504830924,2.182580656425832,2.0559187787914968,2.178947185993952
2018-10-31,2.329790585918844,2.3038577803167697,2.3253128382057637,2.2611209270612456,2.303626797019033,2.0958576954239954,2.2165184761099423,2.08920735998972,2.2128285073928873
2018-11-01,2.3147615284974252,2.275124589779461,2.3033339579630563,2.2329207408430607,2.2818528934548823,2.066982960221678,2.1941372648443855,2.060224811105011,2.190384449601693
2018-11-02,2.3462969966517724,2.314198597436623,2.338803093494389,2.271269920715445,2.316991241179365,2.089641523109085,2.221109551681858,2.084839450043533,2.2183898135267173
2018-11-05,2.3215529688426573,2.282478225952446,2.3104353211753983,2.2401379661348253,2.2888880288235662,2.0662753986185196,2.196980486759391,2.05946687175365,2.1931947984867315
2018-11-06,2.3520805648672765,2.325174866595231,2.3472367835699273,2.2820425786926983,2.325346278031419,2.0976291664990914,2.2280901514420544,2.0946064247590996,2.226318229272328
2018-11-07,2.3360234330367877,2.2941128979287364,2.3235242995928207,2.2515568134742066,2.3018549384507643,2.076773618415634,2.2094107031997363,2.0707924224981227,2.206061800889863
2018-11-08,2.383578540028821,2.358280408912152,2.3796660308529547,2.3145340090118944,2.357473087732423,2.1270768321227926,2.258648042194318,2.1245420612359154,2.257134436143354
2018-11-09,2.3701915985715534,2.328190946813427,2.357774333291727,2.2850027102413217,2.3357855537775536,2.1095977663222962,2.2430262125896543,2.1067063638239585,2.2413193647233056
2018-11-12,2.371103091389748,2.3259807932172496,2.357109051067861,2.2828335552739305,2.3351264760253914,2.109814238759449,2.243573104222696,2.1069996155060626,2.2419065121846913
2018-11-13,2.323601485299736,2.2765626248145954,2.308460048355117,2.234332100146386,2.286931177545122,2.071351752076041,2.2006456873839975,2.062921096714595,2.196000248083263
2018-11-14,2.3241306002894917,2.263601410455584,2.302162339267976,2.2216113179532866,2.28069220136325,2.069077830079395,2.199689555283954,2.06017418996297,2.194790365755655
2018-11-15,2.3215680009539503,2.256883882745525,2.297486955837975,2.215018401231995,2.2760604209082813,2.0678623288661884,2.1978298877547675,2.055898826261404,2.1913051780312434
2018-11-16,2.312193921226071,2.250129311263953,2.2894038942127164,2.208389127905838,2.268052742519394,2.0604947924392802,2.1894767115969618,2.0488792742550976,2.1831384683147688
2018-11-19,2.3175840462852086,2.257638204068237,2.2958866496380526,2.2157587297987513,2.2744750392834923,2.066053441911055,2.1949816321133975,2.054342262306413,2.188592782085785
2018-11-20,2.3079460015328563,2.2415014826979434,2.28292301728953,2.1999213466511205,2.2616323067383943,2.0580370312136727,2.186158955678835,2.0463071193691373,2.1797613048986015
2018-11-21,2.2892938719045977,2.2150584478836954,2.2602575420438122,2.1739688334776366,2.239178211407508,2.038022154720492,2.166695815883024,2.0236223912467133,2.1588774043721544
2018-11-22,2.3070488038527817,2.231166072065354,2.277244853185059,2.1897776591931626,2.2560070976164153,2.052055952855692,2.182559225956109,2.038682725188723,2.1752837684570343
2018-11-26,2.309634323399318,2.2259392480552256,2.2758854150171635,2.1846477934295985,2.254660337670398,2.050226664214253,2.1828137085092782,2.036109343212087,2.175139084713404
2018-11-27,2.3235909076328753,2.2321716511037226,2.285984095974856,2.190764584613167,2.2646648375752956,2.056235000993229,2.19261733107309,2.045354039762053,2.186656794498089
2018-11-28,2.332215667496435,2.2407645425228324,2.294624903971117,2.199198076809479,2.2732250607508755,2.061853831805338,2.199687230910042,2.0503532001507807,2.193394958211131
2018-11-29,2.3383902302189905,2.252334743499751,2.3035537741669305,2.2105536490946824,2.282070659636423,2.068492171035074,2.2061369858308035,2.0564708184638016,2.199568410107101
2018-11-30,2.350775423739262,2.2792423485757793,2.323336415983581,2.2369621146928242,2.301668807058096,2.0842527004188125,2.2203719147591734,2.0728353578305354,2.2141274695966087
2018-12-03,2.3814670788550907,2.311084419194374,2.3547429087042753,2.2678380350350866,2.332590905733837,2.1095959445377828,2.2483849522662283,2.10056436074239,2.2434137514570622
2018-12-04,2.325082539797825,2.2690224245906974,2.3054387130941683,2.2180986767350377,2.2793974665027674,2.0718451938647644,2.201650960220126,2.05764821614446,2.1939384502852692
2018-12-05,2.3144287419557945,2.26794608835361,2.29962325656685,2.21696223391481,2.2735954488319723,2.0693233969574556,2.1952778890837887,2.055342273950914,2.1876889718039076
2018-12-06,2.2781103208032674,2.2371965638876463,2.2660026181750905,2.1838824800201784,2.238796794947191,2.0444260074878646,2.16486577237646,2.0290214236897444,2.15652704518569
2018-12-07,2.288245861328563,2.250374626243349,2.2777270232880986,2.2043003814240008,2.254261000223637,2.0576176239616975,2.17668008577554,2.0455839693297295,2.1701454802795057
2018-12-10,2.2506236634565973,2.22005776606447,2.2436822307036923,2.167706374568394,2.2170165398826684,2.0305278231465596,2.144484185439418,2.0153551244094086,2.1362825757887607
2018-12-11,2.2250601406202897,2.2021253718183313,2.221908325952483,2.1512463833016593,2.1960321215348966,2.0168119099074078,2.1251075623615927,2.00057011031528,2.116346535078576
2018-12-12,2.268441661226848,2.2443604447695185,2.2648721444674944,2.194799300493671,2.239675945315893,2.048806081657,2.162635714866498,2.034842942136388,2.155081666960309
2018-12-13,2.2836162910482662,2.253692618148441,2.277128549928709,2.206178700847471,2.2529596979515922,2.05784576734026,2.1746162328092624,2.044106447039821,2.1671758821472444
2018-12-14,2.2533375837284906,2.233890412009398,2.252070942017794,2.182612620784456,2.226011580174161,2.039328325496233,2.150455056337087,2.0245663745792974,2.1424797048675277
2018-12-17,2.2562324654146706,2.240577939211087,2.256909070417494,2.1907030555509484,2.2315900335949808,2.0443567521078903,2.1545012325319504,2.032619855756736,2.148143817821656
2018-12-18,2.2135199716260514,2.19643983279504,2.213306519743654,2.139192255136902,2.1841813067308595,2.008039544961511,2.114985177413498,1.9927929919592646,2.1067579400149095
2018-12-19,2.1978396378096643,2.170224709939113,2.192199157836269,2.1090256447633813,2.160988073841686,1.9884244837188352,2.097130375976397,1.9735030191923155,2.0890713705011854
2018-12-20,2.1484562954583333,2.1430184830791297,2.153924481188046,2.073601587648368,2.1185854089900773,1.9599039760319446,2.0586201078721396,1.9398305557911946,2.0478298884584287
2018-12-21,2.1030456537013245,2.103408073521769,2.111294610056098,2.025697846369477,2.0717103211210226,1.9251219664801287,2.0186484669245917,1.9006196944806253,2.0055020892485413
