top_k,core_share,delta_backfill_minus_gate_full_cagr,delta_holdout_cagr,delta_full_mdd,delta_full_sharpe,delta_cash_weight,delta_turnover,delta_selection_cagr,delta_selection_mdd,delta_rolling3y_selection_positive
3,0.5,-0.0023983240938936223,-0.002412509514368111,-0.0159184094547159,-0.020930762551793047,-0.010336554138853427,0.11740143849910734,-0.0007441325396533305,0.00719890786399513,-0.0200630553167096
3,0.75,-0.0012052401178659355,-0.0012140513671425879,-0.00788332080674048,-0.010959365881867189,-0.0051801523582551134,0.05687477490683435,-0.0003487238081389954,0.003425611686486474,-0.014330753797649698
5,0.5,-0.0018448140502753674,-0.0033282223578563475,-0.004307773771437873,-0.0184338113178798,-0.013207120587133622,0.16311511791034006,-0.002156870666421451,0.003206997416193791,-0.05273717397535105
5,0.75,-0.0009201223376174017,-0.0016428031342132776,-0.0021061781850113537,-0.009220852290312553,-0.006605806291680456,0.07856908942525953,-0.0010418868836645778,0.0015766984374628867,-0.04929779306391513
