policy,top_k,core_share,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure_mean_weight,annualized_turnover,cashmatched_full_cagr,cashmatched_holdout_cagr,cashmatched_full_mdd,selection_full_cagr_contribution,selection_holdout_cagr_contribution,selection_full_mdd_contribution,selection_full_sharpe_contribution,full_cagr_alpha_vs_ew,holdout_cagr_alpha_vs_ew,full_mdd_improvement_vs_ew,holdout_mdd_improvement_vs_ew,rolling3y_selection_positive_share,rolling3y_selection_median_ann,rolling3y_selection_worst_ann,positive_era_count,worst_era_cagr
eligible_backfill,3,0.5,10.0,5.327025587519043,0.11250892776431942,0.1892725130864386,0.6740331466459024,0.8674115983064831,-0.32893101796653,0.34204414183817605,1.359441534268675,0.10417228457259964,0.18618746663811814,0.6385089334099697,0.8332032556298562,-0.2682872854094499,0.3882863267769691,1.681577608779436,0.12117365283261305,0.19233501025423796,0.7089289664616504,0.9008267019303534,-0.32893101796652857,0.36838621538861216,0.120818920622906,0.7051653115977138,-0.2682872854094499,0.0854828235735623,0.556036127468364,-0.24969654816857567,0.016518530024447697,0.18499609413359186,-0.32893101796652857,0.22041246546263915,1.064923291573443,-0.2488407968587616,0.06837514630753587,3.021312963682657,0.10714642772129457,0.11215263321820923,-0.3262281241029258,0.005362500043024854,0.009021019614403825,-0.0027028938636042277,-0.011357239823702847,-0.0018437568438214313,0.0030210600651667807,0.026116514121923506,0.026116514121923506,0.6205216394382345,0.003522550969569513,-0.022065699360315383,4,0.016518530024447697
slot_gate,3,0.5,10.0,5.567229194183004,0.11490725185821304,0.18582697091693284,0.6949639091976955,0.8967443847216737,-0.3130126085118141,0.36710103278116374,1.40403671951871,0.10656156164074271,0.1835693678766936,0.6570446638571565,0.8575882469468765,-0.25885874933961805,0.41165910718720133,1.7317507843631472,0.12358616234698117,0.18807691248689126,0.7324321477763703,0.935099860660354,-0.313012608511812,0.39482806438551965,0.1238990762576806,0.7222329973810843,-0.25885874933961805,0.08709968094902276,0.575201795413538,-0.24020654548149012,0.022514419321449042,0.22268839133881876,-0.313012608511812,0.21911822616437648,1.083182470116977,-0.24884079685876148,0.0787117004463893,2.9039115251835494,0.10880061927553486,0.11457987937705894,-0.30311080678421476,0.006106632582678184,0.00900628296992223,-0.009901801727599358,-0.009134803565683525,0.000554567250072191,0.0054335695795348915,0.042034923576639405,0.04203492357664007,0.6405846947549441,0.004366001129349459,-0.020071063489355147,4,0.022514419321449042
eligible_backfill,3,0.75,10.0,5.461833457375638,0.1138652746838289,0.18625102682626044,0.6885493046565706,0.9014149045540552,-0.3387644112793783,0.3361193528381718,1.4300757936435584,0.10793858843794535,0.18901758053534023,0.6502198051288642,0.8611624877615719,-0.2628274623710063,0.4106823064234423,1.6591077835012724,0.12008026066179545,0.1834153299128867,0.7285848149880492,0.9426150015163434,-0.3387644112793793,0.35446539442646813,0.12082450590100624,0.7044280906572596,-0.261521164996793,0.09355517654952705,0.5848194366136542,-0.2628274623710055,0.015690079824821845,0.17951840454229184,-0.3387644112793793,0.2190502234040037,1.1377293045601475,-0.23273376486136588,0.03416120920596555,1.6878802698822222,0.1108791609399824,0.11523979525611305,-0.3401083225816911,0.002986113743846497,0.004840465405682393,0.0013439113023128169,0.0003565689976171571,-0.0004874099243119545,0.001927667894349172,0.016283120809075236,0.016283120809072793,0.6391516193751792,0.0020095229201659184,-0.010827468499490749,4,0.015690079824821845
slot_gate,3,0.75,10.0,5.583889248015509,0.11507051480169483,0.18444379075872522,0.6995086705384378,0.9176167143211106,-0.3308810904726378,0.34776999385889834,1.4529522091358755,0.10913763561335776,0.1875351443088188,0.659784890110113,0.8746687937501595,-0.2580948064671561,0.42285870493580074,1.684067477341877,0.12129431202893803,0.18126907940633238,0.7412034945126237,0.9618726562842632,-0.3308810904726368,0.366579763913613,0.12233719025897849,0.7130015549734033,-0.2568599165758517,0.09440154867963857,0.5949909964748553,-0.2580948064671561,0.01871429516560741,0.19794256409905941,-0.3308810904726368,0.21838900471614942,1.149176048295274,-0.232733764861366,0.03934136156422066,1.6310054949753878,0.11173567724970934,0.1164851070316888,-0.32879939008846415,0.0033348375519854923,0.004809204997249239,-0.002081700384173657,0.001891143202921275,0.000717830193553981,0.00314171926149176,0.024166441615815715,0.02416644161581527,0.6534823731728289,0.0024045464820346683,-0.00988276008835738,4,0.01871429516560741
eligible_backfill,5,0.5,10.0,4.702586853736549,0.10584804184512575,0.1807899794523629,0.6627428198112447,0.849601145785148,-0.31080464225632876,0.34056132841745035,1.1998093772908307,0.0952788370380695,0.1786921031337131,0.6112432143187541,0.7901080652966997,-0.27764233143320804,0.34317114593525366,1.592309548548033,0.1167808964273136,0.18288084627558868,0.7136367777667968,0.9077653626126978,-0.3108046422563291,0.3757372978071582,0.0961357286850888,0.6080610583236667,-0.27764233143320804,0.09475466033959878,0.6153263735643568,-0.24651133642607437,0.01207613175634581,0.1573478441073336,-0.3108046422563291,0.21609271033750388,1.0898320632051401,-0.23992639919568115,0.0866376973753641,2.745407797990506,0.10467759382887576,0.11179967295913751,-0.30861007211000313,0.001170448016249992,0.004981223468176088,-0.002194570146325625,-0.01918164457332927,-0.008504642763015102,-0.0013716963401326776,0.044242889832124765,0.04424288983212299,0.6425910002866151,0.0024557410575608246,-0.016245332496899502,4,0.01207613175634581
slot_gate,5,0.5,10.0,4.869454396337045,0.10769285589540112,0.1775609882620156,0.6811766311291245,0.8746969114677227,-0.3064968684848909,0.35136690442470203,1.2068117795083495,0.09568074796596338,0.1762391667148517,0.619409209857714,0.8004224607008181,-0.2752006655034196,0.34767629573473713,1.6596986887774712,0.12010911878516994,0.17888229541630554,0.7426572895412488,0.9478893378910721,-0.306496868484891,0.3918771483014053,0.09714676344238038,0.6167370224392337,-0.2752006655034196,0.09444566396287057,0.6231130314689711,-0.24651133642607426,0.012090108286919143,0.1575008332571374,-0.306496868484891,0.22284601162470397,1.141212887971178,-0.23992639919568115,0.09984481796249772,2.5822926800801658,0.10436553721272968,0.11091754745773041,-0.30109530092237147,0.003327318682671443,0.00919157132743953,-0.005401567562519416,-0.008301851706112084,-0.006659828712739735,0.00195652601772367,0.04855066360356264,0.048550663603561084,0.6953281742619661,0.003681402482467288,-0.015275498903262213,4,0.012090108286919143
eligible_backfill,5,0.75,10.0,5.127486311434082,0.11045046320087093,0.18251695176211644,0.6815309816454339,0.8931257688702363,-0.33190582270506186,0.3327765156413644,1.3450318923409572,0.10339171689714743,0.18555249363499135,0.6361414159706106,0.8407440537687104,-0.26587307563900053,0.38887622091351415,1.6129650225427112,0.11780908148695879,0.17939967153421735,0.7291231448088741,0.9474415346402039,-0.33190582270506175,0.3549473176662114,0.10828060063016642,0.6551212670768803,-0.26587307563900053,0.09820619296694422,0.613504024544352,-0.25835949060263186,0.01346825587427003,0.16608144312636708,-0.33190582270506175,0.2167390172269441,1.1480442779637663,-0.22786122396287434,0.04328978582709729,1.538485951937006,0.10968840057924378,0.11510440053884063,-0.331226984589887,0.0007620626216271464,0.0027046809481181544,-0.0006788381151748846,-0.0058109927827185714,-0.0039022214072699235,-0.00034351128048748514,0.023141709383391662,0.02314170938339033,0.6574949842361708,0.0013741739002934008,-0.00800596198251821,4,0.01346825587427003
slot_gate,5,0.75,10.0,5.215935019951226,0.11137058553848833,0.18088281066523346,0.6907518339357465,0.9059257918348418,-0.3297996445200505,0.3376916482143674,1.3489423148135207,0.10360396231008018,0.1842476146271503,0.6404077887348333,0.8463991180199366,-0.26464701963685977,0.3914797999699458,1.6462697618203017,0.11945188462117207,0.17742033567002938,0.7437844555398901,0.9680479627332205,-0.32979964452005084,0.36219531041340997,0.10878777805667816,0.6594127372630535,-0.26464701963685977,0.09807691339191349,0.6176413955241877,-0.2548869927877655,0.013481873654782595,0.166191155904746,-0.32979964452005084,0.22006200774052131,1.1757258183303925,-0.22786122396287456,0.04989559211877775,1.4599168625117465,0.10956663603319661,0.11470233914146366,-0.32754410796741273,0.0018039495052917243,0.004749545479708406,-0.0022555365526377713,-0.00046709814436551866,-0.002982099069652522,0.0012992918537257925,0.025247887568403016,0.02524788756840124,0.7067927773000859,0.0019559125313723755,-0.007497210133623716,4,0.013481873654782595
eligible_backfill,3,0.5,20.0,5.012962627107854,0.10924031369497045,0.18925289512653148,0.6581042451993554,0.8466883744219363,-0.3315473534353419,0.3294863088577614,1.2983160259890498,0.10083161656986617,0.18617027792949503,0.6218810631235335,0.8111574238125355,-0.2723639082066457,0.37020917064152287,1.6162470953141646,0.11797179398449575,0.19231298432136462,0.6936794680325729,0.8813472516760468,-0.3315473534353415,0.3558218539889587,0.1180781926136687,0.692090912782977,-0.2723639082066457,0.08144478234612929,0.5349380956639982,-0.25195308346245704,0.013999600812208968,0.16942077584148854,-0.3315473534353415,0.21651955962364644,1.0495675433343774,-0.248867610280761,0.06837514630753587,3.021312963682657,0.106254646074883,0.11149554357411962,-0.32781056892003546,0.002985667620087451,0.006476250410376139,-0.003736784515306457,-0.022540907458708404,-0.004684938431104957,0.00018572984852638363,0.023879136815235347,0.023879136815236568,0.5388363427916308,0.001117601066640959,-0.02503682816376141,4,0.013999600812208968
slot_gate,3,0.5,20.0,5.2536027975937785,0.11175869910506164,0.18580871556114337,0.6793709513386486,0.8763531162098556,-0.3152336434368911,0.3545265596863091,1.3440437970062589,0.10333803664927377,0.18355267727042013,0.6408092188861328,0.8360312947674655,-0.26226832095142505,0.3940164647960403,1.667869433830833,0.12050757464865836,0.18805708286649855,0.7174703528453908,0.9158257258238292,-0.31523364343688975,0.38228018220010884,0.12138535971943032,0.7102188429045627,-0.26226832095142505,0.08305580295905579,0.5535279768890294,-0.24223897726608845,0.020151602528838408,0.20798830478314745,-0.31523364343688975,0.21531715630993098,1.0677375673727634,-0.248867610280761,0.0787117004463893,2.9039115251835494,0.10784337081150186,0.1138224696764778,-0.3047121379471046,0.003915328293559783,0.0066851049721805555,-0.010521505489786476,-0.01955194480343525,-0.002166553021013762,0.002721510512688985,0.04019284681368618,0.04019284681368829,0.5697907709945543,0.0022938179601900534,-0.02237327417700233,4,0.020151602528838408
