variant,extra_execution_delay_nav_days,core_share,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,rolling3y_positive_alpha_share,rolling3y_median_ann_alpha,rolling3y_worst_ann_alpha,cash_exposure_mean_weight,annualized_turnover,full_cagr_alpha_vs_same_delay_ew,holdout_cagr_alpha_vs_same_delay_ew,full_mdd_improvement_vs_same_delay_ew,holdout_mdd_improvement_vs_same_delay_ew,positive_era_count,worst_era_cagr
delay0_core025_10bp,0,0.25,10.0,5.467008963296717,0.11391681404663068,0.19208667444752084,0.6738268670738532,0.8506885660864402,-0.299745336176403,0.38004532614175374,1.340290396286608,0.10313394308050161,0.1846433469364281,0.6370663764927743,0.8114019280522288,-0.26449098269696547,0.38993368329182315,1.7633361114321904,0.12508488451611055,0.19931595077208636,0.7091656603476533,0.8908664711910522,-0.29974533617640176,0.4173038557053559,0.1243980439282304,0.7110854529263768,-0.26449098269696547,0.07921854518798188,0.5411862441002173,-0.24576193840337224,0.025537795462453827,0.24133261928308386,-0.29974533617640176,0.21904615400012073,1.0127514463684513,-0.26553721302983535,0.4832330180567498,-0.0007597362465844488,-0.04345154953698131,0.11812832469612242,4.165609983603311,-0.00043587056151017656,0.0069322917486642766,0.055302195912050545,0.05530219591205032,4,0.025537795462453827
delay1_core025_10bp,1,0.25,10.0,5.436390318982268,0.11372521682277759,0.192815818000591,0.6706815019892751,0.8464689995903357,-0.3069465121589524,0.3705049978345573,1.2518660665007961,0.0984355860168944,0.18532898644665055,0.61106120972984,0.7766467869964339,-0.2978436780151543,0.33049412588803034,1.858247395229812,0.1294990231650086,0.20008107828770125,0.727371255660357,0.9147627581061771,-0.3069465121589515,0.42189442797104615,0.11512960011909623,0.6656577759735776,-0.2978436780151543,0.07973136074633347,0.541295359824344,-0.24051616722977598,0.020657705587946662,0.21078409683762264,-0.3069465121589515,0.23304096282264442,1.062101047975507,-0.266374474321457,0.5530389908256881,0.0018420239731296929,-0.04961576402720885,0.11805046742488642,4.1592733942641535,0.0020200500579226066,0.01160295130815081,0.048760801498916484,0.04876080149891637,4,0.020657705587946662
delay2_core025_10bp,2,0.25,10.0,5.472396041230562,0.11410374246745358,0.19338897847743303,0.6711133808846297,0.8470257977016271,-0.3052446156526698,0.3738108278289481,1.2432639724194496,0.09798195859755232,0.18635808362606518,0.6065227242626602,0.771173791624969,-0.29221900047003047,0.33530317481050037,1.8852583203794184,0.13073155452307383,0.20022426749911215,0.7325997708564143,0.9207354202981227,-0.305244615652669,0.42828455546560834,0.12233101242537914,0.6957220438242587,-0.29221900047003047,0.07069400516152458,0.4904632081463667,-0.2458641496779973,0.023381002693071418,0.22738672815713637,-0.305244615652669,0.23271670092867458,1.061252487351211,-0.2659262656699839,0.5394321766561514,0.0018353618559162452,-0.05904480439582589,0.11801908833738026,4.166421429152499,0.003019046181164553,0.012380226661261595,0.05023897569267921,0.05023897569268099,4,0.023381002693071418
delay3_core025_10bp,3,0.25,10.0,5.099116531230082,0.1103365470069082,0.19399728968235025,0.6515526662740806,0.8222152444279595,-0.30714953470368955,0.35922745939807804,1.110357276969487,0.09034051741076654,0.18681281408961875,0.5670341745062387,0.7208106492215135,-0.30714953470368955,0.29412552259901353,1.8900871894016649,0.13095082433285876,0.20097145444457315,0.7316184424366061,0.919278611126068,-0.2999790324707151,0.4365332578557556,0.1195290929763626,0.6814807672978108,-0.30714953470368955,0.05771066820076465,0.4173920975838946,-0.25010604446275464,0.023513607223691224,0.2280803734361483,-0.2999790324707151,0.2330248348847237,1.05859680095864,-0.2658084142389251,0.49368904188181295,-0.0002606650883755572,-0.06643678692616262,0.11813098355181804,4.173868846938514,-0.00011871802018159627,0.012563882505717272,0.048564703298217604,0.05573520553119282,4,0.023513607223691224
delay5_core025_10bp,5,0.25,10.0,4.5745018130578945,0.10460579753763266,0.19541090906177744,0.6211755170076719,0.7776544260265,-0.3390621296493407,0.30851513156546373,1.0908480913860243,0.08922747342813842,0.1875725072282038,0.5600958633307429,0.7075730900872013,-0.31203261043311836,0.28595560350017835,1.6661438657470957,0.1204235152666373,0.20299404970519683,0.6789672439191718,0.8452820036987008,-0.33906212964934135,0.35516651591606385,0.12002553105751601,0.6817314731335591,-0.31203261043311836,0.05486344591708048,0.400870330720448,-0.25293132477089575,0.0011157358050988275,0.09027506022491617,-0.33906212964934135,0.2350393363970471,1.0593595727392902,-0.2659918866881079,0.35533869115958666,-0.008085882754171225,-0.06713074262601931,0.11813266094382635,4.181653487195121,-0.0067177081606564215,0.0019104942015386595,0.0159809221785554,0.015980922178553847,4,0.0011157358050988275
delay0_core050_10bp,0,0.5,10.0,5.567229194183004,0.11490725185821304,0.18582697091693284,0.6949639091976955,0.8967443847216737,-0.3130126085118141,0.36710103278116374,1.40403671951871,0.10656156164074271,0.1835693678766936,0.6570446638571565,0.8575882469468765,-0.25885874933961805,0.41165910718720133,1.7317507843631472,0.12358616234698117,0.18807691248689126,0.7324321477763703,0.935099860660354,-0.313012608511812,0.39482806438551965,0.1238990762576806,0.7222329973810843,-0.25885874933961805,0.08709968094902276,0.575201795413538,-0.24020654548149012,0.022514419321449042,0.22268839133881876,-0.313012608511812,0.21911822616437648,1.083182470116977,-0.24884079685876148,0.5070220693608484,0.00019705656092714152,-0.028598757597826086,0.0787117004463893,2.9039115251835494,0.000554567250072191,0.0054335695795348915,0.042034923576639405,0.04203492357664007,4,0.022514419321449042
delay1_core050_10bp,1,0.5,10.0,5.443883701964528,0.11380018227890476,0.18630446236870668,0.6877604574226872,0.8862702062073501,-0.3184043858531639,0.35740770961422974,1.308843847624951,0.10161469988408767,0.1838818024170831,0.6305170421543402,0.8208144177449606,-0.28091324515407856,0.3617298281124226,1.7909569149049327,0.12638312905338345,0.18871422978867802,0.744166237037585,0.9499702465708956,-0.3184043858531649,0.3969264704527851,0.11434598545051888,0.675170775789452,-0.28091324515407856,0.08742777752011688,0.5750244901611695,-0.236538935983456,0.01909787034328425,0.2012387372182818,-0.3184043858531649,0.22832305945710374,1.1176971157220967,-0.24959411276487553,0.5802752293577982,0.001840255212251547,-0.03285466457971016,0.07862208611102468,2.8993193269810726,0.0020950155140497806,0.00848705719652565,0.03730292780470501,0.03730292780470301,4,0.01909787034328425
delay2_core050_10bp,2,0.5,10.0,5.4517302644525305,0.11389762215266441,0.18674655810074992,0.6870953987557472,0.8855463808672703,-0.3174852067076218,0.35874938342420126,1.2936500764972259,0.10080727499014186,0.1846662116802088,0.6246403391526086,0.8133219661707838,-0.277349015353473,0.36346721787227554,1.8128659774926823,0.12740485473075513,0.1888178453750642,0.7487952957802595,0.9558887052307171,-0.3174852067076209,0.4012938305125034,0.11807381773376568,0.690468813748254,-0.277349015353473,0.08147875916607417,0.5421903694578974,-0.24021082524842174,0.021096665572205353,0.21355217466959595,-0.3174852067076209,0.22832532321869303,1.117825151657683,-0.24880889046838217,0.561227416117006,0.0019560478319794886,-0.03926879650614662,0.07859104937084939,2.9063415255072016,0.002812925866375382,0.009053526868942896,0.0379983846377272,0.03799838463772909,4,0.021096665572205353
delay3_core050_10bp,3,0.5,10.0,5.174867202673644,0.11113015697216677,0.18714105507185763,0.6722505464362943,0.8660039622977804,-0.3140468094611055,0.35386494504708593,1.1931216245535734,0.09520868561924534,0.18496650331535758,0.5954874449021226,0.7746370303879426,-0.28742542349640554,0.33124656984435474,1.8155607666905338,0.127530039499264,0.18930262764028982,0.7479673108908381,0.9548184630475727,-0.31404680946110486,0.40608608544089914,0.11529370692008278,0.6761556791210103,-0.28742542349640554,0.07271839894963872,0.49429514650316364,-0.24399562536560226,0.021173600724523567,0.21395981668527878,-0.31404680946110486,0.22849991285090243,1.1155982369195325,-0.24859874325901798,0.5129087779690189,0.0005020963572166475,-0.04418403726032264,0.07874971019809329,2.91007552524613,0.0006748919450769719,0.009143097672122513,0.04166742854080163,0.041667428540803075,4,0.021173600724523567
delay5_core050_10bp,5,0.5,10.0,4.8418790532802936,0.10760634470343611,0.18822686853974258,0.6522450158344827,0.8346047279574923,-0.3404880584622504,0.31603559076174276,1.1898339112085305,0.09508149729093573,0.18552085413593045,0.5937923422126757,0.7689821819249153,-0.29150217185030025,0.32617766340267423,1.6677270012940277,0.1205006380054836,0.19091000092529822,0.7095949103460383,0.8980592527900843,-0.3404880584622506,0.3539056216823044,0.11668295189783295,0.6812934363489962,-0.29150217185030025,0.07092144550071011,0.48398062041786244,-0.2526434239794967,0.006103394013937002,0.12067411955402048,-0.3404880584622506,0.22991743759739203,1.1155707473597727,-0.24886860716556802,0.36739380022962115,-0.004804533536089643,-0.044610312603167175,0.07871132252988536,2.916703819642933,-0.003717160994852975,0.001987616940384962,0.014554993365645696,0.014554993365644586,4,0.006103394013937002
