0,benchmark_delay0_10bp,delay0_core025_10bp,delay0_core050_10bp,delay0_core075_10bp,benchmark_delay1_10bp,delay1_core025_10bp,delay1_core050_10bp,delay1_core075_10bp,benchmark_delay2_10bp,delay2_core025_10bp,delay2_core050_10bp,delay2_core075_10bp,benchmark_delay3_10bp,delay3_core025_10bp,delay3_core050_10bp,delay3_core075_10bp,benchmark_delay5_10bp,delay5_core025_10bp,delay5_core050_10bp,delay5_core075_10bp
2009-05-01,0.999,0.99975,0.9995,0.99925,,,,,,,,,,,,,,,,
2009-05-07,1.0419405768988268,1.0104932036422927,1.0209810343395282,1.031463492091706,0.999,0.99975,0.9995,0.99925,,,,,,,,,,,,
2009-05-08,1.0545686264466267,1.0136525861586623,1.0272982192859879,1.0409368993819756,1.0110005496228505,1.0027523897611224,1.0055032779519715,1.0082526645725476,0.999,0.99975,0.9995,0.99925,,,,,,,,
2009-05-11,1.065848529992094,1.0164746791440429,1.0329409938574066,1.04939894414009,1.0216801062928962,1.0054242833499307,1.0108457288487236,1.0162643364963788,1.0094103267561096,1.0023545355791845,1.0047077685649306,1.0070596989572391,0.999,0.99975,0.9995,0.99925,,,,
2009-05-12,1.0483696059506677,1.0121016675548498,1.024197157731578,1.0362864705301837,1.0051810287516205,1.0012964172908991,1.002592061179802,1.0038869316667094,0.993193236135153,0.9982972191757057,0.996595164923466,0.994893837243282,0.9830731832287992,0.9957653065397878,0.991532605924517,0.9873018981541873,,,,
2009-05-13,1.0541234647156534,1.013541212174543,1.0270755270186667,1.0406029445323701,1.010896158606526,1.0027262724141328,1.0054510563199313,1.0081743517173958,0.9987977744818064,0.9996994056652118,0.9993988366339165,0.9990982929061148,0.9885609744686336,0.9971382843405947,0.9942778748655652,0.9914187715749115,0.999,0.99975,0.9995,0.99925
2009-05-14,1.0257715969331975,1.0064479239324235,1.0128924980654312,1.0193337223990224,0.9840103775855782,0.9959997810288244,0.9920014376360287,0.9880049698216135,0.9722481924995158,0.9930570271399878,0.986117401603236,0.9791811233897455,0.9623096643522673,0.9905705297638087,0.9811456504104561,0.9717253619399424,0.9722153873248855,0.9930488196892028,0.986100990806418,0.9791565133516454
2009-05-15,1.0460110383409276,1.011511582978314,1.0230172836945735,1.0345171021487778,1.0031115759195506,1.000778665672065,1.001556816882678,1.00233445363184,0.9910503401439585,0.9977610929827133,0.9955231806676106,0.9932862630546925,0.9808777453737009,0.9952160350193588,0.9904343375880952,0.9856549077062094,0.9912121783851009,0.9978015829180442,0.9956041402882426,0.9934076721105946
2009-05-18,1.0203363039566902,1.005088080550726,1.0101734913937501,1.015256232529071,0.9786793249310366,0.9946660172922435,0.989334577211497,0.9840056797577613,0.9669425327731717,0.9917296164013959,0.9834632439973896,0.9752008827879816,0.9570675638893359,0.9892590207703613,0.9785232883420377,0.9677928027150294,0.9670059404820519,0.9917454802294624,0.9834949637196252,0.9752484504704882
2009-05-19,1.0447811827745725,1.011203888257978,1.022402048139733,1.033594479645264,1.0019950544695693,1.0004993257522403,1.000998276747915,1.0014968529870245,0.9899744962956055,0.9974919300979809,0.9949849895132419,0.9924791782457835,0.9798339277673781,0.9949548847060652,0.9899121675693165,0.9848718485897544,0.9901088460283599,0.9975255427469604,0.9950521980006737,0.99257996576114
2009-05-20,1.054231967776226,1.013568358304375,1.0271298057018712,1.040684342192488,1.0110831096495203,1.0027730452632904,1.0055445786259738,1.00831460008805,0.9990218830103897,0.999755474859769,0.9995109469814236,0.9992664163649638,0.9887827652839057,0.9971937736718182,0.9943888257764083,0.9915851563137711,0.9991449980002934,0.999786276714413,0.9995725352859327,0.9993587757145594
2009-05-21,1.0488422602269671,1.012219919835313,1.0244336031515786,1.0366410499487966,1.0059319018591988,1.001484276497431,1.0029676856397742,1.0044502274270297,0.9939566530758267,0.9984882166948342,0.9969770644390834,0.9954665432327475,0.9837896386101507,0.9959445548549797,0.9918910129083311,0.9878393741600551,0.9940936827424781,0.9985224998302785,0.9970456135641177,0.9955693412015173
2009-05-22,1.0432347549916445,1.010816991066791,1.0216284472543289,1.0324343685626134,1.000609715161005,1.0001527309139677,1.000305260412124,1.0004575884944695,0.9886735717505136,0.9971664547941882,0.9943342016840031,0.9915032406694448,0.9785496175136466,0.9946335660934106,0.9892696910434883,0.983908374850234,0.9887318284556248,0.9971810299045324,0.994363344615314,0.9915469441323445
2009-05-25,1.053760112848675,1.0134503060111268,1.0268937601562818,1.0403303624354645,1.0106336769265665,1.0026606027295635,1.0053197497938453,1.007977441192846,0.9985763416097281,0.9996440058869684,0.9992880647842457,0.9989321766918322,0.9882598593978141,0.9970629490572985,0.9941272419760334,0.9911928787562057,0.9986049753095158,0.9996511696861083,0.9993023887997303,0.998953657340866
2009-05-26,1.05685163137922,1.0142237658837276,1.0284402930748402,1.0426495815733376,1.0136133514019194,1.003406080596614,1.0068103326958049,1.0102127562975731,1.0015239521664097,1.0003814617563485,1.0007626077028657,1.0011434378395527,0.991157932355055,0.9977880112292208,0.9955770036981366,0.9933669774067485,1.0015282622295503,1.0003825400810793,1.0007647638130308,1.0011466711958543
2009-05-27,1.0660519281693268,1.016525566863685,1.0330427438464678,1.0495515309483483,1.0223024670308938,1.005579990343878,1.0111570649636528,1.0167312238593242,1.0101215685668004,1.002532479523188,1.005063567458717,1.0075932638065876,0.9996439764274279,0.9999111149733036,0.9998221493689757,0.9997331031870177,1.0102275098346603,1.0025589847240244,1.005116564604476,1.0076727396413545
2009-05-28,1.0667060174773442,1.0166892119551991,1.0333699521864894,1.050042220693871,1.0228762339222202,1.0057235397556907,1.011444091994624,1.0171616567168,1.0107858696993657,1.0026986794874728,1.0053958842665243,1.0080916143371552,1.0004121451931363,1.00010330134055,1.0002064259862558,1.0003093739371183,1.011081458180557,1.002772632086089,1.0055437524782114,1.0083133611763673
2009-05-29,1.073459883181213,1.0183789459986032,1.0367485751950063,1.0551088875892096,1.0293196505838687,1.0073356032710767,1.0146674127920803,1.0219954285630104,1.017224075926738,1.0043094394163556,1.00861659854293,1.0129214773797242,1.0067144744656231,1.00168006652828,1.0033591677819766,1.0050373037610916,1.0174930701956768,1.0043767384705025,1.0087511629932826,1.0131232735683404
2009-06-01,1.0910329805466117,1.0227666784915395,1.0455305065172849,1.0682877623077451,1.046088815122486,1.0115310417714478,1.0230561915490113,1.03457544933269,1.0337960819115857,1.0084555512740512,1.0169067486839987,1.0253535922298436,1.0230582781309467,1.005769084975329,1.0115351596555957,1.0172982240408022,1.0341059581428502,1.0085330784918205,1.0170617643462356,1.0255860575632452
2009-06-02,1.0893584646340737,1.0223742432699456,1.0447281671281814,1.0670580573705093,1.0442418897729535,1.0110658422840448,1.0221287925788585,1.0331877271468939,1.032029008969609,1.0080134513807226,1.0160227700025644,1.0240279558655265,1.02141555689662,1.0053580963481972,1.0107133879470322,1.016065874796507,1.032416412128011,1.008110374881126,1.016216568529503,1.024318580945131
2009-06-03,1.0925479253835022,1.0231217170482447,1.046256387893422,1.069400283921673,1.0473190860132255,1.0118107003574028,1.0236348090049383,1.035471193329832,1.0351656533656746,1.0087964246871477,1.017589656607137,1.0263796947607873,1.0245338074250532,1.0061382442375368,1.012273293554224,1.0184051479500633,1.0356255779612435,1.0089132686603488,1.0178219545406721,1.02672605764097
