0,monthly_current_top3_none_10bp,monthly_current_top3_ma200_10bp,monthly_current_top3_ma200_r6_10bp,monthly_current_top3_ma200_r12_10bp,monthly_medium_3_6_12_top3_none_10bp,monthly_medium_3_6_12_top3_ma200_10bp,monthly_medium_3_6_12_top3_ma200_r6_10bp,monthly_medium_3_6_12_top3_ma200_r12_10bp,monthly_classic_6_12minus1_top3_none_10bp,monthly_classic_6_12minus1_top3_ma200_10bp,monthly_classic_6_12minus1_top3_ma200_r6_10bp,monthly_classic_6_12minus1_top3_ma200_r12_10bp,monthly_long_6_12_top3_none_10bp,monthly_long_6_12_top3_ma200_10bp,monthly_long_6_12_top3_ma200_r6_10bp,monthly_long_6_12_top3_ma200_r12_10bp
2009-05-01,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
2009-05-07,1.0481176884825782,1.0142140042005885,1.0142140042005885,0.999,1.0443317675754151,1.0142140042005885,1.0142140042005885,0.999,1.0298723083503245,0.999,0.999,0.999,1.0443317675754151,1.0142140042005885,1.0142140042005885,0.999
2009-05-08,1.0449034201513259,1.008965751546832,1.008965751546832,0.999,1.0487757011753633,1.008965751546832,1.008965751546832,0.999,1.0431937797133317,0.999,0.999,0.999,1.0487757011753633,1.008965751546832,1.008965751546832,0.999
2009-05-11,1.033199233075276,0.9972572097528078,0.9972572097528078,0.999,1.0423874457111364,0.9972572097528078,0.9972572097528078,0.999,1.0489512962213592,0.999,0.999,0.999,1.0423874457111364,0.9972572097528078,0.9972572097528078,0.999
2009-05-12,1.018777648635273,0.9918290569487098,0.9918290569487098,0.999,1.0313061571235742,0.9918290569487098,0.9918290569487098,0.999,1.041323722100946,0.999,0.999,0.999,1.0313061571235742,0.9918290569487098,0.9918290569487098,0.999
2009-05-13,1.0113003300880978,0.9880702310205346,0.9880702310205346,0.999,1.0270248430207896,0.9880702310205346,0.9880702310205346,0.999,1.0458145652658326,0.999,0.999,0.999,1.0270248430207896,0.9880702310205346,0.9880702310205346,0.999
2009-05-14,0.9758024118846929,0.9746480531346298,0.9746480531346298,0.999,0.9975825799946325,0.9746480531346298,0.9746480531346298,0.999,1.0259394630407956,0.999,0.999,0.999,0.9975825799946325,0.9746480531346298,0.9746480531346298,0.999
2009-05-15,1.0012889196348884,0.9824261618361174,0.9824261618361174,0.999,1.0203406663095536,0.9824261618361174,0.9824261618361174,0.999,1.0400313963888546,0.999,0.999,0.999,1.0203406663095536,0.9824261618361174,0.9824261618361174,0.999
2009-05-18,0.9744564607572775,0.9766835122386285,0.9766835122386285,0.999,0.9972687839824353,0.9766835122386285,0.9766835122386285,0.999,1.017668932816373,0.999,0.999,0.999,0.9972687839824353,0.9766835122386285,0.9766835122386285,0.999
2009-05-19,1.002198810651638,0.9841948442377204,0.9841948442377204,0.999,1.0247178890206232,0.9841948442377204,0.9841948442377204,0.999,1.0425939512317854,0.999,0.999,0.999,1.0247178890206232,0.9841948442377204,0.9841948442377204,0.999
2009-05-20,1.0160178310035193,0.985213527555302,0.985213527555302,0.999,1.037262617362469,0.985213527555302,0.985213527555302,0.999,1.05546908762554,0.999,0.999,0.999,1.037262617362469,0.985213527555302,0.985213527555302,0.999
2009-05-21,1.0147625328950034,0.9842601238262508,0.9842601238262508,0.999,1.033146268288175,0.9842601238262508,0.9842601238262508,0.999,1.0525654246233755,0.999,0.999,0.999,1.033146268288175,0.9842601238262508,0.9842601238262508,0.999
2009-05-22,1.004824300136747,0.9813454471694515,0.9813454471694515,0.999,1.028335533055576,0.9813454471694515,0.9813454471694515,0.999,1.0493245603191639,0.999,0.999,0.999,1.028335533055576,0.9813454471694515,0.9813454471694515,0.999
2009-05-25,1.0164239708305343,0.9803729066870187,0.9803729066870187,0.999,1.0310485311149045,0.9803729066870187,0.9803729066870187,0.999,1.0517174180005957,0.999,0.999,0.999,1.0310485311149045,0.9803729066870187,0.9803729066870187,0.999
2009-05-26,1.0202847404834388,0.9816258016493198,0.9816258016493198,0.999,1.0378258577562867,0.9816258016493198,0.9816258016493198,0.999,1.0587324859369527,0.999,0.999,0.999,1.0378258577562867,0.9816258016493198,0.9816258016493198,0.999
