variant,rebalance,model,top_k,absolute_filter,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure,annualized_turnover,signal_count,positive_era_count,worst_era_cagr,median_era_sharpe,holdout_cagr_alpha_vs_equal_weight,holdout_mdd_improvement_vs_equal_weight
monthly_classic_6_12minus1_top3_ma200_r12_0bp,monthly,classic_6_12minus1,3,ma200_r12,0.0,5.957820250189333,0.1186360711269634,0.2032874945095205,0.6690895415164337,0.8144633528354209,-0.28686092821092524,0.41356650369523934,1.3688932118352026,0.10468199329873484,0.19075942629305337,0.6301699032982806,0.7598244713800488,-0.2695127366845702,0.38841204533220847,1.937160786914084,0.13307154561474932,0.21519105342346195,0.706227818932687,0.8721993162336502,-0.28686092821092557,0.4638887088760423,0.12726922422785503,0.6984857040144206,-0.2695127366845702,0.07928638248800257,0.5403175841197834,-0.2490979710030058,0.03264248256161473,0.2808285155148827,-0.28686092821092557,0.22790520956548743,0.9740573720856402,-0.28246833558803097,0.15747722274583725,6.551366635249764,209,4,0.03264248256161473,0.619401644067102,0.013541307832850569,0.0676576028094995
monthly_medium_3_6_12_top3_ma200_r12_0bp,monthly,medium_3_6_12,3,ma200_r12,0.0,3.8301407907079392,0.09528691078454021,0.2040639604047295,0.5610844741648529,0.6755217691777311,-0.3574792412582981,0.2665522911180464,1.2220603848953693,0.09655207080676509,0.1921063244416401,0.5876958685750825,0.7052200629210746,-0.32284965017662737,0.2990620270269537,1.1737216610048873,0.09420727749034064,0.21546275749718985,0.5388832452794623,0.6550615526060143,-0.357479241258298,0.26353216247952926,0.10294505705255363,0.5917493379627262,-0.32284965017662737,0.0895856321775872,0.5861581594966015,-0.2559442579399206,0.005497843542743741,0.1177737579273368,-0.357479241258298,0.17724929191373384,0.7985606555463461,-0.28246833558803097,0.1613257932767829,9.163996229971724,209,4,0.005497843542743741,0.5889537487296639,-0.025322960291558116,-0.002960710237872921
monthly_classic_6_12minus1_top3_ma200_r12_10bp,monthly,classic_6_12minus1,3,ma200_r12,10.0,5.232130576995688,0.11153772883473922,0.20324429935047825,0.6369977917013847,0.7759545636205246,-0.2939325592861687,0.37946707607219393,1.2304052454759473,0.09702666890024503,0.190711308860805,0.5929355622026118,0.7158713688036644,-0.2796752596395109,0.34692617797265346,1.7941696199095025,0.12653339571968258,0.21515176432160163,0.6786279428502474,0.8382105972777991,-0.2939325592861687,0.4304844486333051,0.12092657405666962,0.670457302371962,-0.2796752596395109,0.07012388450906037,0.48974074194159584,-0.2516227086836812,0.026983606901354262,0.2472829531874174,-0.2939325592861687,0.22049173673908284,0.948969040057753,-0.2824683355880311,0.15747722274583725,6.551366635249764,209,4,0.026983606901354262,0.5800990221567789,0.007003157937783833,0.060585971734256394
bimonthly_classic_6_12minus1_top3_ma200_r6_0bp,bimonthly,classic_6_12minus1,3,ma200_r6,0.0,5.393913215714351,0.11377379330257287,0.20520786768980456,0.6425349215980752,0.7941357410996995,-0.3744606056334546,0.3038338121312065,1.0934574132579544,0.08995065843563332,0.19381253389734318,0.5516813515352446,0.6914614648427535,-0.3107484452207112,0.2894645486375491,2.05423610493407,0.13821842572927423,0.2160014020823269,0.7259549641288298,0.8919068821488665,-0.37446060563345507,0.36911339577485724,0.09813055431020734,0.5539537165637897,-0.3107484452207112,0.08105617203639826,0.5579587987008885,-0.2541823555744984,0.0037140148697241138,0.11108262471375144,-0.37446060563345507,0.26903434888494693,1.129514286942222,-0.2824683355880311,0.14884051112162802,5.26739233317558,105,4,0.0037140148697241138,0.5559562576323391,0.01868818794737548,-0.019942074613029992
quarterly_current_top3_none_0bp,quarterly,current,3,none,0.0,3.7855573139334053,0.09566583594994227,0.21751236620590186,0.5409099710855576,0.7061393136934467,-0.3794992858383519,0.25208436358083486,1.2049500774247006,0.09754165271838566,0.2116152219951831,0.5562050980607096,0.7611501221487333,-0.35540641102336623,0.2744510219653094,1.17036991582266,0.0940115091225282,0.22320011746035914,0.5269181539630109,0.6615751436734012,-0.37949928583835135,0.24772512790069554,0.07370811761346019,0.43998114375339414,-0.35540641102336623,0.125634313006044,0.7018487206981924,-0.2436777193199967,0.044930789189840725,0.3326596306282297,-0.37949928583835135,0.1384705451522219,0.6627370030103633,-0.2938683551393976,0.0,5.694576593720266,70,4,0.044930789189840725,0.5513590733818787,-0.02551872865937055,-0.024980754817926276
monthly_classic_6_12minus1_top3_ma200_r6_0bp,monthly,classic_6_12minus1,3,ma200_r6,0.0,4.674126751745357,0.10552833175625187,0.20219764139443897,0.6116897876356178,0.7560091812268387,-0.3103218020416365,0.34006096594557966,1.0047566590220622,0.083601986089606,0.19155993618812442,0.5253239184660258,0.6560230245635842,-0.3103218020416365,0.2694041654166115,1.8303319139557024,0.12821434832816125,0.21238632606127317,0.6919077094383019,0.852443929429986,-0.30085867729007365,0.426161377438162,0.08168102891892315,0.4849461052815098,-0.3103218020416365,0.08627922995145587,0.5968466717850722,-0.21456023974677474,0.013180024630489395,0.16441436252337271,-0.30085867729007365,0.2382510147485759,1.0137882470218245,-0.28246833558803097,0.15229343386742067,7.501413760603206,209,4,0.013180024630489395,0.540896388533291,0.008684110546262502,0.053659853730351426
monthly_classic_6_12minus1_top3_ma200_r12_20bp,monthly,classic_6_12minus1,3,ma200_r12,20.0,4.581524374815165,0.10447751292828644,0.2032319757974348,0.6048005130325141,0.7369120092990304,-0.30094054082468713,0.34716995138634316,1.0998743593464817,0.08941606636116006,0.19070323900650515,0.5555657345264685,0.6708698890175255,-0.28971003075090607,0.30863987045736907,1.658027776743864,0.12002750156796638,0.2151352300036336,0.6509491268765948,0.8042393029596128,-0.30094054082468635,0.39884125029830625,0.11461213680171345,0.6423270030992577,-0.28971003075090607,0.0610298511640639,0.43896435483234986,-0.25414065159983645,0.021351107235241917,0.21364523887344009,-0.30094054082468635,0.2131167160769647,0.9238076564158005,-0.28246833558803097,0.15747722274583725,6.551366635249764,209,4,0.021351107235241917,0.5406456789658038,0.0004972637860676254,0.05357799019573872
monthly_long_6_12_top3_ma200_r12_0bp,monthly,long_6_12,3,ma200_r12,0.0,5.164900848317018,0.11084119990887786,0.20977328404496592,0.620583734045658,0.7456479616752634,-0.3588224570584868,0.30890262782747496,1.033370934502324,0.08537625251060343,0.19468153885071895,0.5286089000592964,0.6368732189281695,-0.3588224570584868,0.2379345295455892,2.03186238364616,0.13724847121095163,0.22396556749862492,0.7041780406746875,0.8508125971379416,-0.3367116012831407,0.40761432242882367,0.08996773938474933,0.5286147658364366,-0.3588224570584868,0.08044259796284736,0.5321081106007389,-0.2598645524014779,0.011753259135065752,0.15607833802879614,-0.3367116012831407,0.2583347310342665,1.0363541088126933,-0.2824683355880312,0.14836632108074144,8.293119698397737,209,4,0.011753259135065752,0.5303614382185877,0.017718233429052876,0.01780692973728437
quarterly_current_top3_none_10bp,quarterly,current,3,none,10.0,3.350936086324885,0.08959502455725743,0.21757595920141806,0.5145790533678394,0.6716941595618339,-0.3840168261022131,0.2333101532728414,1.1006930026469495,0.09130179935448068,0.21168095810342222,0.5285278684065412,0.7229913143647444,-0.3626857721000718,0.2517380233192296,1.0711908312364185,0.08809414962322526,0.22326174142955954,0.5018325635236842,0.6300956737887443,-0.3840168261022132,0.2294017960550962,0.06790599220206217,0.4148565277021147,-0.3626857721000718,0.11884584483781224,0.6708928453261668,-0.2472559102969628,0.03984820978502923,0.30627159026665407,-0.3840168261022132,0.13176010932176418,0.6382226798465231,-0.29386835513939724,0.0,5.694576593720266,70,4,0.03984820978502923,0.5265396037743189,-0.03143608815867349,-0.02949829508178814
monthly_long_6_12_top3_ma200_0bp,monthly,long_6_12,3,ma200,0.0,5.5500133592230165,0.11473813195088445,0.2163021640283679,0.6249468810422225,0.7829796625896702,-0.3329128263827291,0.3446491779772317,1.0793139955256494,0.08817934105052538,0.20680473566896276,0.5222128034232424,0.6702135134013788,-0.31645046855071557,0.27865132086664435,2.150083812890983,0.142303835500597,0.22547097307854896,0.7212282851888107,0.888222044218173,-0.3329128263827299,0.42745074452913634,0.09690550176461787,0.5362760173503046,-0.31645046855071557,0.07847314832612562,0.5074287421712191,-0.2598645524014779,0.020376832504096276,0.2064851073353197,-0.3329128263827299,0.2595378098399055,1.0386591823537668,-0.2824683355880312,0.08113415017279298,8.332704995287465,209,4,0.020376832504096276,0.5218523797607619,0.022773597718698246,0.021605704637695178
