variant,rebalance,model,top_k,absolute_filter,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure,annualized_turnover,signal_count,positive_era_count,worst_era_cagr,median_era_sharpe,holdout_cagr_alpha_vs_equal_weight,holdout_mdd_improvement_vs_equal_weight
quarterly_current_top1_none_20bp,quarterly,current,1,none,20.0,0.7014985896682089,0.031502775648067693,0.26080121492587416,0.2529064377487554,0.34820523473572773,-0.5833548190599551,0.054002769187426476,1.3012122144966143,0.10307600593394928,0.24840460651614377,0.528237417145969,0.7712158482859307,-0.3927277640158626,0.26246172381585414,-0.26060770104142317,-0.034403383925333486,0.2724639461018261,0.004837267685193367,0.006396796143060264,-0.5833548190599562,-0.058975057377211045,0.09493285498791249,0.4737453720016632,-0.3927277640158626,0.11288281695703928,0.617610011928915,-0.2519556536413765,-0.09399052980703537,-0.33397088048899143,-0.5214779638918894,0.019993895637462122,0.22069291267408792,-0.45872706531383756,0.0,6.893434823977165,70,3,-0.09399052980703537,0.34721914233787554,-0.15393362170723224,-0.22883628803953115
quarterly_current_top1_ma200_0bp,quarterly,current,1,ma200,0.0,0.9481444235069472,0.03968342983386264,0.25884969846506534,0.284194958121894,0.38509250555547814,-0.5292045945761317,0.07498693367476755,1.2767640399760425,0.10169005474039317,0.24632942107510902,0.5253817336567103,0.7539999535685425,-0.4391574733883473,0.23155715410191496,-0.14433626440821423,-0.017912041112663424,0.2706360017404005,0.06739492487316831,0.08777458156237315,-0.5292045945761317,-0.03384710052831295,0.0797094966450902,0.42360653110759783,-0.4391574733883473,0.12761040669232404,0.6812082236777266,-0.2488613708448093,-0.07514929608403964,-0.25075273099450457,-0.505858633413039,0.03420897342032614,0.2670445826859382,-0.45452107381681617,0.029019980970504282,6.893434823977165,70,3,-0.07514929608403964,0.345325556896768,-0.13744227889456218,-0.1746860635557066
quarterly_current_top1_ma200_r6_0bp,quarterly,current,1,ma200_r6,0.0,0.9662228150656125,0.04024400616219492,0.25803996821972774,0.28641888622204653,0.3853527760647175,-0.5292045945761296,0.07604621459197396,1.2978919560097317,0.10288854719032381,0.24461560209737837,0.5318865419433468,0.7528596817363732,-0.4391574733883473,0.23428622629709725,-0.14433626440821423,-0.017912041112663424,0.2706360017404005,0.06739492487316831,0.08777458156237315,-0.5292045945761317,-0.03384710052831295,0.0797094966450902,0.42360653110759783,-0.4391574733883473,0.13023172219470447,0.7020521361740006,-0.2488613708448093,-0.07514929608403964,-0.25075273099450457,-0.505858633413039,0.03420897342032614,0.2670445826859382,-0.45452107381681617,0.04376784015223597,7.013320647002854,70,3,-0.07514929608403964,0.345325556896768,-0.13744227889456218,-0.1746860635557066
quarterly_long_6_12_top1_ma200_r6_20bp,quarterly,long_6_12,1,ma200_r6,20.0,1.6129740001828727,0.05765084722728986,0.27754856999751687,0.3465046257831131,0.4642858972538061,-0.6039923166049364,0.09544963676251289,0.6127309189239674,0.05786886788586232,0.25145801160943737,0.3545154345547861,0.5002277126704985,-0.4873757085133591,0.11873564249309754,0.6202169683249359,0.05754902396651573,0.3011713765890411,0.3424344188256859,0.4461337260524981,-0.6039923166049364,0.09528105306041139,0.07705155591458146,0.40995036999256446,-0.4873757085133591,0.03687001676827251,0.2800087356172556,-0.2699535932391298,-0.10034351437728561,-0.3476372113234642,-0.6039923166049364,0.21593053768418957,0.7511647237134456,-0.33566812594911655,0.058991436726926735,5.334919124643196,70,3,-0.10034351437728561,0.34497955280491,-0.06198121381538302,-0.24947378558451128
bimonthly_classic_6_12minus1_top1_ma200_r6_20bp,bimonthly,classic_6_12minus1,1,ma200_r6,20.0,1.927522387970841,0.06437143701671988,0.2708382048184256,0.3722345720758584,0.4913949574987612,-0.5748050236515051,0.1119882992806744,0.616796857998164,0.05760958176333886,0.23656738298399904,0.36028788468220324,0.48864430586268764,-0.45170740462208014,0.12753738631213665,0.8106927741036998,0.07126697037148122,0.30125915219814875,0.3864217246390421,0.5084683668975544,-0.5748050236515058,0.12398459901889991,0.08238101271359222,0.43750204424601435,-0.45170740462208014,0.030066763928945583,0.2512379672025116,-0.2342362954150201,-0.10132992224273096,-0.34726036924875325,-0.5748050236515058,0.24668953406474103,0.8262975051491945,-0.3356681259491171,0.08802650260293422,6.857548509228585,105,3,-0.10132992224273096,0.344370005724263,-0.04826326741041753,-0.2202864926310807
bimonthly_classic_6_12minus1_top1_ma200_20bp,bimonthly,classic_6_12minus1,1,ma200,20.0,2.2513479505438636,0.07087656357261074,0.2739331212317831,0.3939378136746297,0.531058432985334,-0.5626988726522282,0.1259582469723828,0.6860848129380741,0.0627961055279973,0.241094691553656,0.37874125367803285,0.5246282395972149,-0.3719483818987145,0.168830161882778,0.9283418755657038,0.07911509485409529,0.303258775995957,0.410634262436187,0.5507710786642596,-0.5626988726522291,0.14059934842448432,0.11495501978957123,0.5508985707411328,-0.3719483818987145,0.006049898908678353,0.13428818717803326,-0.24535988140479525,-0.09497856143150663,-0.3117208671542222,-0.5626988726522291,0.2561278394323987,0.8457272424581107,-0.3356681259491169,0.04921911973497397,6.261239943208708,105,3,-0.09497856143150663,0.34259337895958303,-0.04041514292780346,-0.208180341631804
quarterly_long_6_12_top3_ma200_r12_20bp,quarterly,long_6_12,3,ma200_r12,20.0,1.3789660658403817,0.05187588880346872,0.21579622220025535,0.34935060315294614,0.4298637803748113,-0.4573998516056591,0.1134147477778213,0.4820608012151524,0.04739961974408535,0.20453292615894358,0.33427272852825823,0.41952553330286524,-0.4573998516056591,0.10362841084817463,0.6051744057260318,0.05640583534302279,0.22640027252942513,0.363695833958396,0.4422578542896222,-0.45707990877213744,0.12340475759380208,0.042233499366977956,0.3023231840353081,-0.4573998516056591,0.05350715613347079,0.38037846561582833,-0.2603867777646337,-0.037038902177621846,-0.11974096506279489,-0.45707990877213744,0.14439169494902937,0.6678801348834953,-0.28333709745828306,0.1266254360926102,4.815413891531874,70,3,-0.037038902177621846,0.3413508248255682,-0.06312440243887596,-0.10256137775171237
quarterly_long_6_12_top1_ma200_20bp,quarterly,long_6_12,1,ma200,20.0,2.1206475955849475,0.06866633678440426,0.28111875521856317,0.38351309913156656,0.5275999144537368,-0.559665818695239,0.12269167508654999,0.6043213026031458,0.05721805564006055,0.2531201839317357,0.35136199741452245,0.5024116613258608,-0.4873757085133591,0.1174003025604059,0.9451512552513186,0.08020163957929372,0.30633518698291723,0.4129786354171111,0.5584127170479517,-0.5596658186952397,0.1433027297723299,0.07705155591458146,0.40995036999256446,-0.4873757085133591,0.03550821895961276,0.27259764277861914,-0.2699535932391298,-0.046146372160064675,-0.07827137765317302,-0.5596658186952397,0.2027477395747601,0.7157429542151318,-0.33566812594911677,0.014509990485252141,4.855375832540437,70,3,-0.046146372160064675,0.3412740063855918,-0.039328598202605036,-0.2051472876748146
quarterly_medium_3_6_12_top3_ma200_r6_20bp,quarterly,medium_3_6_12,3,ma200_r6,20.0,1.3238834129616275,0.050438889428926714,0.21700097462319237,0.3421015281087674,0.4328072283644077,-0.507496286961542,0.09938770139760444,0.5069732714114334,0.049456803028813834,0.21347429002818666,0.33840232592966324,0.4413295287957937,-0.46628257870246836,0.10606616092421474,0.5420866826556854,0.05150577369684228,0.22043857618398768,0.34573635873466696,0.42740785812769305,-0.5074962869615401,0.10148995178903757,0.05374178591149814,0.3456910738611271,-0.46628257870246836,0.044875454006062965,0.3331915692126752,-0.25248482891989654,-0.058394049513090796,-0.24575879542007908,-0.5074962869615401,0.15665799965052551,0.7283511359289881,-0.2824683355880311,0.09181731684110371,5.37488106565176,70,3,-0.058394049513090796,0.3394413215369011,-0.06802446408505647,-0.15297775594111507
quarterly_medium_3_6_12_top3_ma200_20bp,quarterly,medium_3_6_12,3,ma200,20.0,1.6936674681719297,0.05952971045731226,0.21858195007650025,0.38171018594137596,0.4877363321822476,-0.4743887620183105,0.12548718524452426,0.5055400171837783,0.04933926646668896,0.21368470642350396,0.3377431787127881,0.444081473310513,-0.46628257870246836,0.10581408939614705,0.7891702893494861,0.06978268316824998,0.2233247516856384,0.4235656388749252,0.5289754919227433,-0.4743887620183096,0.1471002029461158,0.05374178591149814,0.3456910738611271,-0.46628257870246836,0.04462555675043367,0.3314899851421688,-0.25248482891989654,-0.02420074206110223,-0.03911013349451402,-0.4743887620183096,0.15826588762416893,0.7312929476340483,-0.2824683355880311,0.06771328893117665,5.175071360608944,70,3,-0.02420074206110223,0.3385905295016479,-0.04974755461364877,-0.11987023099788452
