variant,core_share,tilt_share,overlay,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure_mean_weight,annualized_turnover,full_cagr_alpha_vs_ew,holdout_cagr_alpha_vs_ew,full_mdd_improvement_vs_ew,holdout_mdd_improvement_vs_ew,positive_era_count,worst_era_cagr,median_era_sharpe
core050_none_0bp,0.5,0.5,none,0.0,5.89645236464522,0.11806348468627026,0.1858511889707068,0.7105310068725134,0.9169735746092154,-0.3107850245361726,0.37988794621771976,1.465539268197309,0.10979316292430807,0.18359263895403283,0.6732530246316515,0.878967750532663,-0.255434694652788,0.4298287007313151,1.7971375080501786,0.12667207599276176,0.18810209674892409,0.7473695123568433,0.9542362765241834,-0.31078502453617196,0.40758745110647543,0.1264174974778649,0.7342308130131964,-0.255434694652788,0.09115684212108688,0.5968330343203071,-0.23906341976731238,0.024881970874253145,0.23737175196212662,-0.31078502453617196,0.22292965089028915,1.098596440877282,-0.2488139834367621,0.0787117004463893,2.9039115251835494,0.0032832794940322874,0.008152845866705727,0.0438833358396975,0.0438833358396965,4,0.024881970874253145,0.6655319236667517
core075_none_0bp,0.75,0.25,none,0.0,5.767263268422962,0.11684224109386365,0.1844547289884631,0.7083245139326887,0.9291801927900618,-0.329107422275534,0.3550276693426909,1.48851151988441,0.11098195120335563,0.18754555813216836,0.6688323219487389,0.8866139930894411,-0.25700635761105517,0.4318257035933407,1.719402025809111,0.1229960459778976,0.18128058487064352,0.7497796165072381,0.9730952922840479,-0.329107422275535,0.373726138193635,0.12388892298943732,0.7203876324199581,-0.2549002524366758,0.096589931641615,0.6060837757866177,-0.2570063576110553,0.020026886473674566,0.20588310193839568,-0.329107422275535,0.220484327945478,1.1583286876439853,-0.23270533569484553,0.03934136156422091,1.6310054949753878,0.0020620359016256806,0.004476815851841565,0.025560938100336106,0.02556093810033344,4,0.020026886473674566,0.6632357041032879
core075_none_10bp,0.75,0.25,none,10.0,5.583889248015509,0.11507051480169483,0.18444379075872522,0.6995086705384378,0.9176167143211106,-0.3308810904726378,0.34776999385889834,1.4529522091358755,0.10913763561335776,0.1875351443088188,0.659784890110113,0.8746687937501595,-0.2580948064671561,0.42285870493580074,1.684067477341877,0.12129431202893803,0.18126907940633238,0.7412034945126237,0.9618726562842632,-0.3308810904726368,0.366579763913613,0.12233719025897849,0.7130015549734033,-0.2568599165758517,0.09440154867963857,0.5949909964748553,-0.2580948064671561,0.01871429516560741,0.19794256409905941,-0.3308810904726368,0.21838900471614942,1.149176048295274,-0.232733764861366,0.03934136156422091,1.6310054949753878,0.000717830193553981,0.00314171926149176,0.024166441615815715,0.02416644161581527,4,0.01871429516560741,0.6539962757241293
core075_vol15_0bp,0.75,0.25,vol15,0.0,4.0548664652835065,0.09816929852084799,0.16069221468818604,0.6796727888075216,0.8557361973350878,-0.3310783785953194,0.2965137709606865,1.1157837796783077,0.09036570367548102,0.15354221271799715,0.6541615984766894,0.8364934110468392,-0.24786999877685423,0.3645689438875297,1.3891224206530484,0.10626110548522849,0.1675989882621111,0.7045265968643882,0.8762066686311887,-0.3310783785953201,0.3209545302718555,0.09623039365942732,0.6712059956957998,-0.24786999877685423,0.08397956763685599,0.6336983873135836,-0.22115727971707966,0.0015975220250690203,0.08633282268011705,-0.3310783785953201,0.20558347619691264,1.152285089622185,-0.2327053356948453,0.17620180903471247,1.9863799794926995,-0.01661090667138998,-0.012258124640827539,0.023589981780550717,0.023589981780548386,4,0.0015975220250690203,0.6524521915046917
core025_none_0bp,0.25,0.75,none,0.0,5.937131413391438,0.11844356970362413,0.19212430100867828,0.6954279976157538,0.8781198514355082,-0.2964692819752134,0.3995138009391702,1.426173006073276,0.10773303098806508,0.1846796031244843,0.6600503368671238,0.8410215797779103,-0.25964714488636587,0.41492091521058033,1.8592896697911403,0.12954677365806244,0.1993549563846678,0.7295043065043033,0.9164033749336291,-0.29646928197521416,0.4369652491312506,0.1278694404714249,0.7271821783232657,-0.25964714488636587,0.08511042602113772,0.5735443310891577,-0.24419251108822881,0.028954658466378014,0.26238410410511137,-0.29646928197521416,0.22456172318486223,1.0332328116399034,-0.2655121316333723,0.11812832469612271,4.165609983603311,0.003663364511386158,0.011027543532006412,0.058199078400656745,0.0581990784006543,4,0.028954658466378014,0.6503632547062117
core050_vol15_0bp,0.5,0.5,vol15,0.0,4.296382674494617,0.10113543165118188,0.1641320795409953,0.6858251909117178,0.8498737691823521,-0.30320906211620313,0.3335501615463667,1.1152998298951773,0.09033690988183674,0.15301901012721555,0.6556938913144461,0.8243531052641779,-0.24596714795153218,0.3672722582433554,1.5038448921716543,0.1122937056889477,0.17463113500454275,0.7153022019902242,0.8791019358682162,-0.30320906211620313,0.37035075701633147,0.1012006600220765,0.6989867951955313,-0.24596714795153218,0.07818209916608443,0.6016905513741848,-0.21765892560920042,0.009935806929691537,0.1429258564156543,-0.30320906211620313,0.20920045398805875,1.0991582180317252,-0.2488139834367621,0.2049862086055674,3.0528165691026703,-0.013644773541056088,-0.006225524437108332,0.051459298259667,0.05145929825966533,4,0.009935806929691537,0.6503386732848581
core050_none_10bp,0.5,0.5,none,10.0,5.567229194183004,0.11490725185821304,0.18582697091693284,0.6949639091976955,0.8967443847216737,-0.3130126085118141,0.36710103278116374,1.40403671951871,0.10656156164074271,0.1835693678766936,0.6570446638571565,0.8575882469468765,-0.25885874933961805,0.41165910718720133,1.7317507843631472,0.12358616234698117,0.18807691248689126,0.7324321477763703,0.935099860660354,-0.313012608511812,0.39482806438551965,0.1238990762576806,0.7222329973810843,-0.25885874933961805,0.08709968094902276,0.575201795413538,-0.24020654548149012,0.022514419321449042,0.22268839133881876,-0.313012608511812,0.21911822616437648,1.083182470116977,-0.24884079685876148,0.0787117004463893,2.9039115251835494,0.000554567250072191,0.0054335695795348915,0.042034923576639405,0.04203492357664007,4,0.022514419321449042,0.6487173963973112
core050_vol12_0bp,0.5,0.5,vol12,0.0,3.224981432450983,0.08684626855176614,0.14172171512380782,0.6751785362086467,0.8229333533849371,-0.26952364223198355,0.32222133773710315,0.9073921817322828,0.07739213767918196,0.13222248208370327,0.6438093978793714,0.7906774702115602,-0.2209105672048327,0.35033243840898937,1.2150564906970964,0.09659987151455862,0.15070185481083148,0.7056904308960813,0.8579568469466675,-0.26952364223198255,0.3584096397428981,0.07779034330958012,0.6276577303830326,-0.2209105672048327,0.0773121478999299,0.6656075824782179,-0.1798921451055101,0.004513058806364212,0.10014812341529714,-0.26952364223198255,0.1830535969473217,1.1095358000992241,-0.21306908437571848,0.3169644744419509,2.809869407077858,-0.027933936640471835,-0.021919358611497408,0.08514471814388658,0.08514471814388591,4,0.004513058806364212,0.6466326564306253
core075_none_20bp,0.75,0.25,none,20.0,5.405446786208073,0.11330122378074936,0.18443468065937366,0.6906849352662574,0.9059287531353111,-0.33265034166768204,0.34060155541321335,1.4178927999407587,0.10729594720477809,0.18752682006115678,0.6507292023756883,0.8625361553889884,-0.25918183238666603,0.41397942987263975,1.6491855992809294,0.11959484078007554,0.1812591293466527,0.7326199970189419,0.9506376612164515,-0.3326503416676797,0.3595211722330101,0.12078721654143632,0.7056089328659173,-0.25881478714071526,0.0922170378014624,0.5838874636877783,-0.25918183238666637,0.01740318554192366,0.18999819926922593,-0.3326503416676797,0.21629685215828998,1.1400126819688567,-0.23276219402788623,0.03934136156422091,1.6310054949753878,-0.0006240283453260442,0.0018087766441061692,0.022776148582895228,0.022776148582898337,4,0.01740318554192366,0.6447481982768478
core075_vol15_10bp,0.75,0.25,vol15,10.0,3.8885415019240854,0.09604793390620658,0.16068023605828521,0.6673440380796993,0.8402230031068345,-0.3332048702099024,0.28825489208996613,1.0792628248626932,0.08817624961694359,0.15353167453625044,0.6407876262773591,0.8194911165011897,-0.2508467757551923,0.3515143830391387,1.3510935911851,0.1042048005919396,0.1675856251797828,0.6931416923136643,0.8618892685530113,-0.33320487020990297,0.31273492649220763,0.09432463195158114,0.6600113234947009,-0.2508467757551923,0.08144992786756844,0.6175440796893182,-0.2226006945970408,3.427161480162866e-05,0.0756475904272993,-0.33320487020990297,0.20302627708869525,1.1403268784707583,-0.232733764861366,0.17620180903471247,1.9863799794926995,-0.01830475070193427,-0.01394779217550668,0.021842661878551106,0.021842661878549108,4,3.427161480162866e-05,0.6387777015920095
