variant,core_share,tilt_share,overlay,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure_mean_weight,annualized_turnover,full_cagr_alpha_vs_ew,holdout_cagr_alpha_vs_ew,full_mdd_improvement_vs_ew,holdout_mdd_improvement_vs_ew,positive_era_count,worst_era_cagr,median_era_sharpe
core075_none_10bp,0.75,0.25,none,10.0,5.583889248015509,0.11507051480169483,0.18444379075872522,0.6995086705384378,0.9176167143211106,-0.3308810904726378,0.34776999385889834,1.4529522091358755,0.10913763561335776,0.1875351443088188,0.659784890110113,0.8746687937501595,-0.2580948064671561,0.42285870493580074,1.684067477341877,0.12129431202893803,0.18126907940633238,0.7412034945126237,0.9618726562842632,-0.3308810904726368,0.366579763913613,0.12233719025897849,0.7130015549734033,-0.2568599165758517,0.09440154867963857,0.5949909964748553,-0.2580948064671561,0.01871429516560741,0.19794256409905941,-0.3308810904726368,0.21838900471614942,1.149176048295274,-0.232733764861366,0.03934136156422091,1.6310054949753878,0.000717830193553981,0.00314171926149176,0.024166441615815715,0.02416644161581527,4,0.01871429516560741,0.6539962757241293
core050_none_10bp,0.5,0.5,none,10.0,5.567229194183004,0.11490725185821304,0.18582697091693284,0.6949639091976955,0.8967443847216737,-0.3130126085118141,0.36710103278116374,1.40403671951871,0.10656156164074271,0.1835693678766936,0.6570446638571565,0.8575882469468765,-0.25885874933961805,0.41165910718720133,1.7317507843631472,0.12358616234698117,0.18807691248689126,0.7324321477763703,0.935099860660354,-0.313012608511812,0.39482806438551965,0.1238990762576806,0.7222329973810843,-0.25885874933961805,0.08709968094902276,0.575201795413538,-0.24020654548149012,0.022514419321449042,0.22268839133881876,-0.313012608511812,0.21911822616437648,1.083182470116977,-0.24884079685876148,0.0787117004463893,2.9039115251835494,0.000554567250072191,0.0054335695795348915,0.042034923576639405,0.04203492357664007,4,0.022514419321449042,0.6487173963973112
core075_vol15_10bp,0.75,0.25,vol15,10.0,3.8885415019240854,0.09604793390620658,0.16068023605828521,0.6673440380796993,0.8402230031068345,-0.3332048702099024,0.28825489208996613,1.0792628248626932,0.08817624961694359,0.15353167453625044,0.6407876262773591,0.8194911165011897,-0.2508467757551923,0.3515143830391387,1.3510935911851,0.1042048005919396,0.1675856251797828,0.6931416923136643,0.8618892685530113,-0.33320487020990297,0.31273492649220763,0.09432463195158114,0.6600113234947009,-0.2508467757551923,0.08144992786756844,0.6175440796893182,-0.2226006945970408,3.427161480162866e-05,0.0756475904272993,-0.33320487020990297,0.20302627708869525,1.1403268784707583,-0.232733764861366,0.17620180903471247,1.9863799794926995,-0.01830475070193427,-0.01394779217550668,0.021842661878551106,0.021842661878549108,4,3.427161480162866e-05,0.6387777015920095
core050_vol15_10bp,0.5,0.5,vol15,10.0,4.030908059639288,0.09786781589100513,0.16410207212169614,0.6673081822795118,0.8267962591650311,-0.3055070966038663,0.320345474717089,1.0603934814562481,0.087031659493497,0.1529929180446081,0.6354559960849299,0.7986632106086915,-0.25021269831205006,0.3478307059578424,1.4417219841345728,0.10905810252602799,0.17459751012808553,0.69823098889869,0.8580622692379993,-0.3055070966038651,0.35697404000875915,0.09851252935985544,0.683331022305144,-0.25021269831205006,0.07415205309375117,0.5755168092964007,-0.2188116426724912,0.00750148299583886,0.12607274818121086,-0.3055070966038651,0.2051530967525903,1.0815886898185982,-0.2488407968587616,0.2049862086055674,3.0528165691026703,-0.016484868717135726,-0.009094490241418285,0.0495404354845872,0.049540435484586975,4,0.00750148299583886,0.6294239158007724
core025_none_10bp,0.25,0.75,none,10.0,5.467008963296717,0.11391681404663068,0.19208667444752084,0.6738268670738532,0.8506885660864402,-0.299745336176403,0.38004532614175374,1.340290396286608,0.10313394308050161,0.1846433469364281,0.6370663764927743,0.8114019280522288,-0.26449098269696547,0.38993368329182315,1.7633361114321904,0.12508488451611055,0.19931595077208636,0.7091656603476533,0.8908664711910522,-0.29974533617640176,0.4173038557053559,0.1243980439282304,0.7110854529263768,-0.26449098269696547,0.07921854518798188,0.5411862441002173,-0.24576193840337224,0.025537795462453827,0.24133261928308386,-0.29974533617640176,0.21904615400012073,1.0127514463684513,-0.26553721302983535,0.11812832469612271,4.165609983603311,-0.00043587056151017656,0.0069322917486642766,0.055302195912050545,0.05530219591205032,4,0.025537795462453827,0.6261358485132971
core050_vol12_10bp,0.5,0.5,vol12,10.0,3.0296695054979796,0.08387741663296056,0.14169213982378417,0.655450102470804,0.7987535189589042,-0.2718949221609668,0.30849203054738766,0.8627376748156228,0.0744497957236161,0.13219262874925095,0.6227380463636059,0.7646139870968834,-0.22351461278141016,0.33308692795144235,1.1633048818303466,0.09359797839456618,0.15067241220350067,0.6870719505773502,0.8352224928445622,-0.2718949221609669,0.34424320119944873,0.07550378422864767,0.61185288183395,-0.22351461278141016,0.07358639051470184,0.6378108387153776,-0.1808674103303819,0.0022397129785569625,0.08175017160058048,-0.2718949221609669,0.17932194637358778,1.0904004092735524,-0.21311334256903136,0.3169644744419509,2.809869407077858,-0.030475267975180298,-0.02455461437288009,0.08315260992748674,0.08315260992748519,4,0.0022397129785569625,0.6248318602746639
core025_vol15_10bp,0.25,0.75,vol15,10.0,4.129592663320748,0.09910104835823108,0.17112313163801732,0.6536682791035758,0.7952429249316995,-0.28613644431933105,0.34634192996273255,1.033041604820013,0.08535595795991835,0.15579738861117454,0.6166464865410504,0.759066278326078,-0.2529360868454388,0.33746057758882253,1.5231124887751006,0.11328282035826343,0.18530749089707066,0.689627279769231,0.8370183594751448,-0.28613644431933105,0.3959048999429052,0.10203279469378024,0.6886662177833367,-0.2529360868454388,0.06654028380363197,0.5242681024276177,-0.22136150598185356,0.014411750155903347,0.1735919889651805,-0.28613644431933105,0.20659822369393832,1.0180810285758486,-0.26553721302983535,0.23376404741221515,4.1157648358810475,-0.015251636249909772,-0.004869772409182849,0.06891108776912247,0.06891108776912103,4,0.014411750155903347,0.6064671601054772
core025_vol12_10bp,0.25,0.75,vol12,10.0,3.129767663336917,0.08541549669262039,0.14795158680314957,0.6437808556269512,0.772014078109053,-0.2552873211343947,0.3345857377995433,0.8459884057660634,0.07333005486069766,0.13499330157255285,0.6046687637296134,0.7296296007637129,-0.22234847147162307,0.32979788156563206,1.2371579639597567,0.09786302632943644,0.15996680704023605,0.6813886287891958,0.818817809225956,-0.25528732113439434,0.3833446404411016,0.07904642244639115,0.6220275973733417,-0.22234847147162307,0.06702849075253203,0.5839594069233628,-0.1831144393137797,0.008911628007706396,0.135522661814444,-0.25528732113439434,0.1811392296298182,1.0279666050468552,-0.22762191441633994,0.3405676892348989,3.7214499842324806,-0.028937187915520468,-0.02028956643800983,0.09976021095405885,0.09976021095405774,4,0.008911628007706396,0.6029935021483522
