core_share,overlay,min_full_cagr,min_holdout_cagr,worst_full_mdd,worst_holdout_mdd,median_full_sharpe,median_holdout_sharpe,max_turnover,min_positive_era_count
0.25,none,0.10940575151773735,0.12063818704660201,-0.30300756880783986,-0.3030075688078402,0.6738268670738532,0.7091656603476533,4.165609983603311,4
0.25,trend200_half,0.08855473111916967,0.10000154397402428,-0.2813020597310565,-0.2752658200017054,0.6050958297793315,0.6486328075729608,4.458816396640973,3
0.25,vol12,0.08148809618932362,0.09387664143481733,-0.2584868935923388,-0.25848689359233823,0.6437808556269512,0.6813886287891958,3.7214499842324806,4
0.25,vol15,0.09470326033420662,0.10887950699958182,-0.2893780600877085,-0.2893780600877087,0.6536682791035758,0.689627279769231,4.1157648358810475,4
0.25,vol15_trend200_half,0.07697751176787482,0.0912160843981924,-0.27275103746616014,-0.2727510374661598,0.584711212391839,0.6332559379106676,4.239534614773253,3
0.5,none,0.11175869910506164,0.12050757464865836,-0.3152336434368911,-0.31523364343688975,0.6949639091976955,0.7324321477763703,2.9039115251835494,4
0.5,trend200_half,0.08918911734721835,0.09966317282629023,-0.2852529774623932,-0.28525297746239375,0.6264951847866881,0.6779807900326424,3.3992061081125677,3
0.5,vol12,0.08091558271139876,0.09060324616915572,-0.2752232127306191,-0.27522321273061867,0.655450102470804,0.6870719505773502,2.809869407077858,3
0.5,vol15,0.09460859668048349,0.10583068274165375,-0.30813839232024554,-0.308138392320246,0.6673081822795118,0.69823098889869,3.0528165691026703,4
0.5,vol15_trend200_half,0.07622566340206727,0.08902870334395163,-0.28619236697546635,-0.28619236697546635,0.5994420126262009,0.6512613770836758,3.32115129585986,3
0.75,none,0.11330122378074936,0.11959484078007554,-0.33265034166768204,-0.3326503416676797,0.6995086705384378,0.7412034945126237,1.6310054949753878,4
0.75,trend200_half,0.08931189047315735,0.09881418640261619,-0.2968666342725961,-0.2957162901659176,0.638444523353586,0.7001166142922892,2.3328934175320715,3
0.75,vol12,0.079929194532802,0.08687404339969995,-0.2997950851314015,-0.29979508513140163,0.6545913785386193,0.6796254673298006,1.8971132292889814,3
0.75,vol15,0.09393012617595597,0.10215180664761703,-0.3353250059467595,-0.33532500594675996,0.6673440380796993,0.6931416923136643,1.9863799794926995,3
0.75,vol15_trend200_half,0.07508563775432009,0.08641539252444841,-0.2999449702728628,-0.29994497027286326,0.6059941393797709,0.6616494984967075,2.399449948796993,3
