0,benchmark_monthly_ew_10bp,core025_none_10bp,core025_vol12_10bp,core025_vol15_10bp,core025_trend200_half_10bp,core025_vol15_trend200_half_10bp,core050_none_10bp,core050_vol12_10bp,core050_vol15_10bp,core050_trend200_half_10bp,core050_vol15_trend200_half_10bp,core075_none_10bp,core075_vol12_10bp,core075_vol15_10bp,core075_trend200_half_10bp,core075_vol15_trend200_half_10bp
2009-05-01,0.999,0.99975,0.9998974438877011,0.9998718048596262,0.999875,0.9999359024298131,0.9995,0.999794887775402,0.9997436097192526,0.99975,0.9998718048596262,0.99925,0.9996923316631031,0.9996154145788788,0.999625,0.9998077072894395
2009-05-07,1.0419405768988268,1.0104932036422927,1.0043052186505652,1.0053813820348911,1.0052472734392786,1.0026908676153394,1.0209810343395282,1.0086095331199139,1.010761351286632,1.0104932036422927,1.0053813820348911,1.031463492091706,1.0129129434080462,1.016139907755222,1.0157377906090428,1.0080715432586556
2009-05-08,1.0545686264466267,1.0136525861586623,1.0056014657464563,1.0070016493573493,1.0068271622082483,1.0035010532108255,1.0272982192859879,1.0112017614083004,1.0140014704574931,1.0136525861586623,1.0070016493573493,1.0409368993819756,1.016800886985533,1.0209994633004305,1.0204762718512423,1.0105017884395722
2009-05-11,1.065848529992094,1.0164746791440429,1.0067593280241895,1.0084489400926304,1.0082383851258563,1.0042247449683228,1.0329409938574066,1.0135172484477004,1.0168956808092018,1.0164746791440429,1.0084489400926304,1.04939894414009,1.0202737612705335,1.0253402221497132,1.0247088820545598,1.012672585372924
2009-05-12,1.0483696059506677,1.0121016675548498,1.0049651471855543,1.0062062715515503,1.00605160594969,1.0031033388137656,1.024197157731578,1.0099292548165983,1.0124109187991797,1.0121016675548498,1.0062062715515503,1.0362864705301837,1.0148923228931335,1.0186139417428877,1.0181501848154793,1.0093087982133555
2009-05-13,1.0541234647156534,1.013541212174543,1.0055557706770166,1.0069445319851713,1.0067714682535738,1.0034724926939596,1.0270755270186667,1.0111103806429993,1.0138872503593535,1.013541212174543,1.0069445319851713,1.0406029445323701,1.0166638298979496,1.0208281551225464,1.0203092317629074,1.0104161178736364
2009-05-14,1.0257715969331975,1.0064479239324235,1.0026455012694582,1.0033067885058884,1.0032243806911385,1.0016535043541115,1.0128924980654312,1.0052904388209398,1.0066126962024402,1.0064479239324235,1.0033067885058884,1.0193337223990224,1.007934812654447,1.0099177230896554,1.0096706297238542,1.0049598524553318
2009-05-15,1.0460110383409276,1.011511582978314,1.0047230443649235,1.005903650785659,1.0057565267719135,1.0029520187309484,1.0230172836945735,1.009445098838678,1.0118057548663675,1.011511582978314,1.005903650785659,1.0345171021487778,1.014166163421265,1.0177063122421262,1.0172651686192005,1.0088548961641324
2009-05-18,1.0203363039566902,1.005088080550726,1.002087577996395,1.0026094022971563,1.0025443739888256,1.0013047888964992,1.0101734913937501,1.0041747067234343,1.0052181026109464,1.005088080550726,1.0026094022971563,1.015256232529071,1.0062613861811203,1.0078261009413705,1.0076311196857006,1.0039138402019725
2009-05-19,1.0447811827745725,1.011203888257978,1.0045968018521574,1.005745851691035,1.0056026601760166,1.0028731141257188,1.022402048139733,1.0091926397096838,1.011490197140461,1.011203888257978,1.005745851691035,1.033594479645264,1.0137875135725813,1.0172330363482784,1.016803684245883,1.0086182126959495
2009-05-20,1.054231967776226,1.013568358304375,1.0055669083255214,1.0069584536888174,1.0067850430155474,1.0034794539920133,1.0271298057018712,1.0111326536553065,1.0139150901967984,1.013568358304375,1.0069584536888174,1.040684342192488,1.016697235989357,1.020869909523943,1.0203499458664829,1.0104369990904127
2009-05-21,1.0488422602269671,1.012219919835313,1.0050136643164618,1.0062669164101097,1.0061107394825375,1.0031336631868883,1.0244336031515786,1.0100262791259356,1.0125321929655524,1.012219919835313,1.0062669164101097,1.0366410499487966,1.0150378444284232,1.0187958296663282,1.0183275410583268,1.0093997596696649
2009-05-22,1.0432347549916445,1.010816991066791,1.0044380637576449,1.0055474341607793,1.0054091873933022,1.0027738990007347,1.0216284472543289,1.0088751960831221,1.0110934129587985,1.010816991066791,1.0055474341607793,1.0324343685626134,1.0133113969764338,1.0166379363940576,1.0162234110204666,1.0083206054801344
2009-05-25,1.053760112848675,1.0134503060111268,1.0055184732463585,1.0068979113923084,1.00672600948881,1.003449180903203,1.0268937601562818,1.0110357934326266,1.013794021128227,1.0134503060111268,1.0068979113923084,1.0403303624354645,1.0165519605588058,1.020688329207756,1.0201728895669508,1.0103461914673169
2009-05-26,1.05685163137922,1.0142237658837276,1.005835812191058,1.0072945749018123,1.0071127877784407,1.0036475253721682,1.0284402930748402,1.0116704062252526,1.0145872464335266,1.0142237658837276,1.0072945749018123,1.0426495815733376,1.0175037821025856,1.0218780145951436,1.0213329343158606,1.010941148588932
2009-05-27,1.0660519281693268,1.016525566863685,1.0067802064896685,1.008475037505281,1.0082638321669553,1.0042377945111454,1.0330427438464678,1.01355900109579,1.0169478689425213,1.016525566863685,1.008475037505281,1.0495515309483483,1.0203363838183668,1.0254184943117217,1.024785204090189,1.0127117289824066
2009-05-28,1.0667060174773442,1.0166892119551991,1.0068473476077613,1.008558961750885,1.0083456649430882,1.0042797593239623,1.0333699521864894,1.0136932695590992,1.0171156959136098,1.0166892119551991,1.008558961750885,1.050042220693871,1.0205377658540153,1.025670202488175,1.0250306410363328,1.0128376072807677
2009-05-29,1.073459883181213,1.0183789459986032,1.0075406200542734,1.0094255300882065,1.0091906375995767,1.0047130712686463,1.0367485751950063,1.0150796722388846,1.0188486103800674,1.0183789459986032,1.0094255300882065,1.0551088875892096,1.0226171565538356,1.0282692408755834,1.0275649251970795,1.0141373764586805
2009-06-01,1.0910329805466117,1.0227666784915395,1.0093383541974505,1.011672903189821,1.0112777550536662,1.005786120119115,1.0455305065172849,1.018676455100651,1.0233454104050266,1.02254690023217,1.0115699996394403,1.0682877623077451,1.0280141510834155,1.0350170161916257,1.033807437695613,1.01735163884764
2009-06-02,1.0893584646340737,1.0223742432699456,1.0091819835983618,1.0114769878442684,1.010889728128031,1.0055913447775455,1.0447281671281814,1.018360820513103,1.0229490588390864,1.0217621984466672,1.0111782088038743,1.0670580573705093,1.0275363593062332,1.0344157080541612,1.0326174230243421,1.016760593667192
2009-06-03,1.0925479253835022,1.0231217170482447,1.0094798236394291,1.0118501490069498,1.0116288053979265,1.0059623345676338,1.046256387893422,1.0189620116517533,1.0237039921025302,1.023256824759937,1.0119244552161462,1.069400283921673,1.0284464122405244,1.0355610233589576,1.0348840512820041,1.017886361054688
2009-06-04,1.087643128406254,1.0219722415047596,1.0090218010933316,1.0112762965953552,1.0104922421215212,1.0053918213229291,1.0439062688047132,1.0180374915804125,1.0225430452593292,1.0209583676854126,1.010776867133161,1.0657983754453775,1.027046920216035,1.0337997415980933,1.0313983989099793,1.0161551403521714
2009-06-05,1.094370531202029,1.023548858237478,1.0096500232545011,1.012063390604757,1.0120511484327779,1.00617433534242,1.0471296841267177,1.0193055601552259,1.024135395987591,1.0241109235650647,1.012350895031499,1.0707387408195117,1.0289664587008873,1.036215509650706,1.0361793078082342,1.0185296767597412
2009-06-08,1.1040309583761936,1.0258128509833204,1.0105521387694196,1.0131936431833333,1.0142897093378418,1.007298011139386,1.0517584494787593,1.021126483398669,1.0264219824627998,1.0286379360559756,1.0146111702585967,1.0778330149932778,1.0317228808007455,1.0396845083193444,1.043044605403751,1.0219394675414284
2009-06-09,1.0947442700820103,1.0236364467154886,1.009684923951549,1.0121071173805194,1.0121377530135427,1.0062178076781922,1.0473087600151,1.0193760073312428,1.0242238585630876,1.024286062878007,1.0124383396875785,1.071013201362113,1.0290730980957903,1.0363497169330238,1.0364449097933046,1.0186615934301682
2009-06-10,1.1189969857979394,1.0293202504912355,1.0119497048698047,1.0149446414341883,1.0177577095914987,1.0090388205764185,1.058929377631165,1.0239474753385647,1.0299643843952617,1.0356512276895744,1.0181128105504362,1.0888235333117546,1.0359931566372744,1.0450587146836017,1.0536803909876151,1.027221948473288
2009-06-11,1.122171335068371,1.0300641827823716,1.0122461337621298,1.0153160345810466,1.0184932851563984,1.0094080526385203,1.0604503577755575,1.0245458180686662,1.030715740828937,1.03713877255055,1.0188555212907335,1.0911546625301358,1.0368988977938443,1.0461986035512876,1.0559362800927996,1.0283423820405655
2009-06-12,1.1355600723916988,1.0332019326592163,1.0134964084598,1.0168824927314732,1.0215957881202764,1.010965395788148,1.0668655320025882,1.0270695018098577,1.0338848041769346,1.0434129237870842,1.021988118923162,1.1009868750917338,1.040719123419675,1.0510064149567278,1.0654511456878395,1.0330681350823776
2009-06-15,1.1362176913186135,1.0333560505313582,1.0135578186051464,1.0169594329613891,1.0217481747584323,1.0110418883136314,1.0671806281830023,1.027193458397673,1.0340404600829327,1.0437210932958159,1.022141983730854,1.1014698070454951,1.040906762673173,1.051242561779307,1.065918490408349,1.0333002514178595
