Date,with_cash,always_invested,topix
2009,-0.20961662154034844,-0.204958733565756,0.07467918820023778
2010,-0.22351079454590395,-0.25083001661490756,-0.00868604370021131
2011,-0.13900023976389275,-0.1958637497947725,-0.18948528625257044
2012,0.2380770764863085,0.2579309590725336,0.1837840344695243
2013,0.26677803809338374,0.26677803809338374,0.5406625663376157
2014,-0.12695956650440532,-0.03410440718199981,0.10347843936645873
2015,-0.022987247833408442,0.11744577724385352,-0.871440122582841
2016,-0.17174788189706225,-0.12844237084415244,0.0015153594884065313
2017,0.18830762024020165,0.18830762024020165,0.2211715699143042
2018,-0.3522271330513459,-0.3635947962913201,-0.15807907416083422
2019,-0.002129590075176213,0.020441055507385286,0.1768184920059772
2020,0.10400321543551128,0.10970335043898904,0.07361960388488553
2021,0.00652258699329078,0.00652258699329078,0.1266612559461615
2022,0.07695612230623627,0.07695612230623627,-0.024491447453195092
2023,0.08360797769168204,0.08360797769168204,0.2818295522579948
2024,-0.046502309026868804,-0.01896232325287328,0.20280785151916625
2025,0.019877186979669226,0.12035241362687832,0.2558170449090982
2026,0.2506163364480176,0.2506163364480176,0.20346189083449784
