strategy,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,cash_exposure,switches
TOPIX-17 + CASH,-0.29074391271459,-0.019578491043792834,0.2538362858496988,0.04800461319451288,0.057451644616959355,-0.6582717006135046,-0.029742264517137556,0.15182755388940955,346
TOPIX-17 always invested,-0.007283238664012481,-0.00042063915610568436,0.26890505431625605,0.13376589972453726,0.17497143628232234,-0.6325290225306233,-0.0006650116297000736,0.0,360
TOPIX 1306 buy&hold,-0.25565292821966423,-0.016849697071113723,2.3323880219756523,0.2531219638730642,1.2290134936592576,-0.9639897988252004,-0.017479123836837474,0.0,0
