variant,rebalance,top_k,cash_rule,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,cash_exposure,annualized_turnover,signal_count
monthly_top1_none_5bp,monthly,1,none,5.0,2.18523405689846,0.06924667386779793,0.26128169780423977,0.3942105402140207,0.5395044825903157,-0.47123170431338535,0.14694824909689544,0.44415736892342084,0.0433398400760292,0.24755013473080648,0.2992709325713661,0.4240176943230134,-0.47123170431338535,0.09197140107365677,1.205600390539833,0.09605602536057822,0.27443508709004344,0.48167769162420015,0.642518664769449,-0.39192458137111474,0.2450880346023064,0.0,17.160226201696513,209
weekly_top3_none_5bp,weekly,3,none,5.0,2.940621934717759,0.08214060434948212,0.21358466954469907,0.4871094503070746,0.6371691995896052,-0.370205468358735,0.22187841987759768,1.0555657650936219,0.08602891330132123,0.21368557347204514,0.5024268875072686,0.6819618796123907,-0.34319741235720336,0.2506688867798964,0.9170497979850689,0.07838047259025949,0.21348169038573322,0.471502115965829,0.5951109842293567,-0.37020546835873536,0.21172154192575968,0.0,27.29704364148287,907
monthly_top1_none_10bp,monthly,1,none,10.0,1.7565900539645956,0.06035260348830018,0.2612900644697532,0.36136041502461175,0.4942648441249159,-0.4811941229516553,0.1254225698312689,0.3311042452541646,0.03356776581947729,0.24755620305151055,0.260350379547894,0.36855143629376147,-0.4811941229516553,0.0697593013264,1.0709047122287898,0.08807671954799101,0.27444465875876345,0.4542708696155013,0.6057097935204745,-0.39859626468694054,0.22096724769151285,0.0,17.160226201696513,209
monthly_top1_current_20bp,monthly,1,current,20.0,1.224960793996877,0.04730386093561978,0.2542639070968127,0.3141658378527561,0.41214357322608386,-0.46628371417075554,0.10144866633342647,0.11430914013877436,0.012572911955888832,0.2407546501310886,0.17352747774746527,0.23018814013808492,-0.46628371417075554,0.026964081253081394,0.9967177095215964,0.08348382663216536,0.26718740117140577,0.4429301216054696,0.5782102677379395,-0.3472735064751503,0.24039791425361487,0.08741753063147974,17.516493873704054,209
weekly_top1_none_0bp,weekly,1,none,0.0,1.7717341922275471,0.060442194789064985,0.2533662245692176,0.3648715524117718,0.5071039010658124,-0.4755393263488886,0.12710241075776013,0.39855003825457125,0.03916649143629747,0.24370959986879373,0.2830364223847073,0.41572988768887564,-0.4755393263488886,0.0823622553722554,0.981862726689958,0.08254607005256176,0.26282388390333755,0.4426378471980626,0.5883703242069226,-0.43237695758666095,0.19091227828906013,0.0,41.80290943219146,907
monthly_top3_risk_off_30bp,monthly,3,risk_off,30.0,1.3941143780672287,0.05174829178642515,0.203388922057415,0.357256881995319,0.4194068567196616,-0.44752576857605675,0.11563198237964828,0.33654125519310507,0.034054237427859624,0.20034558655588786,0.2718511164685496,0.32486393563020693,-0.44752576857605675,0.07609447280815546,0.7912760782841055,0.06992860240994103,0.2064091152341095,0.4410286898431423,0.5093725766271715,-0.3045690059382662,0.22959855089166567,0.17177191328934968,14.310084825636192,209
monthly_top3_dual_trend_20bp,monthly,3,dual_trend,20.0,0.9694156776907064,0.03994544937850919,0.18933730936634527,0.30789136353113933,0.3334762788602599,-0.4894102953928132,0.08161955266275703,0.1354844985724708,0.014775751858935093,0.18595516440030477,0.1742230201172656,0.18484754779537363,-0.4894102953928132,0.03019092977411866,0.734427621131462,0.06593501499899257,0.19267727245915997,0.43823651947627584,0.48437384278031337,-0.275828741313516,0.2390433088481112,0.29359095193213947,12.212064090480677,209
weekly_top3_current_0bp,weekly,3,current,0.0,1.771908844523689,0.060446041197722566,0.19964612363590975,0.4025164303081465,0.4943736726854607,-0.39280465735586834,0.1538832090347656,0.5716796964969708,0.05315046880445107,0.1955762489699506,0.36917155234635196,0.45898570857751636,-0.39280465735586834,0.13531017977798176,0.7636601469764173,0.06800280793038649,0.2037043896405107,0.43527444236485313,0.5299679834292093,-0.32433820170889616,0.20966635312179838,0.10089160018770531,31.59361801970905,907
monthly_top1_dual_trend_0bp,monthly,1,dual_trend,0.0,1.5141142143070958,0.05472524007042212,0.22751626075317508,0.35463370774930725,0.4073320710078388,-0.49984376439394473,0.10948469095493447,0.3617432042011135,0.0362865471185021,0.21857599064152844,0.2762742371462946,0.3139487982088736,-0.49984376439394473,0.07259577832785241,0.8462469330126257,0.073685121149619,0.23619120331394536,0.42836130158419505,0.4984802094070432,-0.29087734043891567,0.2533202518918551,0.29359095193213947,15.141376060320454,209
monthly_top1_risk_off_0bp,monthly,1,risk_off,0.0,2.5580819424531214,0.07610901493112343,0.24368350869409,0.43143145081567685,0.5343791703320642,-0.4263607045834066,0.17850851195465797,0.8848590447223506,0.07591510756000086,0.23073846719245794,0.4401511234292403,0.5665868998908569,-0.4263607045834066,0.17805371541961604,0.887717785802506,0.07645420845022755,0.2560881081361597,0.4246175241538283,0.5119488750331097,-0.3015055188895903,0.2535748225498475,0.17177191328934968,17.635249764373235,209
