0,monthly_top1_none_10bp,monthly_top1_current_10bp,monthly_top1_dual_trend_10bp,monthly_top1_risk_off_10bp,monthly_top3_none_10bp,monthly_top3_current_10bp,monthly_top3_dual_trend_10bp,monthly_top3_risk_off_10bp
2009-05-01,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999
2009-05-07,1.0446420126017653,1.0446420126017653,0.999,1.0446420126017653,1.0481176884825782,1.0481176884825782,0.999,1.0481176884825782
2009-05-08,1.028424887245118,1.028424887245118,0.999,1.028424887245118,1.0449034201513259,1.0449034201513259,0.999,1.0449034201513259
2009-05-11,0.9926218213158823,0.9926218213158823,0.999,0.9926218213158823,1.033199233075276,1.033199233075276,0.999,1.033199233075276
2009-05-12,0.9764130553021869,0.9764130553021869,0.999,0.9764130553021869,1.018777648635273,1.018777648635273,0.999,1.018777648635273
2009-05-13,0.9653118478415901,0.9653118478415901,0.999,0.9653118478415901,1.0113003300880978,1.0113003300880978,0.999,1.0113003300880978
2009-05-14,0.9259727798371257,0.9259727798371257,0.999,0.9259727798371257,0.9758024118846929,0.9758024118846929,0.999,0.9758024118846929
2009-05-15,0.948141757386595,0.948141757386595,0.999,0.948141757386595,1.0012889196348884,1.0012889196348884,0.999,1.0012889196348884
2009-05-18,0.9315150242245556,0.9315150242245556,0.999,0.9315150242245556,0.9744564607572775,0.9744564607572775,0.999,0.9744564607572775
2009-05-19,0.9530068949935894,0.9530068949935894,0.999,0.9530068949935894,1.002198810651638,1.002198810651638,0.999,1.002198810651638
2009-05-20,0.9559661024040549,0.9559661024040549,0.999,0.9559661024040549,1.0160178310035193,1.0160178310035193,0.999,1.0160178310035193
2009-05-21,0.953190800538864,0.953190800538864,0.999,0.953190800538864,1.0147625328950034,1.0147625328950034,0.999,1.0147625328950034
2009-05-22,0.9447227861129428,0.9447227861129428,0.999,0.9447227861129428,1.004824300136747,1.004824300136747,0.999,1.004824300136747
2009-05-25,0.9419140468759445,0.9419140468759445,0.999,0.9419140468759445,1.0164239708305343,1.0164239708305343,0.999,1.0164239708305343
2009-05-26,0.9455252830378235,0.9455252830378235,0.999,0.9455252830378235,1.0202847404834388,1.0202847404834388,0.999,1.0202847404834388
2009-05-27,0.9613996753328605,0.9613996753328605,0.999,0.9613996753328605,1.034341851775379,1.034341851775379,0.999,1.034341851775379
2009-05-28,0.9861934865739701,0.9861934865739701,0.999,0.9861934865739701,1.0475911755102176,1.0475911755102176,0.999,1.0475911755102176
2009-05-29,0.9865947350364103,0.9865947350364103,0.999,0.9865947350364103,1.0538118119134028,1.0538118119134028,0.999,1.0538118119134028
