0,full_equal_weight_10bp,strategy_core025_10bp,cashmatched_core025_10bp,strategy_core050_10bp,cashmatched_core050_10bp,strategy_core075_10bp,cashmatched_core075_10bp
2009-05-01,0.999,0.99975,0.99975,0.9995,0.9995,0.99925,0.99925
2009-05-07,1.0419405768988268,1.0104932036422927,1.0104932036422927,1.0209810343395282,1.0209810343395282,1.031463492091706,1.031463492091706
2009-05-08,1.0545686264466267,1.0136525861586623,1.0136525861586623,1.0272982192859879,1.0272982192859879,1.0409368993819756,1.0409368993819756
2009-05-11,1.065848529992094,1.0164746791440429,1.0164746791440429,1.0329409938574066,1.0329409938574066,1.04939894414009,1.04939894414009
2009-05-12,1.0483696059506677,1.0121016675548498,1.0121016675548498,1.024197157731578,1.024197157731578,1.0362864705301837,1.0362864705301837
2009-05-13,1.0541234647156534,1.013541212174543,1.013541212174543,1.0270755270186667,1.0270755270186667,1.0406029445323701,1.0406029445323701
2009-05-14,1.0257715969331975,1.0064479239324235,1.0064479239324235,1.0128924980654312,1.0128924980654312,1.0193337223990224,1.0193337223990224
2009-05-15,1.0460110383409276,1.011511582978314,1.011511582978314,1.0230172836945735,1.0230172836945735,1.0345171021487778,1.0345171021487778
2009-05-18,1.0203363039566902,1.005088080550726,1.005088080550726,1.0101734913937501,1.0101734913937501,1.015256232529071,1.015256232529071
2009-05-19,1.0447811827745725,1.011203888257978,1.011203888257978,1.022402048139733,1.022402048139733,1.033594479645264,1.033594479645264
2009-05-20,1.054231967776226,1.013568358304375,1.013568358304375,1.0271298057018712,1.0271298057018712,1.040684342192488,1.040684342192488
2009-05-21,1.0488422602269671,1.012219919835313,1.012219919835313,1.0244336031515786,1.0244336031515786,1.0366410499487966,1.0366410499487966
2009-05-22,1.0432347549916445,1.010816991066791,1.010816991066791,1.0216284472543289,1.0216284472543289,1.0324343685626134,1.0324343685626134
2009-05-25,1.053760112848675,1.0134503060111268,1.0134503060111268,1.0268937601562818,1.0268937601562818,1.0403303624354645,1.0403303624354645
2009-05-26,1.05685163137922,1.0142237658837276,1.0142237658837276,1.0284402930748402,1.0284402930748402,1.0426495815733376,1.0426495815733376
2009-05-27,1.0660519281693268,1.016525566863685,1.016525566863685,1.0330427438464678,1.0330427438464678,1.0495515309483483,1.0495515309483483
2009-05-28,1.0667060174773442,1.0166892119551991,1.0166892119551991,1.0333699521864894,1.0333699521864894,1.050042220693871,1.050042220693871
2009-05-29,1.073459883181213,1.0183789459986032,1.0183789459986032,1.0367485751950063,1.0367485751950063,1.0551088875892096,1.0551088875892096
2009-06-01,1.0910329805466117,1.0227666784915395,1.0227666784915395,1.0455305065172849,1.0455305065172849,1.0682877623077451,1.0682877623077451
2009-06-02,1.0893584646340737,1.0223742432699456,1.0223742432699456,1.0447281671281814,1.0447281671281814,1.0670580573705093,1.0670580573705093
2009-06-03,1.0925479253835022,1.0231217170482447,1.0231217170482447,1.046256387893422,1.046256387893422,1.069400283921673,1.069400283921673
2009-06-04,1.087643128406254,1.0219722415047596,1.0219722415047596,1.0439062688047132,1.0439062688047132,1.0657983754453775,1.0657983754453775
2009-06-05,1.094370531202029,1.023548858237478,1.023548858237478,1.0471296841267177,1.0471296841267177,1.0707387408195117,1.0707387408195117
2009-06-08,1.1040309583761936,1.0258128509833204,1.0258128509833204,1.0517584494787593,1.0517584494787593,1.0778330149932778,1.0778330149932778
2009-06-09,1.0947442700820103,1.0236364467154886,1.0236364467154886,1.0473087600151,1.0473087600151,1.071013201362113,1.071013201362113
2009-06-10,1.1189969857979394,1.0293202504912355,1.0293202504912355,1.058929377631165,1.058929377631165,1.0888235333117546,1.0888235333117546
2009-06-11,1.122171335068371,1.0300641827823716,1.0300641827823716,1.0604503577755575,1.0604503577755575,1.0911546625301358,1.0911546625301358
2009-06-12,1.1355600723916988,1.0332019326592163,1.0332019326592163,1.0668655320025882,1.0668655320025882,1.1009868750917338,1.1009868750917338
2009-06-15,1.1362176913186135,1.0333560505313582,1.0333560505313582,1.0671806281830023,1.0671806281830023,1.1014698070454951,1.1014698070454951
2009-06-16,1.0965672710655907,1.0240636805145826,1.0240636805145826,1.048182245590573,1.048182245590573,1.0723519484551147,1.0723519484551147
2009-06-17,1.1064642990462419,1.0263831224139552,1.0263831224139552,1.0529243775252288,1.0529243775252288,1.0796199738471952,1.0796199738471952
2009-06-18,1.093131328605735,1.0232584419196427,1.0232584419196427,1.04653592383657,1.04653592383657,1.0698287145011658,1.0698287145011658
2009-06-19,1.1012448314093226,1.025159901467914,1.025159901467914,1.0504234849126861,1.0504234849126861,1.0757869824287174,1.0757869824287174
2009-06-22,1.1057116162154406,1.0262067256109846,1.0262067256109846,1.0525637317540346,1.0525637317540346,1.0790672303430704,1.0790672303430704
2009-06-23,1.0796301973677538,1.0200943516954337,1.0200943516954337,1.0400668963949196,1.0400668963949196,1.0599139638455852,1.0599139638455852
2009-06-24,1.080053387429042,1.0201935294244924,1.0201935294244924,1.0402696666718134,1.0402696666718134,1.0602247395771616,1.0602247395771616
2009-06-25,1.1009776387578998,1.0250972828886673,1.0250972828886673,1.0502954603372787,1.0502954603372787,1.075590765647385,1.075590765647385
2009-06-26,1.1117796314211508,1.0276288099722364,1.0276288099722364,1.055471203445863,1.055471203445863,1.0835233649201226,1.0835233649201226
2009-06-29,1.0976156577438452,1.0243093777070171,1.0243093777070171,1.0486845769931452,1.0486845769931452,1.0731218463490246,1.0731218463490246
2009-06-30,1.115181415519965,1.0284260433019627,1.0284260433019627,1.05710115832134,1.05710115832134,1.086021514188458,1.086021514188458
2009-07-01,1.1126527822881496,1.027833148557403,1.027833148557403,1.0558894742237674,1.0558894742237674,1.0841648097118335,1.0841648097118335
2009-07-02,1.1061843719252167,1.02633932076689,1.02633932076689,1.052820265875079,1.052820265875079,1.0794377131266042,1.0794377131266042
2009-07-03,1.0996985447377339,1.024841470699639,1.024841470699639,1.0497427933841488,1.0497427933841488,1.0746978883736742,1.0746978883736742
2009-07-06,1.0887964779968256,1.022323725325146,1.022323725325146,1.0445698509791799,1.0445698509791799,1.066730687845054,1.066730687845054
2009-07-07,1.0850162563817336,1.0214507132887913,1.0214507132887913,1.0427761664276525,1.0427761664276525,1.0639681122375273,1.0639681122375273
2009-07-08,1.0616677681959061,1.0160585661364825,1.0160585661364825,1.0316974978138223,1.0316974978138223,1.0469051009904407,1.0469051009904407
