0,full_equal_weight_10bp,top3_core050_10bp,cashmatched_top3_core050_10bp,top3_core075_10bp,cashmatched_top3_core075_10bp,top5_core050_10bp,cashmatched_top5_core050_10bp,top5_core075_10bp,cashmatched_top5_core075_10bp,top7_core050_10bp,cashmatched_top7_core050_10bp,top7_core075_10bp,cashmatched_top7_core075_10bp
2009-05-01,0.999,0.9995,0.9995,0.99925,0.99925,0.9995,0.9995,0.99925,0.99925,0.9995,0.9995,0.99925,0.99925
2009-05-07,1.0419405768988268,1.0209810343395282,1.0209810343395282,1.031463492091706,1.031463492091706,1.0209810343395282,1.0209810343395282,1.031463492091706,1.031463492091706,1.0209810343395282,1.0209810343395282,1.031463492091706,1.031463492091706
2009-05-08,1.0545686264466267,1.0272982192859879,1.0272982192859879,1.0409368993819756,1.0409368993819756,1.0272982192859879,1.0272982192859879,1.0409368993819756,1.0409368993819756,1.0272982192859879,1.0272982192859879,1.0409368993819756,1.0409368993819756
2009-05-11,1.065848529992094,1.0329409938574066,1.0329409938574066,1.04939894414009,1.04939894414009,1.0329409938574066,1.0329409938574066,1.04939894414009,1.04939894414009,1.0329409938574066,1.0329409938574066,1.04939894414009,1.04939894414009
2009-05-12,1.0483696059506677,1.024197157731578,1.024197157731578,1.0362864705301837,1.0362864705301837,1.024197157731578,1.024197157731578,1.0362864705301837,1.0362864705301837,1.024197157731578,1.024197157731578,1.0362864705301837,1.0362864705301837
2009-05-13,1.0541234647156534,1.0270755270186667,1.0270755270186667,1.0406029445323701,1.0406029445323701,1.0270755270186667,1.0270755270186667,1.0406029445323701,1.0406029445323701,1.0270755270186667,1.0270755270186667,1.0406029445323701,1.0406029445323701
2009-05-14,1.0257715969331975,1.0128924980654312,1.0128924980654312,1.0193337223990224,1.0193337223990224,1.0128924980654312,1.0128924980654312,1.0193337223990224,1.0193337223990224,1.0128924980654312,1.0128924980654312,1.0193337223990224,1.0193337223990224
2009-05-15,1.0460110383409276,1.0230172836945735,1.0230172836945735,1.0345171021487778,1.0345171021487778,1.0230172836945735,1.0230172836945735,1.0345171021487778,1.0345171021487778,1.0230172836945735,1.0230172836945735,1.0345171021487778,1.0345171021487778
2009-05-18,1.0203363039566902,1.0101734913937501,1.0101734913937501,1.015256232529071,1.015256232529071,1.0101734913937501,1.0101734913937501,1.015256232529071,1.015256232529071,1.0101734913937501,1.0101734913937501,1.015256232529071,1.015256232529071
2009-05-19,1.0447811827745725,1.022402048139733,1.022402048139733,1.033594479645264,1.033594479645264,1.022402048139733,1.022402048139733,1.033594479645264,1.033594479645264,1.022402048139733,1.022402048139733,1.033594479645264,1.033594479645264
2009-05-20,1.054231967776226,1.0271298057018712,1.0271298057018712,1.040684342192488,1.040684342192488,1.0271298057018712,1.0271298057018712,1.040684342192488,1.040684342192488,1.0271298057018712,1.0271298057018712,1.040684342192488,1.040684342192488
2009-05-21,1.0488422602269671,1.0244336031515786,1.0244336031515786,1.0366410499487966,1.0366410499487966,1.0244336031515786,1.0244336031515786,1.0366410499487966,1.0366410499487966,1.0244336031515786,1.0244336031515786,1.0366410499487966,1.0366410499487966
2009-05-22,1.0432347549916445,1.0216284472543289,1.0216284472543289,1.0324343685626134,1.0324343685626134,1.0216284472543289,1.0216284472543289,1.0324343685626134,1.0324343685626134,1.0216284472543289,1.0216284472543289,1.0324343685626134,1.0324343685626134
2009-05-25,1.053760112848675,1.0268937601562818,1.0268937601562818,1.0403303624354645,1.0403303624354645,1.0268937601562818,1.0268937601562818,1.0403303624354645,1.0403303624354645,1.0268937601562818,1.0268937601562818,1.0403303624354645,1.0403303624354645
2009-05-26,1.05685163137922,1.0284402930748402,1.0284402930748402,1.0426495815733376,1.0426495815733376,1.0284402930748402,1.0284402930748402,1.0426495815733376,1.0426495815733376,1.0284402930748402,1.0284402930748402,1.0426495815733376,1.0426495815733376
2009-05-27,1.0660519281693268,1.0330427438464678,1.0330427438464678,1.0495515309483483,1.0495515309483483,1.0330427438464678,1.0330427438464678,1.0495515309483483,1.0495515309483483,1.0330427438464678,1.0330427438464678,1.0495515309483483,1.0495515309483483
2009-05-28,1.0667060174773442,1.0333699521864894,1.0333699521864894,1.050042220693871,1.050042220693871,1.0333699521864894,1.0333699521864894,1.050042220693871,1.050042220693871,1.0333699521864894,1.0333699521864894,1.050042220693871,1.050042220693871
