variant,top_k,core_share,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure_mean_weight,annualized_turnover,cashmatched_full_cagr,cashmatched_holdout_cagr,cashmatched_full_mdd,cashmatched_holdout_mdd,cashmatched_full_sharpe,cashmatched_holdout_sharpe,selection_full_cagr_contribution,selection_holdout_cagr_contribution,selection_full_mdd_contribution,selection_holdout_mdd_contribution,selection_full_sharpe_contribution,selection_holdout_sharpe_contribution,full_cagr_alpha_vs_ew,holdout_cagr_alpha_vs_ew,full_mdd_improvement_vs_ew,holdout_mdd_improvement_vs_ew,rolling3y_selection_positive_share,rolling3y_selection_median_ann,rolling3y_selection_worst_ann,positive_era_count,worst_era_cagr
top3_core050_10bp,3,0.5,10.0,5.567229194183004,0.11490725185821304,0.18582697091693284,0.6949639091976955,0.8967443847216737,-0.3130126085118141,0.36710103278116374,1.40403671951871,0.10656156164074271,0.1835693678766936,0.6570446638571565,0.8575882469468765,-0.25885874933961805,0.41165910718720133,1.7317507843631472,0.12358616234698117,0.18807691248689126,0.7324321477763703,0.935099860660354,-0.313012608511812,0.39482806438551965,0.1238990762576806,0.7222329973810843,-0.25885874933961805,0.08709968094902276,0.575201795413538,-0.24020654548149012,0.022514419321449042,0.22268839133881876,-0.313012608511812,0.21911822616437648,1.083182470116977,-0.24884079685876148,0.0787117004463893,2.9039115251835494,0.10880061927553486,0.11457987937705894,-0.30311080678421476,-0.3031108067842131,0.704098712763379,0.7488312947987733,0.006106632582678184,0.00900628296992223,-0.009901801727599358,-0.009901801727598913,-0.009134803565683525,-0.01639914702240297,0.000554567250072191,0.0054335695795348915,0.042034923576639405,0.04203492357664007,0.6405846947549441,0.004366001129349459,-0.020071063489355147,4,0.022514419321449042
top5_core050_10bp,5,0.5,10.0,4.869454396337045,0.10769285589540112,0.1775609882620156,0.6811766311291245,0.8746969114677227,-0.3064968684848909,0.35136690442470203,1.2068117795083495,0.09568074796596338,0.1762391667148517,0.619409209857714,0.8004224607008181,-0.2752006655034196,0.34767629573473713,1.6596986887774712,0.12010911878516994,0.17888229541630554,0.7426572895412488,0.9478893378910721,-0.306496868484891,0.3918771483014053,0.09714676344238038,0.6167370224392337,-0.2752006655034196,0.09444566396287057,0.6231130314689711,-0.24651133642607426,0.012090108286919143,0.1575008332571374,-0.306496868484891,0.22284601162470397,1.141212887971178,-0.23992639919568115,0.09984481796249772,2.5822926800801658,0.10436553721272968,0.11091754745773041,-0.30109530092237147,-0.30109530092237047,0.6894784828352366,0.7368138311505887,0.003327318682671443,0.00919157132743953,-0.005401567562519416,-0.005401567562520526,-0.008301851706112084,0.005843458390660028,-0.006659828712739735,0.00195652601772367,0.04855066360356264,0.048550663603561084,0.6953281742619661,0.003681402482467288,-0.015275498903262213,4,0.012090108286919143
top7_core050_10bp,7,0.5,10.0,4.3925786296888445,0.10228147967668222,0.1717105174041032,0.6690705184593553,0.8579898193613187,-0.30494995056400087,0.33540415234537335,1.18507700738828,0.09442954722856678,0.1719735847475138,0.6236353636603471,0.8013304884796228,-0.27201959068015746,0.34714245026417123,1.4679123945999262,0.1104309740611209,0.17144318005544398,0.7150847692064095,0.9151352919834246,-0.304949950564001,0.3621281913864234,0.09264444489405266,0.6064184216554427,-0.27201959068015746,0.09700350906766908,0.6447213744905981,-0.24152528384888217,0.00449470214126646,0.10502451187579358,-0.304949950564001,0.2110531617070508,1.1307597102797666,-0.2399539769743948,0.12023233613675431,2.241005435017846,0.09827834047902795,0.1059363201879,-0.3055881506437541,-0.3055881506437552,0.6654108582011482,0.7230323289808471,0.004003139197654271,0.0044946538732209,0.0006382000797532372,0.0006382000797542364,0.003659660258207076,-0.007947559774437618,-0.012071204931458634,-0.007721618706325373,0.05009758152445265,0.050097581524451096,0.8351963313270278,0.006816574814087748,-0.009533400794459313,4,0.00449470214126646
top3_core075_10bp,3,0.75,10.0,5.583889248015509,0.11507051480169483,0.18444379075872522,0.6995086705384378,0.9176167143211106,-0.3308810904726378,0.34776999385889834,1.4529522091358755,0.10913763561335776,0.1875351443088188,0.659784890110113,0.8746687937501595,-0.2580948064671561,0.42285870493580074,1.684067477341877,0.12129431202893803,0.18126907940633238,0.7412034945126237,0.9618726562842632,-0.3308810904726368,0.366579763913613,0.12233719025897849,0.7130015549734033,-0.2568599165758517,0.09440154867963857,0.5949909964748553,-0.2580948064671561,0.01871429516560741,0.19794256409905941,-0.3308810904726368,0.21838900471614942,1.149176048295274,-0.232733764861366,0.03934136156422066,1.6310054949753878,0.11173567724970934,0.1164851070316888,-0.32879939008846415,-0.3287993900884657,0.6976175273355165,0.7416910703082964,0.0033348375519854923,0.004809204997249239,-0.002081700384173657,-0.0020817003841711035,0.001891143202921275,-0.00048757579567271225,0.000717830193553981,0.00314171926149176,0.024166441615815715,0.02416644161581527,0.6534823731728289,0.0024045464820346683,-0.00988276008835738,4,0.01871429516560741
top5_core075_10bp,5,0.75,10.0,5.215935019951226,0.11137058553848833,0.18088281066523346,0.6907518339357465,0.9059257918348418,-0.3297996445200505,0.3376916482143674,1.3489423148135207,0.10360396231008018,0.1842476146271503,0.6404077887348333,0.8463991180199366,-0.26464701963685977,0.3914797999699458,1.6462697618203017,0.11945188462117207,0.17742033567002938,0.7437844555398901,0.9680479627332205,-0.32979964452005084,0.36219531041340997,0.10878777805667816,0.6594127372630535,-0.26464701963685977,0.09807691339191349,0.6176413955241877,-0.2548869927877655,0.013481873654782595,0.166191155904746,-0.32979964452005084,0.22006200774052131,1.1757258183303925,-0.22786122396287456,0.04989559211877775,1.4599168625117465,0.10956663603319661,0.11470233914146366,-0.32754410796741273,-0.3275441079674122,0.691218932080112,0.7365026648688582,0.0018039495052917243,0.004749545479708406,-0.0022555365526377713,-0.0022555365526386595,-0.00046709814436551866,0.007281790671031962,-0.002982099069652522,0.0012992918537257925,0.025247887568403016,0.02524788756840124,0.7067927773000859,0.0019559125313723755,-0.007497210133623716,4,0.013481873654782595
top7_core075_10bp,7,0.75,10.0,4.957700597097696,0.10864858227610918,0.17819161974408154,0.6843038952932388,0.8976812631996276,-0.3290835756231103,0.3301549828805227,1.3374812057016516,0.10298100200876448,0.18232059792464783,0.6420574367023832,0.8464597020682392,-0.2627158352272312,0.39198627642560246,1.5487694115210329,0.11458962022319175,0.1739236002442269,0.7294026000452544,0.9523495626437546,-0.3290835756231115,0.34820826291989554,0.106525043006642,0.6544895127358572,-0.2627158352272312,0.09935820219405511,0.6272549749943064,-0.25263292898724377,0.009715335169098172,0.142314220436088,-0.3290835756231115,0.2140880435325696,1.1695953287780765,-0.22790863993853372,0.060075307751549685,1.2829724398291535,0.10653669651787023,0.11223545860568995,-0.32952546922533577,-0.3295254692253341,0.6802122083121968,0.7304615272974918,0.0021118857582389516,0.002354161617501793,0.0004418936022254627,0.0004418936022225761,0.004091686981042009,-0.0010589272522374404,-0.005704102332031669,-0.003562972544254528,0.02596395646534322,0.025963956465340554,0.8412152479220407,0.0034952696070619372,-0.0047329457469953385,4,0.009715335169098172
top3_core050_20bp,3,0.5,20.0,5.2536027975937785,0.11175869910506164,0.18580871556114337,0.6793709513386486,0.8763531162098556,-0.3152336434368911,0.3545265596863091,1.3440437970062589,0.10333803664927377,0.18355267727042013,0.6408092188861328,0.8360312947674655,-0.26226832095142505,0.3940164647960403,1.667869433830833,0.12050757464865836,0.18805708286649855,0.7174703528453908,0.9158257258238292,-0.31523364343688975,0.38228018220010884,0.12138535971943032,0.7102188429045627,-0.26226832095142505,0.08305580295905579,0.5535279768890294,-0.24223897726608845,0.020151602528838408,0.20798830478314745,-0.31523364343688975,0.21531715630993098,1.0677375673727634,-0.248867610280761,0.0787117004463893,2.9039115251835494,0.10784337081150186,0.1138224696764778,-0.3047121379471046,-0.3047121379471054,0.6989228961420838,0.7446551476384329,0.003915328293559783,0.0066851049721805555,-0.010521505489786476,-0.010521505489784366,-0.01955194480343525,-0.027184794793042033,-0.002166553021013762,0.002721510512688985,0.04019284681368618,0.04019284681368829,0.5697907709945543,0.0022938179601900534,-0.02237327417700233,4,0.020151602528838408
top5_core050_20bp,5,0.5,20.0,4.619562813869952,0.10491113306024169,0.1775378996179848,0.6666864511966997,0.8558626144983724,-0.3097147977524347,0.3387346482039926,1.1605308983935974,0.09300320041380927,0.17622567385274257,0.6052238288964029,0.781867519927647,-0.2785851682434991,0.3338411768300574,1.6010101582200078,0.11721487375856832,0.1788497034159167,0.7278686991695501,0.9287760416577595,-0.30971479775243294,0.3784606825672654,0.09479882161237896,0.6046103194583416,-0.2785851682434991,0.09136861581951594,0.6063855477328274,-0.2477665535074819,0.00978604220269097,0.1421604016258254,-0.30971479775243294,0.21935306180569625,1.1264886480955056,-0.2399524705865551,0.09984481796249772,2.5822926800801658,0.1033523017790623,0.11010857466238888,-0.3025149834622801,-0.30251498346228156,0.6838955072876077,0.7322985939821751,0.0015588312811793958,0.007106299096179436,-0.007199814290154594,-0.007199814290151374,-0.01720905609090806,-0.004429894812625013,-0.009014119065833714,-0.000571190377401054,0.04571169249814255,0.04571169249814511,0.6139294926913156,0.0019969834018660248,-0.01760650597514891,4,0.00978604220269097
top7_core050_20bp,7,0.5,20.0,4.192771011066583,0.09987888594576044,0.17170816285060242,0.6560170690387467,0.8411905076017256,-0.3083626363686035,0.32390073947340847,1.1436066174281136,0.09201137693448569,0.17196600792918804,0.6104815207524281,0.7843724894793671,-0.27586733412125564,0.33353487547765515,1.4224458764252237,0.10803932939338057,0.17144610480280484,0.7021299949134284,0.8984939589362846,-0.3083626363686043,0.3503645275111564,0.09018262769658092,0.5931827640783847,-0.27586733412125564,0.09462402432371309,0.6316715042792795,-0.2424387680820781,0.0022564897250494376,0.08938271830099288,-0.3083626363686043,0.20851476002234381,1.1193144149909162,-0.24018249202328468,0.12023233613675431,2.241005435017846,0.09719974474563564,0.10508650223985305,-0.30705855376932467,-0.3070585537693269,0.659323779640898,0.7181439062151136,0.0026791412001248016,0.0029528271535275152,-0.001304082599278833,-0.0013040825992773897,-0.0033067106021512638,-0.01601391130168517,-0.014046366180314962,-0.009746734742588803,0.04706385388197376,0.04706385388197376,0.7910576096302665,0.005484872841715174,-0.01040895822269912,4,0.0022564897250494376
top3_core075_20bp,3,0.75,20.0,5.405446786208073,0.11330122378074936,0.18443468065937366,0.6906849352662574,0.9059287531353111,-0.33265034166768204,0.34060155541321335,1.4178927999407587,0.10729594720477809,0.18752682006115678,0.6507292023756883,0.8625361553889884,-0.25918183238666603,0.41397942987263975,1.6491855992809294,0.11959484078007554,0.1812591293466527,0.7326199970189419,0.9506376612164515,-0.3326503416676797,0.3595211722330101,0.12078721654143632,0.7056089328659173,-0.25881478714071526,0.0922170378014624,0.5838874636877783,-0.25918183238666637,0.01740318554192366,0.18999819926922593,-0.3326503416676797,0.21629685215828998,1.1400126819688567,-0.23276219402788623,0.03934136156422066,1.6310054949753878,0.11108622474795338,0.11595630436736681,-0.32969005987268507,-0.32969005987268474,0.694259260415469,0.7388715916080405,0.0022149990327959834,0.003638536412708726,-0.002960281794996966,-0.002960281794994968,-0.0035743251492116324,-0.00625159458909863,-0.0006240283453260442,0.0018087766441061692,0.022776148582895228,0.022776148582898337,0.5821152192605331,0.001361158981982081,-0.01106805955065619,4,0.01740318554192366
top5_core075_20bp,5,0.75,20.0,5.064930788200796,0.10979211868557592,0.1808726422699414,0.6827043512215804,0.8952409806852709,-0.33168722721942057,0.331010993718324,1.3202929592994526,0.10204166399901182,0.18424176677490106,0.6325472425726433,0.8358787024394544,-0.26658168736075605,0.38277822084951496,1.6138642380882353,0.11785367908413802,0.1774056374358018,0.7355413758473123,0.9571905007121707,-0.331687227219421,0.35531569928731166,0.10732535784029174,0.6521954042101737,-0.26658168736075605,0.09639044669332497,0.60900310028546,-0.2559629851790016,0.012204298420633197,0.1582160199911246,-0.331687227219421,0.21813930483541677,1.1671940255401811,-0.22788975222577712,0.04989559211877775,1.4599168625117465,0.1089064841836922,0.11416879470790176,-0.3283360430000154,-0.32833604300001373,0.6877744131398021,0.7336412576841895,0.0008856345018837253,0.0036848843762362637,-0.0033511842194051678,-0.003351184219407277,-0.005070061918221791,0.0019001181631227437,-0.004133133440499481,6.761494816864833e-05,0.0237392630311567,0.023739263031157032,0.6242476354256233,0.001090747208790276,-0.0086633726562585,4,0.012204298420633197
top7_core075_20bp,7,0.75,20.0,4.830324570195777,0.10726473104610079,0.17819025358297536,0.677103753080463,0.8881903101480902,-0.3308817317270324,0.32417846245615944,1.3114414618055465,0.1015555259848131,0.18231690683275598,0.6348017557685465,0.8367969390841585,-0.26480512651738397,0.38351042262826496,1.5223760439260743,0.11324513741364184,0.17392468416786586,0.7222555027099844,0.9430459171809594,-0.33088173172703295,0.3422526134113246,0.10501387784651639,0.6468848361649393,-0.26480512651738397,0.09802507879669609,0.6204154585541949,-0.2532755396713937,0.008473158454597618,0.13438943906568504,-0.33088173172703295,0.2126442910483104,1.1629386852821353,-0.22803359796975098,0.060075307751549685,1.2829724398291535,0.10585029742157159,0.11168802218090201,-0.3303201288695241,-0.3303201288695238,0.6765896096074786,0.7274801473089363,0.0014144336245291989,0.0015571152327398252,-0.000561602857508281,-0.0005616028575091692,0.0005141434729843963,-0.005224644598951889,-0.006660521079974613,-0.004540926722327532,0.024544758523544874,0.024544758523545096,0.7959300659214674,0.0028202222848102807,-0.005170469554827149,4,0.008473158454597618
