top_k,median_full_cagr,median_holdout_cagr,median_full_mdd,median_full_sharpe,median_selection_cagr,median_selection_mdd,median_selection_sharpe,median_rolling3y_selection_positive,median_turnover,min_positive_era_count
3,0.11498888332995394,0.1224402371879596,-0.32194684949222596,0.6972362898680666,0.004720735067331838,-0.005991751055886507,-0.003621830181381125,0.6470335339638864,2.267458510079469,4
5,0.10953172071694472,0.119780501703171,-0.3181482565024707,0.6859642325324355,0.0025656340939815836,-0.0038285520575785936,-0.0043844749252388016,0.701060475781026,2.0211047712959562,4
7,0.1054650309763957,0.11251029714215632,-0.3170167630935556,0.676687206876297,0.003057512477946611,0.00054004684098935,0.0038756736196245423,0.8382057896245343,1.7619889374234998,4
