Date,with_cash,always_invested,topix
2009,-0.23474178782664967,-0.2262120106890546,0.0
2010,-0.3299011050911471,-0.3299011050911471,0.0
2011,0.03434037949571889,0.03434037949571889,0.0
2012,0.36791624005727974,0.36791624005727974,0.0
2013,0.22602076833781815,0.22602076833781815,0.0
2014,-0.07117585307812968,-0.07117585307812968,0.0
2015,0.06955021183008081,0.06955021183008081,0.0
2016,-0.010567473571029384,-0.010567473571029384,0.0
2017,0.24165960389654595,0.24165960389654595,0.0
2018,-0.1900022513702352,-0.1900022513702352,0.0
2019,0.004819429571682354,0.004819429571682354,0.0
2020,0.22761692780282172,0.22761692780282172,0.0
2021,-1.4748507693340684e-05,-1.4748507693340684e-05,0.0
2022,-0.09633516591614022,-0.09633516591614022,0.0
2023,-0.003755003135247015,-0.003755003135247015,0.0
2024,0.09542411511162663,0.09542411511162663,0.0
2025,0.05945862844605965,0.05945862844605965,0.0
2026,0.17620596955109447,0.17620596955109447,0.0
