strategy,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,cash_exposure,switches
TOPIX-17 + CASH,0.3330383283661107,0.016749234975736993,0.2743723586530793,0.19988506389188654,0.2607086825246979,-0.5599584479070223,0.029911567614242157,0.0,138
TOPIX-17 always invested,0.3478967378231581,0.017400680118000444,0.2743828229458465,0.20228374127962417,0.2638315953001625,-0.5599584479070235,0.03107494883422079,0.0,138
TOPIX 1306 buy&hold,0.0,0.0,0.0,,,0.0,,0.0,0
