Date,with_cash,always_invested,topix,position
2009-05-01,0.999,1.0101351269740149,1.0,1622.T
2009-05-07,1.0415992499664737,1.0532091998207433,1.0,1622.T
2009-05-08,1.0240585084526552,1.0354729444090522,1.0,1622.T
2009-05-11,0.9964942410417518,1.0076014381417262,1.0,1622.T
2009-05-12,0.9747768057914392,0.9856419344238839,1.0,1622.T
2009-05-13,0.9605769537059289,0.9712838069069578,1.0,1622.T
2009-05-14,0.9221537236378233,0.9324323010174707,1.0,1622.T
2009-05-15,0.9497181748227611,0.9603039931072266,1.0,1622.T
2009-05-18,0.9296713068026256,0.9400336772183868,1.0,1622.T
2009-05-19,0.9505533665508324,0.9611484941105128,1.0,1622.T
2009-05-20,0.9522239337810094,0.9628376819395152,1.0,1622.T
2009-05-21,0.941365461187899,0.951858177843834,1.0,1622.T
2009-05-22,0.9430357221280188,0.9535470559687865,1.0,1622.T
2009-05-25,0.9447066569062645,0.9552366154426489,1.0,1622.T
2009-05-26,0.9438712201461474,0.9543918666761227,1.0,1622.T
2009-05-27,0.9580710109736462,0.9687499322522388,1.0,1622.T
2009-05-28,0.9881414048908667,0.9991554989967133,1.0,1622.T
2009-05-29,0.9839647111543726,0.9949322506905621,1.0,1622.T
2009-06-01,0.9878438589247005,0.9988546365019046,1.0,1618.T
2009-06-02,0.9621285886648541,0.9728527368131148,1.0,1618.T
2009-06-03,0.9903528687650409,1.0013916124515054,1.0,1618.T
2009-06-04,0.9790631170944206,0.9899760221238707,1.0,1618.T
2009-06-05,1.0110504165732983,1.022319860783182,1.0,1618.T
2009-06-08,1.009796109805856,1.021051573169774,1.0,1618.T
2009-06-09,0.9878438589247007,0.9988546365019048,1.0,1618.T
2009-06-10,1.0160681390248874,1.0273935121402953,1.0,1618.T
2009-06-11,1.0204585099400274,1.0318328193293123,1.0,1618.T
2009-06-12,1.01418657979736,1.025490980539487,1.0,1618.T
2009-06-15,1.0066598475054305,1.0178803532327727,1.0,1618.T
2009-06-16,0.9696551228040556,0.9804631637584367,1.0,1618.T
2009-06-17,0.9709096277242258,0.9817316517332371,1.0,1618.T
2009-06-18,0.938295075785263,0.9487535690865256,1.0,1618.T
2009-06-19,0.9458214117717366,0.9563637956704552,1.0,1618.T
2009-06-22,0.9470758176155428,0.9576321834645594,1.0,1618.T
2009-06-23,0.9056803256935724,0.9157752860784217,1.0,1618.T
2009-06-24,0.9276325765747278,0.9379722227462909,1.0,1618.T
2009-06-25,0.9370404717887287,0.9474849809310287,1.0,1618.T
2009-06-26,0.9502118817632403,0.960803203040168,1.0,1618.T
2009-06-29,0.9213603492029685,0.9316300834143771,1.0,1618.T
2009-06-30,0.9571111634423567,0.9677793859980897,1.0,1618.T
2009-07-01,0.9395167194533478,0.9499888295287456,1.0,1633.T
2009-07-02,0.9180390894182479,0.9282718039605709,1.0,1633.T
2009-07-03,0.9270299107984148,0.9373628394925584,1.0,1633.T
2009-07-06,0.9165409367490313,0.9267569524723369,1.0,1633.T
2009-07-07,0.8950633662565834,0.9050399871104929,1.0,1633.T
2009-07-08,0.8625973184063757,0.8722120638196881,1.0,1633.T
2009-07-09,0.8456150395187071,0.8550404958111764,1.0,1633.T
2009-07-10,0.8021604547680872,0.8111015543850797,1.0,1633.T
2009-07-13,0.7721918639171093,0.7807989254316414,1.0,1633.T
2009-07-14,0.8001626201625378,0.8090814513691141,1.0,1633.T
2009-07-15,0.7846787321146943,0.7934249756741594,1.0,1633.T
2009-07-16,0.7906724741019506,0.7994855255473793,1.0,1633.T
2009-07-17,0.8216400715696813,0.8307982963182965,1.0,1633.T
2009-07-21,0.841619191679652,0.8510001091602528,1.0,1633.T
2009-07-22,0.8381228471489734,0.8474647934180688,1.0,1633.T
2009-07-23,0.8306305952365878,0.8398890308186304,1.0,1633.T
2009-07-24,0.8381228471489734,0.8474647934180689,1.0,1633.T
2009-07-27,0.8466139865928077,0.8560505774223248,1.0,1633.T
2009-07-28,0.8620977555553471,0.8717069327046182,1.0,1633.T
2009-07-29,0.8541062385051934,0.8636263400217634,1.0,1633.T
2009-07-30,0.8401206222118708,0.8494848362277041,1.0,1633.T
2009-07-31,0.8825763194310421,0.8924137562489832,1.0,1633.T
2009-08-03,0.8977933861371965,0.9078004365386663,1.0,1622.T
2009-08-04,0.8793175930273661,0.8891187071903738,1.0,1622.T
2009-08-05,0.8635787723005037,0.8732044572671,1.0,1622.T
2009-08-06,0.8964247493916558,0.9064165445939835,1.0,1622.T
2009-08-07,0.8800019114001365,0.8898106531627152,1.0,1622.T
2009-08-10,0.9121637708572605,0.9223309974934883,1.0,1622.T
2009-08-11,0.901899497112561,0.9119523153489457,1.0,1622.T
2009-08-12,0.8875291123924969,0.8974217543941235,1.0,1622.T
2009-08-13,0.8957406317576277,0.9057248015978733,1.0,1622.T
2009-08-14,0.907373542247868,0.9174873756870987,1.0,1622.T
2009-08-17,0.8813703474069349,0.8911943421311668,1.0,1622.T
2009-08-18,0.8806861294035357,0.890502497646941,1.0,1622.T
2009-08-19,0.8888976487686666,0.8988055448506908,1.0,1622.T
2009-08-20,0.9012148776316772,0.9112600649122575,1.0,1622.T
2009-08-21,0.8704216549200938,0.880123612526167,1.0,1622.T
2009-08-24,0.8909506038869776,0.9008813827677148,1.0,1622.T
2009-08-25,0.8875291123924969,0.8974217543941235,1.0,1622.T
2009-08-26,0.8950563133848574,0.9050328556255319,1.0,1622.T
2009-08-27,0.877264637909055,0.8870428692733496,1.0,1622.T
2009-08-28,0.8765806206443982,0.8863512277653551,1.0,1622.T
2009-08-31,0.8670002637949843,0.8766640856406913,1.0,1622.T
2009-09-02,0.8550018891533235,0.8645319738367516,1.0,1625.T
2009-09-03,0.8456156193581483,0.8550410821136669,1.0,1625.T
2009-09-04,0.8413492648899724,0.850727173692819,1.0,1625.T
2009-09-07,0.8558552567020216,0.8653948532533278,1.0,1625.T
2009-09-08,0.86097478540877,0.8705714456259388,1.0,1625.T
2009-09-09,0.8532950574008652,0.8628061172711933,1.0,1625.T
2009-09-10,0.8703613451691333,0.8800626305462429,1.0,1625.T
2009-09-11,0.8678011458679769,0.8774738945641083,1.0,1625.T
2009-09-14,0.8422025357836077,0.8515899553769886,1.0,1625.T
2009-09-15,0.8430557100221802,0.8524526393287517,1.0,1625.T
2009-09-16,0.8601217078252601,0.8697088594065819,1.0,1625.T
2009-09-17,0.8669478749743416,0.8766111128799385,1.0,1625.T
2009-09-18,0.8618282496125305,0.8714344227749211,1.0,1625.T
2009-09-24,0.8806008858579436,0.8904163039534971,1.0,1625.T
2009-09-25,0.8746276029822464,0.8843764412346842,1.0,1625.T
2009-09-28,0.8353761753244007,0.844687506438819,1.0,1625.T
2009-09-29,0.8507355346851477,0.8602180654159037,1.0,1625.T
2009-09-30,0.848175432039054,0.8576294271661756,1.0,1625.T
2009-10-01,0.8302666442307192,0.8395210231154019,1.0,1617.T
2009-10-02,0.8118036875037337,0.8208522732277851,1.0,1617.T
2009-10-05,0.8204583223620134,0.8296033750110505,1.0,1617.T
2009-10-06,0.8193042613364769,0.8284364505059795,1.0,1617.T
2009-10-07,0.8054569502874602,0.8144347935442705,1.0,1617.T
2009-10-08,0.8044356646262177,0.8134021243539843,1.0,1617.T
2009-10-09,0.8008411550034472,0.8097675493447685,1.0,1617.T
2009-10-13,0.7996871687809329,0.8086007004764945,1.0,1617.T
2009-10-14,0.8106497760842413,0.8196854999963079,1.0,1617.T
2009-10-15,0.810072745571473,0.8191020377437723,1.0,1617.T
2009-10-16,0.8175734690102606,0.8266863662955608,1.0,1617.T
2009-10-19,0.8216122337815054,0.8307701482425273,1.0,1617.T
2009-10-20,0.8262281786715626,0.8354375437156233,1.0,1617.T
2009-10-21,0.824497087133258,0.8336871569580167,1.0,1617.T
2009-10-22,0.8135345546329716,0.8226024330750001,1.0,1617.T
2009-10-23,0.8268049099722423,0.8360207034209706,1.0,1617.T
2009-10-26,0.8296899129300391,0.8389378634100542,1.0,1617.T
2009-10-27,0.8273819404850105,0.836604165673506,1.0,1617.T
2009-10-28,0.82565099855275,0.8348539301894935,1.0,1617.T
2009-10-29,0.8146883912494416,0.8237691306696799,1.0,1617.T
2009-10-30,0.8106497760842412,0.8196854999963076,1.0,1617.T
2009-11-02,0.8084514460193045,0.8174626667437794,1.0,1625.T
2009-11-04,0.800116943693188,0.8090352657773561,1.0,1625.T
2009-11-05,0.792615872718139,0.8014505858155722,1.0,1625.T
2009-11-06,0.8055260340034986,0.8145046472862846,1.0,1625.T
2009-11-09,0.8029508746284337,0.8119007844811699,1.0,1625.T
2009-11-10,0.8009502806365357,0.8098778913219813,1.0,1625.T
2009-11-11,0.8018587661249051,0.8107965030378452,1.0,1625.T
2009-11-12,0.7992832291189608,0.8081922583926742,1.0,1625.T
2009-11-13,0.7959497869378497,0.8048216607541584,1.0,1625.T
2009-11-16,0.7817809347272398,0.790494878645209,1.0,1625.T
2009-11-17,0.7751133423071185,0.7837529674180717,1.0,1625.T
2009-11-18,0.7709459967363402,0.7795391714748457,1.0,1625.T
2009-11-19,0.7567772861373101,0.7652125325559175,1.0,1625.T
2009-11-20,0.7509431250682566,0.7593133423334197,1.0,1625.T
2009-11-24,0.7584441016355856,0.7668979268351895,1.0,1625.T
2009-11-25,0.7540768949218294,0.7624820420420745,1.0,1625.T
2009-11-26,0.7467757322936185,0.7550994986601868,1.0,1625.T
2009-11-27,0.7226055150547565,0.7306598735755347,1.0,1625.T
2009-11-30,0.7442753910365555,0.7525712879162612,1.0,1625.T
2009-12-01,0.7536218726531018,0.7620219479708059,1.0,1627.T
2009-12-02,0.7584133065732043,0.7668667885226281,1.0,1627.T
2009-12-03,0.7652582121733507,0.7737879893109455,1.0,1627.T
2009-12-04,0.7570442427152855,0.765482464704856,1.0,1627.T
2009-12-07,0.7570442427152855,0.765482464704856,1.0,1627.T
2009-12-08,0.7632048232311963,0.771711712734559,1.0,1627.T
2009-12-09,0.7659427027333653,0.7744801093897773,1.0,1627.T
2009-12-10,0.7645738043512256,0.7730959528922224,1.0,1627.T
2009-12-11,0.7625203326711816,0.7710195926557272,1.0,1627.T
2009-12-14,0.752937382093087,0.7613298278919742,1.0,1627.T
2009-12-15,0.7652582121733505,0.7737879893109454,1.0,1627.T
2009-12-16,0.7748410800135554,0.7834776704145897,1.0,1627.T
2009-12-17,0.7679960916755195,0.7765563859661637,1.0,1627.T
2009-12-18,0.7652582121733504,0.7737879893109454,1.0,1627.T
2009-12-21,0.763204823231196,0.7717117127345589,1.0,1627.T
2009-12-22,0.7673117665912839,0.7758644332075493,1.0,1627.T
2009-12-24,0.7686806649734236,0.7772485897051041,1.0,1627.T
2009-12-25,0.7679960916755194,0.7765563859661637,1.0,1627.T
2009-12-28,0.770734219391357,0.7793250336017079,1.0,1627.T
2009-12-29,0.770734219391357,0.7793250336017079,1.0,1627.T
2009-12-30,0.7652582121733503,0.7737879893109454,1.0,1627.T
2010-01-04,0.7644121863090183,0.7729325334111552,1.0,1622.T
2010-01-05,0.7555512624332376,0.7639728432566318,1.0,1622.T
2010-01-06,0.758504874842934,0.7669593774373133,1.0,1622.T
2010-01-07,0.7514160490956182,0.7597915377012158,1.0,1622.T
2010-01-08,0.7697290872212513,0.7783086979537848,1.0,1622.T
2010-01-12,0.78922320639466,0.7980201039062149,1.0,1622.T
2010-01-13,0.78272513778796,0.7914496060512453,1.0,1622.T
2010-01-14,0.7921769054510478,0.8010067256993754,1.0,1622.T
2010-01-15,0.7992657311983635,0.8081745654354728,1.0,1622.T
2010-01-18,0.7974935464232074,0.8063826274045682,1.0,1622.T
2010-01-19,0.7856788368443477,0.7944362278444056,1.0,1622.T
2010-01-20,0.780362195872188,0.7890603261392127,1.0,1622.T
2010-01-21,0.7963122054353581,0.8051881188672704,1.0,1622.T
2010-01-22,0.7756362253939529,0.7842816787026688,1.0,1622.T
2010-01-25,0.7661845443775565,0.7747246466670176,1.0,1622.T
2010-01-26,0.7460994947701495,0.7544157236085016,1.0,1622.T
2010-01-27,0.723651459923625,0.7317174768317137,1.0,1622.T
2010-01-28,0.721879145178432,0.7299254073820907,1.0,1622.T
2010-01-29,0.7136092383833407,0.7215633219461318,1.0,1622.T
2010-02-01,0.7133633175710775,0.721314660033298,1.0,1625.T
2010-02-02,0.7257816701841661,0.733871430997893,1.0,1625.T
2010-02-03,0.7313008424985056,0.7394521215149469,1.0,1625.T
2010-02-04,0.719572532951408,0.7275930850249088,1.0,1625.T
2010-02-05,0.7009448868104161,0.7087578100500761,1.0,1625.T
2010-02-08,0.6892164209681734,0.6968986155227845,1.0,1625.T
2010-02-09,0.685766987113944,0.6934107333362676,1.0,1625.T
2010-02-10,0.6933561323311116,0.7010844692397388,1.0,1625.T
2010-02-12,0.6995652695638697,0.7073628152127229,1.0,1625.T
