variant,rebalance,model,top_k,absolute_filter,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure_mean_weight,annualized_turnover,signal_count,full_cagr_alpha_vs_same_freq_ew,holdout_cagr_alpha_vs_same_freq_ew,full_mdd_improvement_vs_same_freq_ew,holdout_mdd_improvement_vs_same_freq_ew,positive_era_count,worst_era_cagr,median_era_sharpe
monthly_current_top3_none_0bp,monthly,current,3,none,0.0,4.677504254157227,0.10556635226307076,0.21856066965292914,0.5817156829286041,0.7560123508849348,-0.3809379122549258,0.2771221998833898,1.011498374978581,0.08402202282345006,0.21552430461207353,0.4914915886297495,0.6557710603859066,-0.35051871784147004,0.2397076633763419,1.8225249022225447,0.1278530642167004,0.221575419142194,0.6704391006856995,0.8501666695888179,-0.38093791225492657,0.3356270407948793,0.09404071365756717,0.5183400141134334,-0.35051871784147004,0.07280636346789193,0.4580626569199804,-0.2919835385874072,0.041963412001404965,0.3190887441276612,-0.38093791225492657,0.20798551244247365,0.9109205931617165,-0.291605268098478,0.0,12.493381348066364,209,-0.00921385292916721,0.009333834090644366,-0.026269551879056108,-0.026269551879058106,4,0.041963412001404965,0.4882013355167069
monthly_classic_6_12minus1_top3_ma200_10bp,monthly,classic_6_12minus1,3,ma200,10.0,4.703012550281617,0.10585281253893575,0.20731711788357943,0.6031151036037843,0.7579192862268462,-0.2922059190754873,0.36225416950431505,0.9293727877866993,0.07881815243226864,0.1990115548758125,0.4902332048337594,0.6200870659423693,-0.2922059190754873,0.2697349618434905,1.9558893887084872,0.13390694418881632,0.2153626197268637,0.7093629734124363,0.8891489731321824,-0.2821851425601575,0.47453577099747357,0.09039906262807529,0.5190898639074432,-0.2922059190754873,0.06578276095179603,0.454580228183816,-0.2515555585221765,0.043195597917996764,0.3415018056799069,-0.26631938847759984,0.2188638571559096,0.9451205927020375,-0.2821851425601576,0.10840086577604702,5.6947966490848865,209,-0.008499872069205106,0.01575435142137005,0.06284161301296609,0.0728623895282946,4,0.043195597917996764,0.48683504604562955
monthly_long_6_12_top3_ma200_10bp,monthly,long_6_12,3,ma200,10.0,4.766543637911133,0.10656105771106428,0.21609623907712922,0.5903163357923028,0.7402834953989065,-0.3360594908509701,0.3170898623967747,0.9478476846070325,0.08000565817006566,0.20674536129729662,0.48495039588502087,0.6226642080280004,-0.3183680549365593,0.2512992648901545,1.960469488185136,0.13411052955316816,0.22512877711707316,0.6890615977791015,0.8495161639808237,-0.33605949085096964,0.3990678234189237,0.09006224467619295,0.507492555308719,-0.3183680549365593,0.06872618141022313,0.45796331150286246,-0.2631644596797812,0.013276905544083117,0.16526607321141956,-0.33605949085096964,0.25024416242397307,1.010387853178265,-0.28218514256015725,0.08106921268642994,7.477552244421773,209,-0.007791626897076576,0.015957936785721882,0.018988041237483322,0.018988041237482434,4,0.013276905544083117,0.4827279334057907
bimonthly_current_top3_none_0bp,bimonthly,current,3,none,0.0,5.292022840685238,0.1127351820340341,0.21687176849964274,0.6147253912087374,0.8103592615496822,-0.34921090435999014,0.3228283556627403,0.9373419969670584,0.08014722731476809,0.2106640949554286,0.479800989944715,0.6574137880936471,-0.2996686345328299,0.2674528398332847,2.2477605144241237,0.14635566782573228,0.2228937400789364,0.7428959384873425,0.9466621638239314,-0.34921090435999136,0.4191039454909417,0.07829063724949248,0.46168528761119587,-0.2996686345328299,0.08269094948202427,0.5032469335076003,-0.273203622279484,0.04717987667961876,0.34238639784519787,-0.34921090435999136,0.2398577273213911,1.0226681951777283,-0.2693741053560592,0.0,6.988035715385759,105,0.0037203005747585838,0.028588799022358335,0.007194160640608849,0.0071941606406077385,4,0.04717987667961876,0.4824661105593981
monthly_classic_6_12minus1_top3_none_10bp,monthly,classic_6_12minus1,3,none,10.0,5.111204494966765,0.11027972248836959,0.2239938656919843,0.5925923321214251,0.778652850295501,-0.38996213293836757,0.282795977284797,0.9929576645873539,0.08286384381688294,0.21798096871717584,0.4833050271643199,0.6610487421275554,-0.3897804655517295,0.2125910637917428,2.066399554569606,0.1387431077248349,0.22989112676592952,0.6976438521064846,0.8851450333836224,-0.38996213293836757,0.3557861033311223,0.09556182888290343,0.5159922084724986,-0.3897804655517295,0.06856945947464599,0.4420151318563451,-0.24096859912879864,0.04236892744081522,0.3150353385931524,-0.38996213293836757,0.22941689061922155,0.9625733179736864,-0.28218514256015736,0.0,6.01276526820043,209,-0.004072962119771262,0.020590514957388617,-0.03491460084991416,-0.03491460084991549,4,0.04236892744081522,0.47900367016442186
quarterly_classic_6_12minus1_top3_none_10bp,quarterly,classic_6_12minus1,3,none,10.0,4.1669464336115425,0.10057959765042801,0.22354289150943263,0.5528462050866862,0.7282676210037461,-0.3971654324000975,0.25324358427323024,0.943342583152174,0.08134620883574284,0.21719770354288692,0.4773620963468623,0.6522639959018939,-0.3506888126359543,0.23196123145276187,1.6587933997877844,0.1200649047499569,0.2296484795252811,0.6239939118332324,0.7969042064083202,-0.39716543240009716,0.3023045183574932,0.08615435465609034,0.47965869978697834,-0.3506888126359543,0.07634042408877617,0.4777200998247233,-0.22860526476200727,0.036754243645025664,0.287720361240446,-0.39716543240009716,0.19763827366541542,0.854840698959707,-0.283131997500237,0.0,3.8974207068264217,70,-0.008392648031870342,0.0005222793134667114,-0.043907192968592135,-0.04390719296859258,4,0.036754243645025664,0.4786893998058508
monthly_medium_3_6_12_top3_ma200_10bp,monthly,medium_3_6_12,3,ma200,10.0,3.1024515915167594,0.08499928067484386,0.21377151739715844,0.49975517603774966,0.6283584647216789,-0.3535088740649822,0.240444545839659,0.9125869714017776,0.07773046180662924,0.20787849278998285,0.47305590475439296,0.6050573998871601,-0.31126456551539206,0.24972473714739452,1.1449751843232363,0.092519510738029,0.21955865923290568,0.5256415037493717,0.6520897398001799,-0.35350887406498266,0.2617176470682371,0.08706679253629956,0.49264702319450115,-0.31126456551539206,0.06726825016799864,0.45028796681600364,-0.26006191437302195,0.00826354150241726,0.13534780690621043,-0.35350887406498266,0.17108868781711983,0.7675382169963891,-0.2821851425601575,0.07795425633010249,8.590059918638914,209,-0.029353403933296995,-0.025633082029417276,0.0015386580234711955,0.0015386580234694192,4,0.00826354150241726,0.4714674950052524
bimonthly_classic_6_12minus1_top3_none_20bp,bimonthly,classic_6_12minus1,3,none,20.0,5.7316961832362425,0.1171088190941183,0.22377036456823174,0.620771692881728,0.816309747016369,-0.3828398486714413,0.30589506160478813,0.9634854776773261,0.08183648275781996,0.21891727365049354,0.47722732194272105,0.6493744035711007,-0.3679992481056452,0.22238220099386274,2.4284420535666023,0.15357477162000155,0.2285042418702041,0.7587601928452344,0.968250926981189,-0.3828398486714415,0.40114625515851554,0.09716262055767744,0.5198427333979794,-0.3679992481056452,0.06485823566395288,0.422978336318245,-0.250388710459039,0.04006348750646693,0.30391314456667445,-0.3828398486714415,0.2618550054316655,1.0736764458836154,-0.28217263112293745,0.0,4.4123449363764875,105,0.008713238336470308,0.03629845084956074,-0.02597108843424034,-0.025971088434240563,4,0.04006348750646693,0.4714105348581122
monthly_classic_6_12minus1_top3_ma200_r6_20bp,monthly,classic_6_12minus1,3,ma200_r6,20.0,3.594226242916953,0.09212174808719809,0.2016376015991933,0.5506406693826384,0.6810994093966234,-0.3296477292817367,0.27945512710771725,0.8049189895145858,0.07054592686731675,0.1914011225931346,0.46073770839154266,0.5759980766864224,-0.3296477292817367,0.21400398243612345,1.5453919370378548,0.11441825972439101,0.2114591072620215,0.6341194859618619,0.7812248182441538,-0.31406953184473974,0.36430869002904004,0.07156892263979908,0.439699840453866,-0.3296477292817367,0.06969869990205169,0.5019347601513964,-0.2187012463441863,0.003040944818054836,0.10074596202868055,-0.31406953184473974,0.220699022154357,0.9575915690417014,-0.2822084081986257,0.15255225207262182,5.958774708313445,209,-0.02180350403887732,-0.0033678044115783567,0.025778760968840242,0.04135695840583831,4,0.003040944818054836,0.4708173003026312
bimonthly_classic_6_12minus1_top3_ma200_20bp,bimonthly,classic_6_12minus1,3,ma200,20.0,4.65406373915618,0.1058476532158028,0.21077179002147003,0.5962931211678183,0.7513242848532699,-0.38116683473502966,0.27769376443620397,0.8860241194524834,0.07677192852544845,0.20179706989920998,0.4760854789294977,0.6054022328421038,-0.315423396327852,0.24339325940695752,1.9978745663112498,0.13576284102556957,0.2193717758350181,0.7080168846921868,0.8878016287857201,-0.38116683473502944,0.35617695101921965,0.09117915465146953,0.5158789525202173,-0.315423396327852,0.06079668651619774,0.42565092576390867,-0.25943459275619296,0.011898265192816337,0.15824173387844287,-0.38116683473502944,0.2551156753918853,1.0725645490226807,-0.28217263112293745,0.09967161932199084,4.20506126103196,105,-0.0025479275418451852,0.018486520255128758,-0.024298074497828726,-0.024298074497828503,4,0.011898265192816337,0.47076493914206297
