variant,rebalance,model,top_k,absolute_filter,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,cash_exposure_mean_weight,annualized_turnover,signal_count,full_cagr_alpha_vs_same_freq_ew,holdout_cagr_alpha_vs_same_freq_ew,full_mdd_improvement_vs_same_freq_ew,holdout_mdd_improvement_vs_same_freq_ew,positive_era_count,worst_era_cagr,median_era_sharpe
monthly_classic_6_12minus1_top3_ma200_r12_0bp,monthly,classic_6_12minus1,3,ma200_r12,0.0,5.8878300869322,0.1179826511076596,0.20280105521260058,0.6672450999425067,0.8125892586115427,-0.2838647380750208,0.41562982393564757,1.371131560597013,0.10480243915737586,0.19067563964772954,0.630942237107059,0.7614507294933582,-0.26721338918387894,0.3922050443559833,1.9048704852116916,0.13162009809664044,0.2143424894443405,0.702020733899183,0.8669745874502203,-0.2838647380750202,0.4636718846771862,0.12822887722014054,0.7026657783069659,-0.26721338918387894,0.07846586322559279,0.5362657703713837,-0.24951138435926812,0.03224109868484515,0.278740538678388,-0.2838647380750202,0.22538391640135047,0.9687818262268452,-0.2821618769216888,0.15760824813462515,5.411904637318873,209,0.0032024459154216256,0.013100867970584407,0.07080362230084891,0.07080362230084825,4,0.03224109868484515,0.6194657743391747
monthly_classic_6_12minus1_top3_ma200_r12_10bp,monthly,classic_6_12minus1,3,ma200_r12,10.0,5.287585602791253,0.11210695885822552,0.20275074897443307,0.6406490393572313,0.7804597652165496,-0.288195030551582,0.3889968492644091,1.2629676793134421,0.09886369911265391,0.19062709164826358,0.6020969662695165,0.7271344014547286,-0.2734084427949739,0.36159709664412504,1.7784690255491595,0.12579758141702047,0.2142903817746703,0.6773579618178364,0.8364882774074892,-0.2881950305515807,0.43650156345949004,0.12382661696685093,0.6832664453286749,-0.2734084427949739,0.070780292819149,0.4938034548395425,-0.25155555852217626,0.02779134264281602,0.25231858643103283,-0.2881950305515807,0.2181795042809469,0.9442952065261406,-0.28218514256015725,0.15760824813462515,5.411904637318873,209,-0.0022457257499153283,0.0076449886495741914,0.06685250153687139,0.06685250153687139,4,0.02779134264281602,0.5885349500841087
monthly_medium_3_6_12_top3_ma200_r12_0bp,monthly,medium_3_6_12,3,ma200_r12,0.0,3.788062474258621,0.09473319307489314,0.2035802389734156,0.5593792776726576,0.6739103498296346,-0.3552379779515017,0.2666752964341736,1.217681658284938,0.09630240803151313,0.19199960778975309,0.586693818131966,0.704665600965653,-0.3202185342718308,0.30073964410118387,1.1590395791799488,0.09334774325695827,0.21463771115770963,0.5363634942011923,0.6522078491505928,-0.35523797795150114,0.2627752353373168,0.10301844716953568,0.5922225330624076,-0.3202185342718308,0.08896052469852078,0.5831545606502629,-0.256591251141554,0.0043850384071915105,0.11089965779266785,-0.35523797795150114,0.1766478433434855,0.7990659807034524,-0.2821618769216887,0.1614277450093406,7.7964940981585125,209,-0.02004701211734483,-0.02517148686909776,-0.0005696175756320088,-0.0005696175756326749,4,0.0043850384071915105,0.5876885468563353
monthly_classic_6_12minus1_top3_ma200_r12_20bp,monthly,classic_6_12minus1,3,ma200_r12,20.0,4.739240637973195,0.1062575889985038,0.2027208265071172,0.613978035259797,0.7479205222447172,-0.29250167052616316,0.36327173382416444,1.159654255210202,0.09295199504342433,0.19060200983235534,0.5731664246107973,0.6920668223813201,-0.2795557391751713,0.3324989689629661,1.6574812260467864,0.12000079495754279,0.2142559558791218,0.6526293290325557,0.8059641543151385,-0.29250167052616294,0.41025678500119633,0.11943832560726309,0.6638206365943602,-0.2795557391751713,0.0631427145819321,0.4511898890711447,-0.2535953753111142,0.02335801622928102,0.2258291891844222,-0.29250167052616294,0.21101173008924645,0.9197383800579428,-0.2822084081986257,0.15760824813462515,5.411904637318873,209,-0.007667663127571611,0.0022147308215734185,0.06292481972441377,0.0629248197244151,4,0.02335801622928102,0.5575052628327525
bimonthly_classic_6_12minus1_top3_ma200_r6_0bp,bimonthly,classic_6_12minus1,3,ma200_r6,0.0,5.323795122927307,0.1130607396693355,0.20505089165319054,0.6396628591224001,0.7905890030314472,-0.3744967413380289,0.30190046317995706,1.0943461343859457,0.09000459168907216,0.1937633216680365,0.5520270003646005,0.6927576712854566,-0.308017847958709,0.29220576757337,2.0194603552394303,0.1367080842771209,0.215747814733087,0.7202261198698259,0.8839961358815278,-0.3744967413380291,0.3650447899457825,0.09830503005927493,0.5547794834083245,-0.308017847958709,0.08097376178561921,0.5576113041564429,-0.2544421789352006,0.003763288949955923,0.1112729220322178,-0.3744967413380291,0.26584204551633617,1.1198133685886222,-0.282119094349778,0.14888939381728686,4.235209688494901,105,0.004045858210059983,0.018941215473746942,-0.01809167633742992,-0.01809167633743003,4,0.003763288949955923,0.5561953937823837
quarterly_current_top3_none_0bp,quarterly,current,3,none,0.0,3.80600436600505,0.09593847587515336,0.2179082324962268,0.5415058312484755,0.7070396288679455,-0.37933565132003155,0.25291183557701935,1.2104326654266537,0.09786253106564446,0.21157577389062138,0.5576826724731846,0.7631470828737014,-0.3515338453399355,0.2783872232018251,1.174236945180775,0.09423735048244541,0.2240043143430121,0.5267976803790799,0.6619579399057434,-0.3793356513200309,0.24842734964276003,0.07475441974082098,0.4444806004255466,-0.3515338453399355,0.12509740588746254,0.6996635069015104,-0.24490321528045966,0.04410967588659509,0.32830222459735575,-0.3793356513200309,0.13968096269297847,0.6650937008314852,-0.2946616182054538,0.0,5.698939739984824,70,-0.013311113277568953,-0.02552851188393257,-0.02628807339058048,-0.026288073390580258,4,0.04410967588659509,0.5547871506285159
monthly_classic_6_12minus1_top3_ma200_r6_0bp,monthly,classic_6_12minus1,3,ma200_r6,0.0,4.616263871423944,0.10487363637803648,0.20167408281929697,0.6097335884997246,0.7538887941868305,-0.3075395247993401,0.34100864416196014,1.0081306662970437,0.08381235659131092,0.19140800564930346,0.5266211311758273,0.6582279431957605,-0.3075395247993401,0.27252547992325815,1.7967621657709443,0.12665454459139291,0.211523296904743,0.6871363580548896,0.8463912239621741,-0.2999163197349888,0.42229960911532605,0.08275315654540005,0.4898575098558081,-0.3075395247993401,0.08547665600262722,0.5928064339586233,-0.2139347638808362,0.012407460600834863,0.1595942764832633,-0.2999163197349888,0.23587256341860363,1.009247650557272,-0.2821618769216888,0.15255225207262182,5.958774708313445,209,-0.009906568814201488,0.008135314465336885,0.04712883557652958,0.054752040640879684,4,0.012407460600834863,0.5413319719072157
monthly_medium_3_6_12_top3_none_0bp,monthly,medium_3_6_12,3,none,0.0,4.5419782386697864,0.10402374362148148,0.22385816472890616,0.5668758825506749,0.7371502826277728,-0.4085669643513572,0.25460635023839984,1.2132829302619665,0.09605116540903058,0.22027373644866283,0.5368183395619816,0.7264247964721219,-0.3284828422124876,0.2924084702935486,1.5039628521482382,0.11229978168331511,0.22741791826601707,0.5964109974175124,0.7482957440126897,-0.4085669643513581,0.2748626087809192,0.11107419580166922,0.577006383475709,-0.3284828422124876,0.07916827541538529,0.48565863368348106,-0.25891376601708205,0.035973847960954375,0.2853892036622812,-0.4085669643513581,0.1829673557571676,0.8084283703663601,-0.28216187692168904,0.0,8.878094473899665,209,-0.010756461570756493,-0.006219448442740916,-0.053898603975487513,-0.05389860397548962,4,0.035973847960954375,0.531332508579595
quarterly_current_top3_none_10bp,quarterly,current,3,none,10.0,3.3698080124623733,0.08987025634374768,0.21796587899298536,0.5152485275607992,0.6726701539417412,-0.3838739681495086,0.2341139639579458,1.106022676301193,0.09162734041463194,0.21163498939375053,0.530038278765506,0.7250555398996918,-0.3588520626512939,0.2553345792069995,1.0749102379738193,0.08832053857193789,0.22406053797227418,0.5018166178652433,0.6305440274250794,-0.3838739681495078,0.23007691560251775,0.06894804227913909,0.41936716961004405,-0.3588520626512939,0.118324709462996,0.6687674001100593,-0.24842163338347079,0.039046068478197915,0.30202094119727657,-0.3838739681495078,0.13295274819741776,0.6406712832742599,-0.29466161820545367,0.0,5.698939739984824,70,-0.019101989338550673,-0.0312220868645523,-0.03061572871800322,-0.03061572871800322,4,0.039046068478197915,0.5300192264421519
monthly_long_6_12_top3_ma200_r12_0bp,monthly,long_6_12,3,ma200_r12,0.0,5.1372352230982266,0.11055249153995605,0.20956841765216022,0.6197064725241047,0.7452853097117665,-0.35680960960576336,0.30983608222352754,1.029483879360742,0.0851365317609456,0.19457186739841534,0.5276282360391592,0.6363302528154643,-0.35680960960576336,0.2386049295449537,2.0240374341043603,0.13690774694292118,0.22367625125256152,0.7034178256202722,0.8506077384248698,-0.33425482153821784,0.4095909411654291,0.08990542946976654,0.5284012508600727,-0.35680960960576336,0.07999543594765601,0.5301137110944819,-0.2601779246143784,0.010923860583520462,0.15110892627521685,-0.33425482153821784,0.258521126755499,1.0378279596353468,-0.2821618769216889,0.1482875194667193,7.035627048710667,209,-0.004227713652281917,0.018388516816865152,-0.0021412492298936714,0.020413538837650624,4,0.010923860583520462,0.5292574809772773
