0,monthly_current_top3_none_10bp,monthly_current_top3_ma200_10bp,monthly_current_top3_ma200_r6_10bp,monthly_current_top3_ma200_r12_10bp,monthly_medium_3_6_12_top3_none_10bp,monthly_medium_3_6_12_top3_ma200_10bp,monthly_medium_3_6_12_top3_ma200_r6_10bp,monthly_medium_3_6_12_top3_ma200_r12_10bp,monthly_classic_6_12minus1_top3_none_10bp,monthly_classic_6_12minus1_top3_ma200_10bp,monthly_classic_6_12minus1_top3_ma200_r6_10bp,monthly_classic_6_12minus1_top3_ma200_r12_10bp,monthly_long_6_12_top3_none_10bp,monthly_long_6_12_top3_ma200_10bp,monthly_long_6_12_top3_ma200_r6_10bp,monthly_long_6_12_top3_ma200_r12_10bp,bimonthly_current_top3_none_10bp,bimonthly_current_top3_ma200_10bp,bimonthly_current_top3_ma200_r6_10bp,bimonthly_current_top3_ma200_r12_10bp,bimonthly_medium_3_6_12_top3_none_10bp,bimonthly_medium_3_6_12_top3_ma200_10bp,bimonthly_medium_3_6_12_top3_ma200_r6_10bp,bimonthly_medium_3_6_12_top3_ma200_r12_10bp,bimonthly_classic_6_12minus1_top3_none_10bp,bimonthly_classic_6_12minus1_top3_ma200_10bp,bimonthly_classic_6_12minus1_top3_ma200_r6_10bp,bimonthly_classic_6_12minus1_top3_ma200_r12_10bp,bimonthly_long_6_12_top3_none_10bp,bimonthly_long_6_12_top3_ma200_10bp,bimonthly_long_6_12_top3_ma200_r6_10bp,bimonthly_long_6_12_top3_ma200_r12_10bp,benchmark_monthly_equal_weight_10bp,benchmark_bimonthly_equal_weight_10bp,benchmark_buyhold_equal_weight_10bp
2009-05-01,0.999,0.9996666666666667,0.9996666666666667,1.0,0.999,0.9996666666666667,0.9996666666666667,1.0,0.999,1.0,1.0,1.0,0.999,0.9996666666666667,0.9996666666666667,1.0,,,,,,,,,,,,,,,,,0.999,,0.999
2009-05-07,1.0481176884825782,1.0148908236895444,1.0148908236895444,1.0,1.0443317675754151,1.0148908236895444,1.0148908236895444,1.0,1.0298723083503245,1.0,1.0,1.0,1.0443317675754151,1.0148908236895444,1.0148908236895444,1.0,,,,,,,,,,,,,,,,,1.0419405768988268,,1.0419405768988268
2009-05-08,1.044901197919079,1.0094815078242807,1.0094815078242807,1.0,1.0487827148900621,1.0094815078242807,1.0094815078242807,1.0,1.043238475631132,1.0,1.0,1.0,1.0487827148900621,1.0094815078242807,1.0094815078242807,1.0,,,,,,,,,,,,,,,,,1.0545686264466267,,1.0545686264466267
2009-05-11,1.0333997659447636,0.9975391883134612,0.9975391883134612,1.0,1.042756108429005,0.9975391883134612,0.9975391883134612,1.0,1.0491520736656856,1.0,1.0,1.0,1.042756108429005,0.9975391883134612,0.9975391883134612,1.0,,,,,,,,,,,,,,,,,1.065848529992094,,1.065848529992094
2009-05-12,1.0189723824751356,0.9921326607553395,0.9921326607553395,1.0,1.0317334281284574,0.9921326607553395,0.9921326607553395,1.0,1.0414236838683861,1.0,1.0,1.0,1.0317334281284574,0.9921326607553395,0.9921326607553395,1.0,,,,,,,,,,,,,,,,,1.0483696059506677,,1.0483696059506677
2009-05-13,1.0115911595921407,0.9884297888640782,0.9884297888640782,1.0,1.0276547402996816,0.9884297888640782,0.9884297888640782,1.0,1.0457452193622359,1.0,1.0,1.0,1.0276547402996816,0.9884297888640782,0.9884297888640782,1.0,,,,,,,,,,,,,,,,,1.0541234647156534,,1.0541234647156534
2009-05-14,0.9762861760352376,0.9753080154300454,0.9753080154300454,1.0,0.9985397040706736,0.9753080154300454,0.9753080154300454,1.0,1.0257452872684176,1.0,1.0,1.0,0.9985397040706736,0.9753080154300454,0.9753080154300454,1.0,,,,,,,,,,,,,,,,,1.0257715969331975,,1.0257715969331975
2009-05-15,1.0018548804171128,0.982702605984028,0.982702605984028,1.0,1.0212308491911128,0.982702605984028,0.982702605984028,1.0,1.03994127707882,1.0,1.0,1.0,1.0212308491911128,0.982702605984028,0.982702605984028,1.0,,,,,,,,,,,,,,,,,1.0460110383409276,,1.0460110383409276
2009-05-18,0.9747816829398853,0.9771566630685619,0.9771566630685619,1.0,0.997972540553514,0.9771566630685619,0.9771566630685619,1.0,1.0174698247271718,1.0,1.0,1.0,0.997972540553514,0.9771566630685619,0.9771566630685619,1.0,,,,,,,,,,,,,,,,,1.0203363039566902,,1.0203363039566902
2009-05-19,1.0025884262832974,0.9843254007436072,0.9843254007436072,1.0,1.025606868084593,0.9843254007436072,0.9843254007436072,1.0,1.0425522783831318,1.0,1.0,1.0,1.025606868084593,0.9843254007436072,0.9843254007436072,1.0,,,,,,,,,,,,,,,,,1.0447811827745725,,1.0447811827745725
2009-05-20,1.0165048629067754,0.985312461473669,0.985312461473669,1.0,1.0385877331684445,0.985312461473669,0.985312461473669,1.0,1.055693181424739,1.0,1.0,1.0,1.0385877331684445,0.985312461473669,0.985312461473669,1.0,,,,,,,,,,,,,,,,,1.054231967776226,,1.054231967776226
2009-05-21,1.015300991192593,0.9843867435008398,0.9843867435008398,1.0,1.0343496122729026,0.9843867435008398,0.9843867435008398,1.0,1.0526316761427406,1.0,1.0,1.0,1.0343496122729026,0.9843867435008398,0.9843867435008398,1.0,,,,,,,,,,,,,,,,,1.0488422602269671,,1.0488422602269671
2009-05-22,1.005356377317318,0.9815621883608845,0.9815621883608845,1.0,1.0297442938797272,0.9815621883608845,0.9815621883608845,1.0,1.049453998398081,1.0,1.0,1.0,1.0297442938797272,0.9815621883608845,0.9815621883608845,1.0,,,,,,,,,,,,,,,,,1.0432347549916445,,1.0432347549916445
2009-05-25,1.0173394114559118,0.9806253171594878,0.9806253171594878,1.0,1.0326016688629351,0.9806253171594878,0.9806253171594878,1.0,1.0518935332678319,1.0,1.0,1.0,1.0326016688629351,0.9806253171594878,0.9806253171594878,1.0,,,,,,,,,,,,,,,,,1.053760112848675,,1.053760112848675
2009-05-26,1.0212033985293414,0.9818298658470059,0.9818298658470059,1.0,1.0395562800947153,0.9818298658470059,0.9818298658470059,1.0,1.0590189577886098,1.0,1.0,1.0,1.0395562800947153,0.9818298658470059,0.9818298658470059,1.0,,,,,,,,,,,,,,,,,1.05685163137922,,1.05685163137922
2009-05-27,1.0351496850608644,0.9871248611192578,0.9871248611192578,1.0,1.0423994345347412,0.9871248611192578,0.9871248611192578,1.0,1.056284038023312,1.0,1.0,1.0,1.0423994345347412,0.9871248611192578,0.9871248611192578,1.0,,,,,,,,,,,,,,,,,1.0660519281693268,,1.0660519281693268
2009-05-28,1.047912495698128,0.9953949801173767,0.9953949801173767,1.0,1.05324239386737,0.9953949801173767,0.9953949801173767,1.0,1.0579119009072295,1.0,1.0,1.0,1.05324239386737,0.9953949801173767,0.9953949801173767,1.0,,,,,,,,,,,,,,,,,1.0667060174773442,,1.0667060174773442
2009-05-29,1.0543142973053778,0.9955288188604373,0.9955288188604373,1.0,1.0656492932422397,0.9955288188604373,0.9955288188604373,1.0,1.0698077783068702,1.0,1.0,1.0,1.0656492932422397,0.9955288188604373,0.9955288188604373,1.0,,,,,,,,,,,,,,,,,1.073459883181213,,1.073459883181213
