core_share,min_full_cagr,max_full_cagr,median_full_cagr,min_holdout_cagr,max_holdout_cagr,median_holdout_cagr,worst_full_mdd,best_full_mdd,min_rolling3y_positive_alpha_share,median_rolling3y_positive_alpha_share,min_positive_era_count,max_turnover
0.25,0.09605900637693932,0.11391681404663068,0.10195303742682538,0.10108767390530793,0.12508488451611055,0.11347834610057239,-0.4166581484126146,-0.299745336176403,0.21780194619347454,0.42185584361036554,3,4.564872510773036
0.5,0.10260284606717018,0.11490725185821304,0.1068339259241522,0.10749369255646934,0.12358616234698117,0.11586751869803602,-0.3953637622636834,-0.3130126085118141,0.22953634802518602,0.4301533787922388,3,3.1681579594461877
0.75,0.10846993728793053,0.11507051480169483,0.11096418566289545,0.11314336476249176,0.12129431202893803,0.11748875742194054,-0.37462401925232625,-0.3308810904726378,0.24699484831139096,0.43845320557960105,4,1.7591223727986092
