0,benchmark_offset0_10bp,offset0_core025_10bp,offset0_core050_10bp,offset0_core075_10bp,benchmark_offset3_10bp,offset3_core025_10bp,offset3_core050_10bp,offset3_core075_10bp,benchmark_offset5_10bp,offset5_core025_10bp,offset5_core050_10bp,offset5_core075_10bp,benchmark_offset10_10bp,offset10_core025_10bp,offset10_core050_10bp,offset10_core075_10bp
2009-04-16,,,,,,,,,,,,,0.999,0.99975,0.9995,0.99925
2009-04-17,,,,,,,,,,,,,1.0121230020923813,1.0030332135490136,1.0060647850807483,1.009094714595204
2009-04-20,,,,,,,,,,,,,1.0144106828946264,1.0036055631190948,1.007209197974564,1.010810904566408
2009-04-21,,,,,,,,,,,,,0.9932593640881786,0.9983137635753645,0.9966282454485157,0.9949434456194538
2009-04-22,,,,,,,,,,,,,0.9909737974497895,0.9977419429430497,0.9954848901656979,0.9932288416679446
2009-04-23,,,,,,,,,0.999,0.99975,0.9995,0.99925,0.9999287677391244,0.9999823662530505,0.9999646162939212,0.9999467501226128
2009-04-24,,,,,,,,,0.9881305019947328,0.9970305854277363,0.9940625309027705,0.9910958364251027,0.9888640086421223,0.9972140997597502,0.9944294677866872,0.9916461040808113
2009-04-27,,,,,0.999,0.99975,0.9995,0.99925,0.9905407736675457,0.9976336057242565,0.9952682699102662,0.9929039925580294,0.9912933258058023,0.9978218850035914,0.9956447343057553,0.9934685479064923
2009-04-28,,,,,0.972943386075748,0.9932309560133207,0.9864651723637189,0.9797026490511945,0.9647098688358239,0.9911710313735274,0.982346353304007,0.9735259657914394,0.9651842380729571,0.9912897127160758,0.9825836566335937,0.9738818317525542
2009-04-30,,,,,1.001137700665755,1.0002848263865338,1.0005693852930042,1.0008536767194112,0.992702463461662,0.9981744338953445,0.9963496557707363,0.9945256656261757,0.993277094196137,0.9983181994300772,0.9966371149394586,0.9949567465281453
2009-05-01,0.999,0.99975,0.9995,0.99925,1.0120836505703144,1.0030233682827008,1.0060450994719867,1.0090651935678576,1.00352931732271,1.0008831794277726,1.0017657921241483,1.002647838089128,1.0041932092642722,1.0010492770175066,1.0020979042340539,1.0031458816496424
2009-05-07,1.0419405768988268,1.0104932036422927,1.0209810343395282,1.031463492091706,1.0556549361736605,1.013924367477382,1.0278416459987858,1.0417518355642117,1.0469657194386142,1.0117504324346234,1.0234948631525997,1.0352332921539307,1.0476360834928606,1.0119181492672642,1.0238302129384953,1.0357361910136942
2009-05-08,1.0545686264466267,1.0136525861586623,1.0272982192859879,1.0409368993819756,1.0683970364445705,1.0171122840804456,1.0342158848480223,1.0513108023027304,1.059747345002579,1.0149482377793617,1.029888874539578,1.0448219102806513,1.060128796793299,1.0150436723208462,1.0300796958933442,1.0451080707174953
2009-05-11,1.065848529992094,1.0164746791440429,1.0329409938574066,1.04939894414009,1.079810806485376,1.0199678688147538,1.039925626167234,1.0598732720574413,1.0711747540414465,1.0178072348230573,1.0356054387709832,1.0533946118437805,1.0711125576685832,1.017791674056348,1.0355743250198939,1.0533479528906393
2009-05-12,1.0483696059506677,1.0121016675548498,1.024197157731578,1.0362864705301837,1.062076495330368,1.0155309625141484,1.0310540325739255,1.046569210179332,1.0534591923519447,1.0133750194078723,1.0267432246024863,1.0401046155838447,1.053563944754412,1.0134012271692252,1.026795627018035,1.040183199546431
2009-05-13,1.0541234647156534,1.013541212174543,1.0270755270186667,1.0406029445323701,1.067853103410116,1.0169761987322987,1.0339437822114173,1.0509027504373563,1.0591345470192348,1.0147949232688893,1.029582322195057,1.0443621967785064,1.058988398902495,1.0147583588095022,1.0295092115630844,1.0442525582607494
2009-05-14,1.0257715969331975,1.0064479239324235,1.0128924980654312,1.0193337223990224,1.0390699807522572,1.009775015830098,1.0195450178988397,1.0293100062062261,1.0305087557718635,1.007633102748479,1.0152622629599481,1.0228874806344106,1.0302717160631827,1.0075737983318738,1.0151436837863612,1.022709656363465
2009-05-15,1.0460110383409276,1.011511582978314,1.0230172836945735,1.0345171021487778,1.0596078241531144,1.0149133313806504,1.029819079199719,1.0447172434572072,1.0509952104201685,1.0127585614658572,1.0255106170245032,1.0382561666759413,1.0508355129906122,1.0127186071352265,1.0254307283454032,1.0381363636305325
2009-05-18,1.0203363039566902,1.005088080550726,1.0101734913937501,1.015256232529071,1.0335727427656067,1.0083996745695492,1.0167950232203329,1.025186045952352,1.0251323429827581,1.0062879904647184,1.0125727111167495,1.0188541619560971,1.0248817853542969,1.0062241834058245,1.0124468386544772,1.0186662979572556
2009-05-19,1.0447811827745725,1.011203888257978,1.022402048139733,1.033594479645264,1.0583108343704917,1.0145888405059815,1.02917025973639,1.0437442576912268,1.049693469364868,1.0124328818812636,1.0248594207358281,1.0372796165636975,1.0494361505896823,1.0122510238817441,1.0245750615446614,1.036970387773117
2009-05-20,1.054231967776226,1.013568358304375,1.0271298057018712,1.040684342192488,1.067910959260666,1.0169906735537673,1.0339727246151333,1.0509461531840996,1.0591790555598701,1.0148060587577534,1.0296045876036484,1.0443955865376884,1.0590405150765092,1.0146084040086503,1.0293189786485308,1.0441299762416392
