variant,offset_trade_days_before_month_end,core_share,cost_bps,full_total_return,full_cagr,full_volatility,full_sharpe,full_sortino,full_max_drawdown,full_calmar,pre2018_total_return,pre2018_cagr,pre2018_volatility,pre2018_sharpe,pre2018_sortino,pre2018_max_drawdown,pre2018_calmar,holdout_total_return,holdout_cagr,holdout_volatility,holdout_sharpe,holdout_sortino,holdout_max_drawdown,holdout_calmar,2009_2013_cagr,2009_2013_sharpe,2009_2013_max_drawdown,2014_2017_cagr,2014_2017_sharpe,2014_2017_max_drawdown,2018_2021_cagr,2018_2021_sharpe,2018_2021_max_drawdown,2022_2026_cagr,2022_2026_sharpe,2022_2026_max_drawdown,rolling3y_positive_alpha_share,rolling3y_median_ann_alpha,rolling3y_worst_ann_alpha,cash_exposure_mean_weight,annualized_turnover,full_cagr_alpha_vs_same_offset_ew,holdout_cagr_alpha_vs_same_offset_ew,full_mdd_improvement_vs_same_offset_ew,holdout_mdd_improvement_vs_same_offset_ew,positive_era_count,worst_era_cagr
offset0_core025_10bp,0,0.25,10.0,5.467008963296717,0.11391681404663068,0.19208667444752084,0.6738268670738532,0.8506885660864402,-0.299745336176403,0.38004532614175374,1.340290396286608,0.10313394308050161,0.1846433469364281,0.6370663764927743,0.8114019280522288,-0.26449098269696547,0.38993368329182315,1.7633361114321904,0.12508488451611055,0.19931595077208636,0.7091656603476533,0.8908664711910522,-0.29974533617640176,0.4173038557053559,0.1243980439282304,0.7110854529263768,-0.26449098269696547,0.07921854518798188,0.5411862441002173,-0.24576193840337224,0.025537795462453827,0.24133261928308386,-0.29974533617640176,0.21904615400012073,1.0127514463684513,-0.26553721302983535,0.4832330180567498,-0.0007597362465844488,-0.04345154953698131,0.11812832469612242,4.165609983603311,-0.00043587056151017656,0.0069322917486642766,0.055302195912050545,0.05530219591205032,4,0.025537795462453827
offset3_core025_10bp,3,0.25,10.0,4.761384170089221,0.10643298599216733,0.19537627857134807,0.6302180945036087,0.791142198396359,-0.4166581484126146,0.2554443886376782,1.1358407758672016,0.091433221508046,0.18568629772316547,0.5756181884096354,0.733674203775879,-0.27844870799450006,0.32836647785721457,1.6974783116733003,0.1219425051826879,0.2047009091600771,0.681735296366752,0.8469543175132688,-0.41665814841261317,0.29266799568726837,0.1256130785050229,0.7157922093129285,-0.27844870799450006,0.05302331662371773,0.3917096089765132,-0.24912856099426794,0.0013035690365512664,0.09276996670197869,-0.41665814841261317,0.23796367008102903,1.0667687159627708,-0.2663718590426257,0.4495990836197022,-0.004805369093725667,-0.09170135890331797,0.1142769979314292,4.564872510773036,-0.008429028670771999,0.0031850812882350255,-0.06206534469871883,-0.06206534469871683,4,0.0013035690365512664
offset5_core025_10bp,5,0.25,10.0,3.8992285050069,0.09605900637693932,0.19484615692987953,0.5818162228981917,0.7268272382132203,-0.3916880575819781,0.2452436435513092,1.0706817242119766,0.08742640478307417,0.18477140094653943,0.5573349604104327,0.7082034383462044,-0.2912981422527422,0.300126887548838,1.365997848786411,0.10501418701845688,0.20453356603156816,0.6056349611775453,0.7477330515502957,-0.3916880575819788,0.268106685883518,0.11326002313038619,0.6600061303644624,-0.2912981422527422,0.05818330947128403,0.4225510422831846,-0.25871473082470975,0.005568001541679246,0.1178221680743147,-0.3916880575819788,0.1989543559063769,0.9198070174621458,-0.2663512889086199,0.21780194619347454,-0.014259001548131197,-0.06565482364176749,0.11260795233970106,4.551493746234359,-0.01753427200329316,-0.01279842435421652,-0.03740076854809493,-0.03740076854809593,4,0.005568001541679246
offset10_core025_10bp,10,0.25,10.0,4.018835384902764,0.09747308886148343,0.19311328042999365,0.5921511862558484,0.7394255273061633,-0.3719753796232853,0.2620417753459877,1.1873650023911808,0.09409522901762424,0.1839986688174142,0.5928889735761733,0.7577821018193911,-0.2812992126686128,0.3345022836180989,1.2944663462276744,0.10108767390530793,0.20193703943146538,0.5927019208409914,0.7274825399714832,-0.3719753796232853,0.27175904493378983,0.1269844847267274,0.7165314393273337,-0.2812992126686128,0.05687998928518412,0.4238594890829325,-0.2516696574870667,-0.016247898624553003,-0.02046790890926531,-0.3719753796232853,0.21375522350644083,0.9826435592848304,-0.26631575877519087,0.39411260360102884,-0.01592638126881859,-0.06147547594927679,0.11672346651129364,4.5259946635665,-0.016240631044668552,-0.016890672110483562,-0.017141400543773222,-0.017141400543772667,3,-0.016247898624553003
offset0_core050_10bp,0,0.5,10.0,5.567229194183004,0.11490725185821304,0.18582697091693284,0.6949639091976955,0.8967443847216737,-0.3130126085118141,0.36710103278116374,1.40403671951871,0.10656156164074271,0.1835693678766936,0.6570446638571565,0.8575882469468765,-0.25885874933961805,0.41165910718720133,1.7317507843631472,0.12358616234698117,0.18807691248689126,0.7324321477763703,0.935099860660354,-0.313012608511812,0.39482806438551965,0.1238990762576806,0.7222329973810843,-0.25885874933961805,0.08709968094902276,0.575201795413538,-0.24020654548149012,0.022514419321449042,0.22268839133881876,-0.313012608511812,0.21911822616437648,1.083182470116977,-0.24884079685876148,0.5070220693608484,0.00019705656092714152,-0.028598757597826086,0.0787117004463893,2.9039115251835494,0.000554567250072191,0.0054335695795348915,0.042034923576639405,0.04203492357664007,4,0.022514419321449042
offset3_core050_10bp,3,0.5,10.0,5.09977015745498,0.11008618003304571,0.1881756899621445,0.6649010047043864,0.8532195183106522,-0.3953637622636834,0.27844276724487704,1.2637259922663713,0.09877534506717334,0.18409207984976236,0.616324345061966,0.8048844413035198,-0.26895990255029467,0.3672493339363203,1.6945708881259338,0.12180222135256713,0.1922127613022917,0.7122468565306924,0.8995405876929442,-0.3953637622636845,0.30807634127917916,0.12492546317096265,0.7260280775924765,-0.26895990255029467,0.06929725978958334,0.47748611992152973,-0.24832979656702736,0.006270691546220952,0.12233795641323046,-0.3953637622636845,0.232406626683755,1.1234147365699603,-0.24968032479620006,0.459049255441008,-0.0026435032120723364,-0.06132875394953523,0.07608550171703996,3.1681579594461877,-0.004775834629893616,0.0030447974581142567,-0.04077095854978763,-0.04077095854978818,4,0.006270691546220952
offset5_core050_10bp,5,0.5,10.0,4.4314545174979765,0.10260284606717018,0.18775388139526944,0.6290474380378822,0.8051615083293904,-0.37842549948286575,0.2711308994964168,1.2093629120782325,0.09557401337363092,0.18360641637436095,0.6013700818301202,0.7838732842202841,-0.27736816981813517,0.34457455387291525,1.4583804171804822,0.10993281604350491,0.19185796209008968,0.6561511693039461,0.8261158590400911,-0.37842549948286575,0.29050055081841125,0.11585571161508557,0.6834425371705595,-0.27736816981813517,0.07262118770306136,0.49725124519590985,-0.2571807085503133,0.009010684462729346,0.13870376825531236,-0.37842549948286575,0.2053700435944379,1.0120631947034529,-0.24979019046611795,0.22953634802518602,-0.009016105957530718,-0.04382362777202015,0.07497942835556529,3.1540641183328524,-0.010990432313062293,-0.007879795329168493,-0.024138210448982567,-0.0241382104489829,4,0.009010684462729346
offset10_core050_10bp,10,0.5,10.0,4.526027912658193,0.10358167181525868,0.18649066324539534,0.6369216639467374,0.8142851240631018,-0.3643137264905898,0.28431998105878176,1.2908878958233139,0.0999235596685033,0.18299449561399844,0.6248939321136742,0.8169915079373091,-0.2717210010813541,0.36774323394526975,1.412177358278028,0.10749369255646934,0.18997036552634786,0.6488940084126127,0.8129767309917211,-0.36431372649059035,0.2950580358087214,0.12487681717734,0.7203649038539114,-0.2717210010813541,0.07160754699266803,0.4999096578815927,-0.25695617928555403,-0.005379502024628446,0.0480209691225485,-0.36431372649059035,0.21539172980423338,1.059459022760594,-0.24951130390305976,0.40125750214346956,-0.010128872681344813,-0.04049901151180098,0.07761831167951123,3.138882896730748,-0.010132048090893297,-0.010484653459322146,-0.00947974741107771,-0.00947974741107771,3,-0.005379502024628446
offset0_core075_10bp,0,0.75,10.0,5.583889248015509,0.11507051480169483,0.18444379075872522,0.6995086705384378,0.9176167143211106,-0.3308810904726378,0.34776999385889834,1.4529522091358755,0.10913763561335776,0.1875351443088188,0.659784890110113,0.8746687937501595,-0.2580948064671561,0.42285870493580074,1.684067477341877,0.12129431202893803,0.18126907940633238,0.7412034945126237,0.9618726562842632,-0.3308810904726368,0.366579763913613,0.12233719025897849,0.7130015549734033,-0.2568599165758517,0.09440154867963857,0.5949909964748553,-0.2580948064671561,0.01871429516560741,0.19794256409905941,-0.3308810904726368,0.21838900471614942,1.149176048295274,-0.232733764861366,0.5333906563485239,0.0004868238588516071,-0.01414429824800253,0.03934136156422066,1.6310054949753878,0.000717830193553981,0.00314171926149176,0.024166441615815715,0.02416644161581527,4,0.01871429516560741
offset3_core075_10bp,3,0.75,10.0,5.374624788634802,0.11291556339775122,0.185726978976797,0.6852036762942274,0.8965640393955365,-0.37462401925232625,0.30141036771509694,1.38482270844414,0.10539693883514656,0.18781694888958386,0.6405683677785289,0.8501909090986517,-0.2628860542371084,0.40092251808870943,1.6729973536664144,0.12075709296345671,0.18358900697600097,0.7314583979758743,0.9435546265684616,-0.3746240192523278,0.322342099698954,0.1233822450016997,0.7165779632188731,-0.2628860542371084,0.08514678820130839,0.5474669284548555,-0.2622938394583044,0.010556146537207933,0.1487189219867337,-0.3746240192523278,0.22576735910185497,1.1733504352778636,-0.233333433403639,0.47079037800687284,-0.00106836436457631,-0.030731885636218995,0.037998319884675384,1.7591223727986092,-0.0019464512651881094,0.00199966906900384,-0.020031215538430458,-0.020031215538431457,4,0.010556146537207933
