months,block_months,reps,actual_cagr_alpha,ci025_cagr_alpha,median_cagr_alpha,ci975_cagr_alpha,prob_cagr_alpha_positive,actual_sharpe_diff,ci025_sharpe_diff,median_sharpe_diff,ci975_sharpe_diff,prob_sharpe_diff_positive,actual_mdd_improvement,ci025_mdd_improvement,median_mdd_improvement,ci975_mdd_improvement,prob_mdd_improvement_positive,candidate,extra_execution_delay_nav_days,core_share,cost_bps
206,6,5000,0.002201063753577648,-0.018873637986790953,0.002172154546088101,0.024392353075189457,0.5798,0.017291489291819784,-0.1257187649595056,0.01390180549612402,0.13789780210429306,0.5832,0.009802818408828462,-0.05228141321017431,0.018778455050325882,0.09099526609165857,0.717,delay0_core050,0,0.5,10.0
206,12,5000,0.002201063753577648,-0.01485278073261968,0.001965265071258382,0.01946868759328535,0.5896,0.017291489291819784,-0.11396136016192514,0.010945714883711322,0.11844859279563573,0.5694,0.009802818408828462,-0.04404590191050654,0.02041358798747228,0.08447697227049611,0.7474,delay0_core050,0,0.5,10.0
206,24,5000,0.002201063753577648,-0.009949540344553837,0.0019562842673503944,0.013757933223783401,0.627,0.017291489291819784,-0.10169168894523511,0.010122335338154653,0.09315896290141916,0.5874,0.009802818408828462,-0.03300933607671732,0.014138450304989114,0.06584993372009881,0.7154,delay0_core050,0,0.5,10.0
206,6,5000,0.0015333542836455383,-0.00881752987816336,0.001663851731835475,0.01229916221383373,0.6096,0.01974760966481548,-0.04752496903252339,0.01690335010919436,0.07926474951758337,0.6994,0.005584389746740914,-0.02064805448278208,0.013606225599839927,0.04884690131092777,0.788,delay0_core075,0,0.75,10.0
206,12,5000,0.0015333542836455383,-0.006610192895952016,0.0015829759279278877,0.010330218632878103,0.6474,0.01974760966481548,-0.04320193835666546,0.016833585000524565,0.06898032382393736,0.7288,0.005584389746740914,-0.01926897469247157,0.014845388535700832,0.04634215164209889,0.814,delay0_core075,0,0.75,10.0
206,24,5000,0.0015333542836455383,-0.00460696284843849,0.0015766705666262482,0.00784704746523691,0.692,0.01974760966481548,-0.038792331979439584,0.01701966082217926,0.05823363983426216,0.761,0.005584389746740914,-0.01552283592963477,0.011617268770856448,0.035866408582698885,0.798,delay0_core075,0,0.75,10.0
206,6,5000,0.002474656834213329,-0.01905675676772234,0.0022972640563472257,0.024432909646970768,0.5832,0.020265128150244394,-0.1208426640426028,0.014739170010253544,0.14499649731390046,0.5916,-0.0045435919375170775,-0.05488668650759268,0.01682107802500249,0.09329810205107493,0.6952,delay1_core050,1,0.5,10.0
206,12,5000,0.002474656834213329,-0.013938284233450686,0.0024895185729501,0.020384824224895997,0.6186,0.020265128150244394,-0.10926085624657401,0.014268282246418684,0.12290261832843409,0.5944,-0.0045435919375170775,-0.048599099673015816,0.01670477548861099,0.0863536880693273,0.6958,delay1_core050,1,0.5,10.0
206,24,5000,0.002474656834213329,-0.009839528978971888,0.0025386255736984387,0.01454915592731886,0.659,0.020265128150244394,-0.08444002018788554,0.014295661514253044,0.10296008917670199,0.6184,-0.0045435919375170775,-0.04842209698256731,0.005791503592047387,0.0714878896466279,0.5964,delay1_core050,1,0.5,10.0
206,6,5000,0.001631157488351409,-0.009210496425052544,0.0016679270965457293,0.012804339526159541,0.6124,0.02095512399969468,-0.05022198557615229,0.018624744904487733,0.08206486657390258,0.7164,0.003073038180300469,-0.023041563304989868,0.012304692580775545,0.051927675374762255,0.7622,delay1_core075,1,0.75,10.0
206,12,5000,0.001631157488351409,-0.006657720081894197,0.0014994670025021417,0.010433910897667441,0.6362,0.02095512399969468,-0.04058904712816211,0.01684488287118807,0.07228359609042961,0.7222,0.003073038180300469,-0.021448881565061896,0.013015273642007996,0.04838348475931897,0.7788,delay1_core075,1,0.75,10.0
206,24,5000,0.001631157488351409,-0.004512380136510202,0.0015828391671466324,0.007673444031903434,0.6972,0.02095512399969468,-0.03534502055038251,0.0167443784673319,0.062179601476542626,0.765,0.003073038180300469,-0.022957548641539954,0.007520828772362542,0.041841685740000155,0.6644,delay1_core075,1,0.75,10.0
